leaf_id,revision,iterations,candidate_run1_us,candidate_run2_us,main_run1_us,main_run2_us,upstream_run1_us,upstream_run2_us,upstream_run1_outcome,upstream_run2_outcome,main_vs_upstream_status,main_vs_upstream_run1_speedup_pct,main_vs_upstream_run2_speedup_pct,main_vs_upstream_two_run_speedup_pct,candidate_vs_main_status,candidate_vs_main_run1_speedup_pct,candidate_vs_main_run2_speedup_pct,candidate_vs_main_two_run_speedup_pct,performance_valid,performance_invalid_reason
busy_pfifo.pfifo_saturation,1,10,99033,100750,105122,100687,67774,65593,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
busy_pfifo.pgraph_pattern_polling,1,1,4512834,4733409,4427825,4582678,8261209,8395558,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
cpu_floating_point.sse_scalar,1,10,502606,506610,518075,521383,512472,510971,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
cpu_floating_point.x87_scalar,1,10,777354,783949,780180,787358,755892,758102,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
cpu_translation_blocks.direct_loop,1,10,9771,10052,9787,9851,10076,10093,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
cpu_translation_blocks.indirect_dispatch,1,10,39304,39696,39352,39362,25162,24877,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
cpu_translation_blocks.indirect_dispatch_stress,1,10,788481,788724,786101,787302,497811,494841,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
fill_rate.solid,1,10,1820,1351,2324,1400,1674,1601,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
fill_rate.textured,1,10,1695,1266,2365,1276,1986,1858,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.cross_title_hotpath.blend_constant_reuse,1,8,116757,116691,116136,116406,102941,100940,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.cross_title_hotpath.gpu_wait_control,1,8,1273,1259,1294,1253,2111,1896,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.cross_title_hotpath.pgr2_lagspot_inline_elements,1,8,108261,104086,105336,104051,132705,133087,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.cross_title_hotpath.pgr2_small_draws,1,8,115630,116623,115080,114861,107781,107623,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.cross_title_hotpath.pipeline_state_churn,1,8,67215,67086,67027,66948,50964,51597,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.cross_title_hotpath.queued_vertex_cpu_writes,1,8,67089,64891,66782,64883,62397,53893,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.cross_title_hotpath.s3tc_streaming_fenced_draws,1,8,1138040,1141690,1148507,1157278,7058658,6643692,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.cross_title_hotpath.scaled_surface_pressure,1,8,346697,344689,348297,343837,352345,398352,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.cross_title_hotpath.surface_reuse,1,8,5976,5962,6481,5918,5711,5569,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.cross_title_hotpath.texture_binding_reuse,1,8,154786,154739,154190,154506,183075,183635,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.cross_title_hotpath.texture_update_reuse,1,8,2774,2803,2920,2778,3517,3521,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.doax_menu_representative.cpu_only,1,8,13413,13567,13460,13463,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.doax_menu_representative.cpu_pfifo_gpu,1,8,34766,35084,34102,34662,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.doax_menu_representative.cpu_pfifo_gpu_streaming,1,8,38209,38701,37996,38083,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.doax_menu_representative.full_system,1,8,39067,39911,38590,38943,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.doax_menu_representative.gpu_only,1,8,18909,18957,18305,18554,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.doax_menu_representative.pfifo_only,1,8,2507,2670,2562,2527,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.doax_menu_representative.streaming_only,1,8,5191,4758,5586,4816,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.doax_menu_stress.cpu_only,1,8,26857,26849,26834,26954,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.doax_menu_stress.cpu_pfifo_gpu,1,8,68957,69200,68577,68628,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.doax_menu_stress.cpu_pfifo_gpu_streaming,1,8,76395,76474,75041,75774,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.doax_menu_stress.full_system,1,8,76770,77025,76146,76555,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.doax_menu_stress.gpu_only,1,8,37469,37616,36388,36592,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.doax_menu_stress.pfifo_only,1,8,4949,4954,4925,4851,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.doax_menu_stress.streaming_only,1,8,9031,8963,9343,9370,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.long_unlocked_scene.alpha_overdraw,1,8,33934,33733,33106,33600,29689,29483,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.long_unlocked_scene.combined,1,8,71009,71339,70551,71340,59921,60630,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.long_unlocked_scene.cpu,1,8,23905,23984,23811,23789,15988,16238,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.long_unlocked_scene.full_system,1,8,70942,71411,70837,71242,59635,59047,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.long_unlocked_scene.pfifo,1,8,5019,5121,4930,4957,6163,6209,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.long_unlocked_scene.streaming_surface_reuse,1,8,8564,8858,9007,8856,8883,8611,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.pgr2_ai_backup.cpu_only,1,8,41633,41902,42233,42234,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
