leaf_id,revision,guest_iterations,guest_sample_count,main1_us,candidate1_us,candidate2_us,main2_us,main1_median_us,candidate1_median_us,candidate2_median_us,main2_median_us,main1_mad_us,candidate1_mad_us,candidate2_mad_us,main2_mad_us,functional_status,pair1_candidate_speedup_pct,pair2_candidate_speedup_pct,two_pair_candidate_speedup_pct,main_run_drift_pct,candidate_run_drift_pct,direction_repeats,effect_exceeds_max_role_drift,timing_grade
busy_pfifo.pfifo_saturation,1,10,10,97650,101335,100039,101984,98005.0,101496.0,99787.0,101579.0,1174.5,372.0,676.0,667.0,hash_matched,-3.636,1.944,-0.864,4.342,1.287,false,false,diagnostic_only_no_live_markers
busy_pfifo.pgraph_pattern_polling,1,1,1,4528958,4603579,4641071,4597174,4528958,4603579,4641071,4597174,0,0,0,0,hash_matched,-1.621,-0.946,-1.282,1.495,0.811,true,false,diagnostic_only_no_live_markers
cpu_floating_point.sse_scalar,1,10,10,526675,499994,505639,532698,524634.5,494320.0,504085.0,531779.5,7049.5,3998.5,8066.5,5564.5,hash_matched,5.336,5.351,5.344,1.137,1.123,true,true,diagnostic_only_no_live_markers
cpu_floating_point.x87_scalar,1,10,10,778726,782536,783113,784212,778878.0,782421.0,782881.5,781198.5,780.0,784.5,713.0,1069.5,hash_matched,-0.487,0.140,-0.173,0.702,0.074,false,false,diagnostic_only_no_live_markers
cpu_translation_blocks.direct_loop,1,10,10,9824,9837,9845,9763,9734.5,9789.0,9820.5,9748.5,9.5,81.5,31.0,67.5,hash_matched,-0.132,-0.833,-0.483,0.623,0.081,true,false,diagnostic_only_no_live_markers
cpu_translation_blocks.indirect_dispatch,1,10,10,38981,39709,39611,39278,38867.0,39818.5,39636.0,39228.0,139.0,136.0,142.5,123.0,hash_matched,-1.833,-0.841,-1.338,0.759,0.247,true,true,diagnostic_only_no_live_markers
cpu_translation_blocks.indirect_dispatch_stress,1,10,10,780066,794981,793581,782975,780063.5,795061.0,792014.5,782910.5,1146.0,4053.5,638.5,1000.0,hash_matched,-1.876,-1.336,-1.607,0.372,0.176,true,true,diagnostic_only_no_live_markers
fill_rate.solid,1,10,10,1361,1404,1389,1378,1219.0,1279.0,1274.5,1239.5,26.5,11.0,42.5,51.0,hash_matched,-3.063,-0.792,-1.933,1.241,1.074,true,true,diagnostic_only_no_live_markers
fill_rate.textured,1,10,10,1222,1284,1257,1254,1230.0,1281.0,1272.5,1252.0,18.0,11.5,20.0,9.5,hash_matched,-4.829,-0.239,-2.558,2.585,2.125,true,false,diagnostic_only_no_live_markers
game_load.cross_title_hotpath.blend_constant_reuse,1,8,8,116069,116770,116768,116220,116322.5,116747.0,116656.5,116374.5,729.5,821.0,305.0,1032.5,hash_matched,-0.600,-0.469,-0.535,0.130,0.002,true,true,diagnostic_only_no_live_markers
