schema_version,id,revision,kind,name,outcome,iterations,sample_count,measurement_iterations_multiplier,warmup_iterations,gpu_completion_mode,completion_wait_us,total_us,total_seconds,average_us,min_us,max_us,median_us,p95_us,mad_us,unit,direction,framebuffer_fnv1a64,child_result_count,metadata_json,raw_results_json
1,busy_pfifo.pfifo_saturation,1,leaf,BusyPfifo::PFIFOSaturation,PASS,10,10,1,0,per_iteration,675,625442,0.625442,62544,61383,64352,62463,64352,844,us,lower_is_better,1508607624bb8506,,null,"[61553,62616,61383,64352,61685,62955,63034,64118,62311,61435]"
1,busy_pfifo.pgraph_pattern_polling,1,leaf,BusyPfifo::PgraphPatternPolling,PASS,1,1,1,0,per_iteration,47,4710446,4.710446,4710446,4710446,4710446,4710446,4710446,0,us,lower_is_better,386d0f085e98c325,,null,[4710446]
1,cpu_floating_point.sse_scalar,1,leaf,CpuFloatingPoint::SSEScalar,PASS,10,10,1,0,per_iteration,1082,4975827,4.975827,497582,491071,504603,498475,504603,3503,us,lower_is_better,6962077c244da325,,null,"[492993,497721,500758,500446,501929,491071,499229,494922,492155,504603]"
1,cpu_floating_point.x87_scalar,1,leaf,CpuFloatingPoint::X87Scalar,PASS,10,10,1,0,per_iteration,1120,7429636,7.429636,742963,739926,746056,742657,746056,353,us,lower_is_better,6962077c244da325,,null,"[746056,742428,742929,742414,745065,742304,739926,742886,743324,742304]"
1,cpu_translation_blocks.direct_loop,1,leaf,CpuTranslationBlocks::DirectLoop,PASS,10,10,1,0,per_iteration,891,99289,0.099289,9928,9768,10411,9860,10411,80,us,lower_is_better,bd1fc9bf0c318325,,null,"[9913,10411,9797,9804,9940,10021,9808,9768,10047,9780]"
1,cpu_translation_blocks.indirect_dispatch,1,leaf,CpuTranslationBlocks::IndirectDispatch,PASS,10,10,1,0,per_iteration,725,245610,0.24561,24561,23899,24943,24663,24943,232,us,lower_is_better,c0426cf669a02325,,null,"[24705,24483,24208,24943,24908,24622,24807,24153,24882,23899]"
1,cpu_translation_blocks.indirect_dispatch_stress,1,leaf,CpuTranslationBlocks::IndirectDispatchStress,PASS,10,10,1,0,per_iteration,1119,4844310,4.84431,484431,482606,487885,483656,487885,1046,us,lower_is_better,fbd507cb0c622325,,null,"[487885,485067,486590,482614,483297,485641,483298,483605,482606,483707]"
1,fill_rate.solid,1,leaf,FillRate::FillRate-Solid,PASS,10,10,1,0,per_iteration,4545,14427,0.014427,1442,972,2262,1235,2262,94,us,lower_is_better,08b0f60773aac775,,null,"[1530,2190,972,1190,1233,1236,1235,2262,1379,1200]"
1,fill_rate.textured,1,leaf,FillRate::FillRate-Textured,PASS,10,10,1,0,per_iteration,6463,15079,0.015079,1507,978,2177,1316,2177,335,us,lower_is_better,99b433323df1684d,,null,"[2177,978,1256,1215,1377,2115,983,1218,1677,2083]"
1,game_load.long_unlocked_scene.cpu,1,leaf,GameLoadComposite::08-LongUnlockedScene-01-CPU,PASS,8,8,1,0,per_iteration,692,125612,0.125612,15701,15378,16758,15551,16758,58,us,lower_is_better,4efd9244c4ad2325,,"{""actual_final_state"":336397949,""applied_measurement_iterations_multiplier"":1,""applied_warmup_iterations"":0,""expected_final_state"":336397949,""gpu_precondition_alpha_draws"":8192,""gpu_precondition_executed"":false,""kind"":""game_load_composite_long_scene_stage"",""schema_version"":1,""stage_id"":32769,""stage_mask"":63}","[16758,15811,15537,15476,15565,15378,15510,15577]"
1,game_load.long_unlocked_scene.pfifo,1,leaf,GameLoadComposite::08-LongUnlockedScene-02-PFIFO,PASS,8,8,1,0,per_iteration,280,31985,0.031985,3998,3867,4184,3951,4184,73,us,lower_is_better,4efd9244c4ad2325,,"{""actual_final_state"":336397949,""applied_measurement_iterations_multiplier"":1,""applied_warmup_iterations"":0,""expected_final_state"":336397949,""gpu_precondition_alpha_draws"":8192,""gpu_precondition_executed"":false,""kind"":""game_load_composite_long_scene_stage"",""schema_version"":1,""stage_id"":32770,""stage_mask"":63}","[4184,4101,3889,3983,4151,3919,3867,3891]"
1,game_load.long_unlocked_scene.alpha_overdraw,1,leaf,GameLoadComposite::08-LongUnlockedScene-03-AlphaOverdraw,PASS,8,8,1,0,per_iteration,2542,213793,0.213793,26724,26155,27349,26708,27349,325,us,lower_is_better,4efd9244c4ad2325,,"{""actual_final_state"":336397949,""applied_measurement_iterations_multiplier"":1,""applied_warmup_iterations"":0,""expected_final_state"":336397949,""gpu_precondition_alpha_draws"":8192,""gpu_precondition_executed"":true,""kind"":""game_load_composite_long_scene_stage"",""schema_version"":1,""stage_id"":32771,""stage_mask"":63}","[26737,27349,27069,26155,26525,26680,26281,26997]"
1,game_load.long_unlocked_scene.streaming_surface_reuse,1,leaf,GameLoadComposite::08-LongUnlockedScene-04-StreamingSurfaceReuse,PASS,8,8,1,0,per_iteration,22121,70989,0.070989,8873,7640,10563,8886,10563,386,us,lower_is_better,4efd9244c4ad2325,,"{""actual_final_state"":336397949,""applied_measurement_iterations_multiplier"":1,""applied_warmup_iterations"":0,""expected_final_state"":336397949,""gpu_precondition_alpha_draws"":8192,""gpu_precondition_executed"":true,""kind"":""game_load_composite_long_scene_stage"",""schema_version"":1,""stage_id"":32772,""stage_mask"":63}","[9170,10563,8843,7640,8929,8483,8106,9255]"
1,game_load.long_unlocked_scene.combined,1,leaf,GameLoadComposite::08-LongUnlockedScene-05-Combined,PASS,8,8,1,0,per_iteration,23792,437673,0.437673,54709,53786,55331,54877,55331,442,us,lower_is_better,4efd9244c4ad2325,,"{""actual_final_state"":336397949,""applied_measurement_iterations_multiplier"":1,""applied_warmup_iterations"":0,""expected_final_state"":336397949,""gpu_precondition_alpha_draws"":8192,""gpu_precondition_executed"":true,""kind"":""game_load_composite_long_scene_stage"",""schema_version"":1,""stage_id"":32773,""stage_mask"":63}","[54797,53786,55308,54957,54300,55137,55331,54057]"
1,game_load.long_unlocked_scene.full_system,1,leaf,GameLoadComposite::08-LongUnlockedScene-06-FullSystem,PASS,8,8,1,0,per_iteration,24243,436425,0.436425,54553,53408,55728,54474,55728,851,us,lower_is_better,4efd9244c4ad2325,,"{""actual_final_state"":336397949,""applied_measurement_iterations_multiplier"":1,""applied_warmup_iterations"":0,""expected_final_state"":336397949,""gpu_precondition_alpha_draws"":8192,""gpu_precondition_executed"":true,""kind"":""game_load_composite_long_scene_stage"",""schema_version"":1,""stage_id"":32774,""stage_mask"":63}","[53606,55308,55728,53408,54393,55411,54015,54556]"
1,game_load.long_unlocked_scene,1,group,GameLoadComposite::08-LongUnlockedScene,PASS,0,0,1,0,per_iteration,0,0,0,0,0,0,0,0,0,us,neutral,4efd9244c4ad2325,6,"{""actual_final_state"":336397949,""exclude_from_stage_window_mapping"":true,""expected_final_state"":336397949,""kind"":""game_load_composite_long_scene_summary"",""schema_version"":1,""stage_record_count"":6}",[]
1,game_load.cross_title_hotpath.queued_vertex_cpu_writes,1,leaf,GameLoadComposite::09-CrossTitleHotpath-01-QueuedVertexCpuWrites,PASS,8,8,1,0,per_iteration,3716,403865,0.403865,50483,49024,54257,49727,54257,571,us,lower_is_better,ea21c900993ea325,,"{""fast_smoke"":false,""iterations"":8,""kind"":""game_load_composite"",""phase"":""01-QueuedVertexCpuWrites"",""preset"":""09-CrossTitleHotpath"",""result_checksum"":""a3b81650"",""schema_version"":2,""seed"":""43525401"",""stage_key"":""queued_vertex_cpu_writes"",""work"":{""alpha_pixels"":113246208,""audio_buffers"":0,""audio_bytes"":0,""audio_mix_operations"":0,""audio_voices"":0,""cpu_fp"":0,""cpu_indirect"":0,""cpu_memory_bytes"":0,""decode_bytes"":0,""draws"":16384,""fence_reads"":0,""gpu_waits"":0,""pfifo_methods"":0,""primitives"":16384,""surface_reuses"":0,""texture_bytes"":0,""vertex_bytes"":2097152},""work_checksum"":""3a3942a9""}","[54257,49287,51524,49024,49728,49697,50621,49727]"
1,game_load.cross_title_hotpath.pgr2_small_draws,1,leaf,GameLoadComposite::09-CrossTitleHotpath-02-Pgr2SmallDraws,PASS,8,8,1,0,per_iteration,19,710677,0.710677,88834,84996,95677,87098,95677,1095,us,lower_is_better,151015a16ca46325,,"{""fast_smoke"":false,""iterations"":8,""kind"":""game_load_composite"",""phase"":""02-Pgr2SmallDraws"",""preset"":""09-CrossTitleHotpath"",""result_checksum"":""88b66250"",""schema_version"":2,""seed"":""43525402"",""stage_key"":""pgr2_small_draws"",""work"":{""alpha_pixels"":226492416,""audio_buffers"":0,""audio_bytes"":0,""audio_mix_operations"":0,""audio_voices"":0,""cpu_fp"":0,""cpu_indirect"":0,""cpu_memory_bytes"":0,""decode_bytes"":0,""draws"":32768,""fence_reads"":800000,""gpu_waits"":0,""pfifo_methods"":98312,""primitives"":32768,""surface_reuses"":0,""texture_bytes"":0,""vertex_bytes"":0},""work_checksum"":""d1b5efa4""}","[84996,87203,86525,87923,85733,86993,95627,95677]"
1,game_load.cross_title_hotpath.texture_update_reuse,1,leaf,GameLoadComposite::09-CrossTitleHotpath-03-TextureUpdateReuse,PASS,8,8,1,0,per_iteration,2547,24138,0.024138,3017,2650,3251,3068,3251,147,us,lower_is_better,44fcd2c900a5a325,,"{""fast_smoke"":false,""iterations"":8,""kind"":""game_load_composite"",""phase"":""03-TextureUpdateReuse"",""preset"":""09-CrossTitleHotpath"",""result_checksum"":""d8a91f30"",""schema_version"":2,""seed"":""43525403"",""stage_key"":""texture_update_reuse"",""work"":{""alpha_pixels"":442368,""audio_buffers"":0,""audio_bytes"":0,""audio_mix_operations"":0,""audio_voices"":0,""cpu_fp"":0,""cpu_indirect"":0,""cpu_memory_bytes"":0,""decode_bytes"":1048576,""draws"":64,""fence_reads"":0,""gpu_waits"":0,""pfifo_methods"":0,""primitives"":64,""surface_reuses"":0,""texture_bytes"":1048576,""vertex_bytes"":8192},""work_checksum"":""a9cbd615""}","[3251,3238,2650,2722,2948,2950,3187,3192]"
1,game_load.cross_title_hotpath.surface_reuse,1,leaf,GameLoadComposite::09-CrossTitleHotpath-04-SurfaceReuse,PASS,8,8,1,0,per_iteration,22571,48731,0.048731,6091,5016,6774,6072,6774,247,us,lower_is_better,37f87c4938cd6325,,"{""fast_smoke"":false,""iterations"":8,""kind"":""game_load_composite"",""phase"":""04-SurfaceReuse"",""preset"":""09-CrossTitleHotpath"",""result_checksum"":""ae3077c8"",""schema_version"":2,""seed"":""43525404"",""stage_key"":""surface_reuse"",""work"":{""alpha_pixels"":55296,""audio_buffers"":0,""audio_bytes"":0,""audio_mix_operations"":0,""audio_voices"":0,""cpu_fp"":0,""cpu_indirect"":0,""cpu_memory_bytes"":0,""decode_bytes"":1048576,""draws"":8,""fence_reads"":0,""gpu_waits"":0,""pfifo_methods"":0,""primitives"":8,""surface_reuses"":64,""texture_bytes"":1048576,""vertex_bytes"":1024},""work_checksum"":""6ce92e2d""}","[5924,6565,6040,5907,6104,5016,6401,6774]"
1,game_load.cross_title_hotpath.pipeline_state_churn,1,leaf,GameLoadComposite::09-CrossTitleHotpath-05-PipelineStateChurn,PASS,8,8,1,0,per_iteration,3205,396569,0.396569,49571,46544,50763,49958,50763,298,us,lower_is_better,4f8b2eab497ca325,,"{""fast_smoke"":false,""iterations"":8,""kind"":""game_load_composite"",""phase"":""05-PipelineStateChurn"",""preset"":""09-CrossTitleHotpath"",""result_checksum"":""fbbaffc0"",""schema_version"":2,""seed"":""43525405"",""stage_key"":""pipeline_state_churn"",""work"":{""alpha_pixels"":84934656,""audio_buffers"":0,""audio_bytes"":0,""audio_mix_operations"":0,""audio_voices"":0,""cpu_fp"":0,""cpu_indirect"":0,""cpu_memory_bytes"":0,""decode_bytes"":0,""draws"":12288,""fence_reads"":0,""gpu_waits"":0,""pfifo_methods"":0,""primitives"":12288,""surface_reuses"":0,""texture_bytes"":0,""vertex_bytes"":0},""work_checksum"":""e9647a58""}","[46544,49496,50039,49936,50203,49607,50763,49981]"
