schema_version,id,revision,kind,name,outcome,iterations,sample_count,measurement_iterations_multiplier,warmup_iterations,gpu_completion_mode,completion_wait_us,total_us,total_seconds,average_us,min_us,max_us,median_us,p95_us,mad_us,unit,direction,framebuffer_fnv1a64,child_result_count,metadata_json,raw_results_json
1,busy_pfifo.pfifo_saturation,1,leaf,BusyPfifo::PFIFOSaturation,PASS,10,10,1,0,per_iteration,340,631291,0.631291,63129,61232,67398,62493,67398,981,us,lower_is_better,1508607624bb8506,,null,"[67398,62836,62036,63681,64669,62140,62150,61593,61232,63556]"
1,busy_pfifo.pgraph_pattern_polling,1,leaf,BusyPfifo::PgraphPatternPolling,PASS,1,1,1,0,per_iteration,44,4759849,4.759849,4759849,4759849,4759849,4759849,4759849,0,us,lower_is_better,386d0f085e98c325,,null,[4759849]
1,cpu_floating_point.sse_scalar,1,leaf,CpuFloatingPoint::SSEScalar,PASS,10,10,1,0,per_iteration,164,4962011,4.962011,496201,485676,502543,495710,502543,2801,us,lower_is_better,6962077c244da325,,null,"[500776,494871,492620,494043,498222,495570,501840,485676,495850,502543]"
1,cpu_floating_point.x87_scalar,1,leaf,CpuFloatingPoint::X87Scalar,PASS,10,10,1,0,per_iteration,84,7406757,7.406757,740675,737516,745288,740389,745288,1136,us,lower_is_better,6962077c244da325,,null,"[745288,738904,737516,739681,741539,741785,739753,741512,739970,740809]"
1,cpu_translation_blocks.direct_loop,1,leaf,CpuTranslationBlocks::DirectLoop,PASS,10,10,1,0,per_iteration,43,99013,0.099013,9901,9748,10329,9789,10329,37,us,lower_is_better,bd1fc9bf0c318325,,null,"[9868,9936,9797,10329,9748,9781,10262,9766,9770,9756]"
1,cpu_translation_blocks.indirect_dispatch,1,leaf,CpuTranslationBlocks::IndirectDispatch,PASS,10,10,1,0,per_iteration,34,239769,0.239769,23976,23076,24825,24046,24825,81,us,lower_is_better,c0426cf669a02325,,null,"[24024,24068,23994,24101,24825,23076,23838,24120,24135,23588]"
1,cpu_translation_blocks.indirect_dispatch_stress,1,leaf,CpuTranslationBlocks::IndirectDispatchStress,PASS,10,10,1,0,per_iteration,122,4788909,4.788909,478890,474831,485138,479004,485138,1565,us,lower_is_better,fbd507cb0c622325,,null,"[477697,478920,479467,479204,476924,476813,479088,474831,485138,480827]"
1,fill_rate.solid,1,leaf,FillRate::FillRate-Solid,PASS,10,10,1,0,per_iteration,5823,16731,0.016731,1673,894,7065,1020,7065,58,us,lower_is_better,08b0f60773aac775,,null,"[7065,1651,935,1022,1008,989,1024,1125,1018,894]"
1,fill_rate.textured,1,leaf,FillRate::FillRate-Textured,PASS,10,10,1,0,per_iteration,10955,20671,0.020671,2067,877,11347,1022,11347,62,us,lower_is_better,99b433323df1684d,,null,"[11347,1366,987,1064,960,877,960,959,1057,1094]"
1,game_load.long_unlocked_scene.cpu,1,leaf,GameLoadComposite::08-LongUnlockedScene-01-CPU,PASS,8,8,1,0,per_iteration,40,124525,0.124525,15565,15246,16103,15482,16103,108,us,lower_is_better,4efd9244c4ad2325,,"{""actual_final_state"":336397949,""applied_measurement_iterations_multiplier"":1,""applied_warmup_iterations"":0,""expected_final_state"":336397949,""gpu_precondition_alpha_draws"":8192,""gpu_precondition_executed"":false,""kind"":""game_load_composite_long_scene_stage"",""schema_version"":1,""stage_id"":32769,""stage_mask"":63}","[16103,15601,15456,15503,15385,15769,15462,15246]"
