backend,group,tests,baseline_r1_ms,baseline_r2_ms,candidate_r1_ms,candidate_r2_ms,baseline_mean_ms,candidate_mean_ms,time_delta_percent
opengl,busy_pfifo,2,10622.614,10506.407,10241.376,10712.673,10564.5105,10477.0245,-0.828112196963604
opengl,cpu_floating_point,2,12411.695,12665.863,12263.38,12481.177,12538.778999999999,12372.2785,-1.3278844774279763
opengl,cpu_translation_blocks,3,5240.575,5226.085,5135.97,5225.803,5233.33,5180.8865000000005,-1.002105733825298
opengl,fill_rate,2,29.853,28.982,29.983,28.768,29.4175,29.375500000000002,-0.14277215942890553
opengl,game_load,50,85978.645,88184.173,83927.873,84677.111,87081.409,84302.492,-3.191171378497104
opengl,high_vertex_count,4,1399.737,1397.483,1373.605,1373.465,1398.6100000000001,1373.5349999999999,-1.7928514739634527
opengl,pfifo_array_elements,3,36.753,31.808,32.913,32.084,34.2805,32.4985,-5.198290573358044
opengl,pipeline_texture_switch,4,493.431,490.841,473.568,485.904,492.13599999999997,479.736,-2.519628720516276
opengl,primitive_type,20,186.71,189.158,191.149,188.903,187.934,190.026,1.1131567465173964
opengl,report_query,8,21.013,17.625,18.88,19.841,19.319000000000003,19.360500000000002,0.21481443138877676
opengl,surface,26,2590.637,2566.648,2569.406,2556.753,2578.6425,2563.0795,-0.6035346117191587
opengl,tiny_draw,8,3578.568,3600.601,3463.367,3583.972,3589.5845,3523.6695,-1.8362849516427304
opengl,uniform_thrash,1,16.325,18.346,14.437,15.111,17.3355,14.774000000000001,-14.776037610683268
opengl,vertex_buffer_allocation,9,8877.181,8919.966,8696.921,8854.917,8898.5735,8775.919,-1.378361374438275
opengl,ALL_INCLUDED,142,131483.737,133843.986,128432.828,130236.482,132663.8615,129334.655,-2.5095051978416882
vulkan,busy_pfifo,2,10586.248,10506.793,10443.579,10227.235,10546.520499999999,10335.407,-2.001736022795386
vulkan,cpu_floating_point,2,12397.316,12442.577,12232.341,12427.395,12419.9465,12329.868,-0.7252728504104189
vulkan,cpu_translation_blocks,3,5190.769,5246.536,5149.442,5165.213,5218.6525,5157.327499999999,-1.175111774543347
vulkan,fill_rate,2,47.83,47.741,47.325,44.348,47.7855,45.8365,-4.078643103033341
vulkan,game_load,50,85999.582,87428.438,84689.629,86492.22,86714.01,85590.9245,-1.2951603783517784
vulkan,high_vertex_count,4,1393.388,1380.901,1363.457,1368.673,1387.1444999999999,1366.065,-1.5196325977574698
vulkan,pfifo_array_elements,3,26.763,26.25,25.469,26.901,26.506500000000003,26.185000000000002,-1.212910040933357
vulkan,pipeline_texture_switch,4,690.565,691.236,674.153,679.033,690.9005,676.5930000000001,-2.0708481177824978
vulkan,primitive_type,20,222.042,224.466,218.308,223.436,223.25400000000002,220.872,-1.0669461689376214
vulkan,report_query,8,44.28,44.694,41.058,42.733,44.487,41.8955,-5.825297277856456
vulkan,surface,26,6132.544,6188.659,6069.993,6016.524,6160.6015,6043.2585,-1.904732841427903
vulkan,tiny_draw,8,3066.183,3103.594,3081.734,3126.035,3084.8885,3103.8845,0.6157759024353782
vulkan,uniform_thrash,1,32.62,31.371,32.133,31.943,31.9955,32.038000000000004,0.1328311793846071
vulkan,vertex_buffer_allocation,9,8816.164,8822.897,9411.945,9437.83,8819.5305,9424.8875,6.863823420078874
vulkan,ALL_INCLUDED,142,134646.294,136186.153,133480.566,135309.519,135416.2235,134395.04249999998,-0.7541053602045045
