cell,timestamp_us_since_window_start
baseline-vulkan,34360
baseline-vulkan,72958
baseline-vulkan,114941
baseline-vulkan,155624
baseline-vulkan,191716
baseline-vulkan,230410
baseline-vulkan,272009
baseline-vulkan,311094
baseline-vulkan,349232
baseline-vulkan,386782
baseline-vulkan,422086
baseline-vulkan,456466
baseline-vulkan,494055
baseline-vulkan,532560
baseline-vulkan,569532
baseline-vulkan,603818
baseline-vulkan,636522
baseline-vulkan,671139
baseline-vulkan,703121
baseline-vulkan,736660
baseline-vulkan,768913
baseline-vulkan,803502
baseline-vulkan,836455
baseline-vulkan,870894
baseline-vulkan,902962
baseline-vulkan,937099
baseline-vulkan,970196
baseline-vulkan,1016851
baseline-vulkan,1056181
baseline-vulkan,1087902
baseline-vulkan,1120998
baseline-vulkan,1153117
baseline-vulkan,1229273
baseline-vulkan,1265875
baseline-vulkan,1305666
baseline-vulkan,1337547
baseline-vulkan,1369137
baseline-vulkan,1407285
baseline-vulkan,1438602
baseline-vulkan,1470058
baseline-vulkan,1503862
baseline-vulkan,1537616
baseline-vulkan,1570343
baseline-vulkan,1604196
baseline-vulkan,1636521
baseline-vulkan,1670831
baseline-vulkan,1703120
baseline-vulkan,1737212
baseline-vulkan,1769800
baseline-vulkan,1803379
baseline-vulkan,1848137
baseline-vulkan,1884842
baseline-vulkan,1919571
baseline-vulkan,1958048
baseline-vulkan,1993672
baseline-vulkan,2027632
baseline-vulkan,2064209
baseline-vulkan,2099889
baseline-vulkan,2139023
baseline-vulkan,2174342
baseline-vulkan,2211446
baseline-vulkan,2250994
baseline-vulkan,2298990
baseline-vulkan,2339877
baseline-vulkan,2377641
baseline-vulkan,2416732
baseline-vulkan,2457696
baseline-vulkan,2492314
baseline-vulkan,2533256
baseline-vulkan,2577905
baseline-vulkan,2619032
baseline-vulkan,2664196
baseline-vulkan,2704297
baseline-vulkan,2737748
baseline-vulkan,2769665
baseline-vulkan,2803684
baseline-vulkan,2836522
baseline-vulkan,2883415
baseline-vulkan,2920043
baseline-vulkan,2953137
baseline-vulkan,2986848
baseline-vulkan,3020928
baseline-vulkan,3054099
baseline-vulkan,3086793
baseline-vulkan,3121111
baseline-vulkan,3153881
baseline-vulkan,3193964
baseline-vulkan,3228068
baseline-vulkan,3262896
baseline-vulkan,3300867
baseline-vulkan,3337906
baseline-vulkan,3370286
baseline-vulkan,3403545
baseline-vulkan,3437646
baseline-vulkan,3469758
baseline-vulkan,3504338
baseline-vulkan,3537742
baseline-vulkan,3571102
baseline-vulkan,3607981
baseline-vulkan,3638677
