build,renderer,source_commit,xemu_sha256,status,private_hdd_deleted,workload,run,fps,p95_ms,p99_ms,host_fps,error,host_p95_ms,host_p99_ms,foreground_incidents,measurement_seconds
baseline,VULKAN,3caf5d85423298c62344f8fe44fe9a1176b8ae81,fe8047f60181672170524cf40b2151f335f0e232d749b569b60fd5bc2cb5d6ba,complete,True,morrowind,baseline-vulkan,27.685267038494906,44.614,47.996,,,,,,
candidate,VULKAN,dfe9aadf158af5e8808c109e5a48802377f23a7e,bf50e1005f122c43b1a6845f72b3e39c0cd1ed912192e0a9cc992a95bfcc9116,complete,True,morrowind,candidate-vulkan,26.745453898901182,43.884,50.301,,,,,,
baseline,OPENGL,3caf5d85423298c62344f8fe44fe9a1176b8ae81,fe8047f60181672170524cf40b2151f335f0e232d749b569b60fd5bc2cb5d6ba,complete,True,morrowind,baseline-opengl,38.628674064758265,32.6,36.615,,,,,,
candidate,OPENGL,dfe9aadf158af5e8808c109e5a48802377f23a7e,bf50e1005f122c43b1a6845f72b3e39c0cd1ed912192e0a9cc992a95bfcc9116,complete,True,morrowind,candidate-opengl,37.38062252666551,34.001,39.965,,,,,,
baseline,VULKAN,3caf5d85423298c62344f8fe44fe9a1176b8ae81,fe8047f60181672170524cf40b2151f335f0e232d749b569b60fd5bc2cb5d6ba,complete,True,pgr2,eng523-stable-v2-final-baseline-1-pgr2-vulkan,30.0090163362286,40.366,42.494,60.00326095543094,,24.512,27.7259,0,59.7153862
candidate,VULKAN,dfe9aadf158af5e8808c109e5a48802377f23a7e,bf50e1005f122c43b1a6845f72b3e39c0cd1ed912192e0a9cc992a95bfcc9116,complete,True,pgr2,eng523-stable-v2-final-candidate-2-pgr2-vulkan,30.001286892902918,40.011,42.71,60.00237136179465,,25.019,28.0704,0,59.764103
candidate,VULKAN,dfe9aadf158af5e8808c109e5a48802377f23a7e,bf50e1005f122c43b1a6845f72b3e39c0cd1ed912192e0a9cc992a95bfcc9116,complete,True,pgr2,eng523-stable-v2-final-candidate-3-pgr2-vulkan,29.999967024966995,39.95,42.967,59.996641589549704,,25.2573,28.2327,0,60.1667328
baseline,VULKAN,3caf5d85423298c62344f8fe44fe9a1176b8ae81,fe8047f60181672170524cf40b2151f335f0e232d749b569b60fd5bc2cb5d6ba,complete,True,pgr2,eng523-stable-v2-final-baseline-4-pgr2-vulkan,30.00637718262522,38.624,41.142,59.999977754316184,,23.0188,23.9369,0,59.8206171
baseline,OPENGL,3caf5d85423298c62344f8fe44fe9a1176b8ae81,fe8047f60181672170524cf40b2151f335f0e232d749b569b60fd5bc2cb5d6ba,complete,True,pgr2,eng523-stable-v2-final-baseline-1-pgr2-opengl,29.99873531122033,39.618,41.868,59.999355115324846,,18.4341,23.4263,0,60.1025337
candidate,OPENGL,dfe9aadf158af5e8808c109e5a48802377f23a7e,bf50e1005f122c43b1a6845f72b3e39c0cd1ed912192e0a9cc992a95bfcc9116,complete,True,pgr2,eng523-stable-v2-final-candidate-2-pgr2-opengl,29.999518339212784,39.474,42.418,60.00021409356746,,18.9173,19.3978,0,59.9342956
candidate,OPENGL,dfe9aadf158af5e8808c109e5a48802377f23a7e,bf50e1005f122c43b1a6845f72b3e39c0cd1ed912192e0a9cc992a95bfcc9116,complete,True,pgr2,eng523-stable-v2-final-candidate-3-pgr2-opengl,30.0105562843079,39.592,42.614,59.99363477042005,,22.8453,23.8935,0,59.7456436
baseline,OPENGL,3caf5d85423298c62344f8fe44fe9a1176b8ae81,fe8047f60181672170524cf40b2151f335f0e232d749b569b60fd5bc2cb5d6ba,complete,True,pgr2,eng523-stable-v2-final-baseline-4-pgr2-opengl,30.013307734370706,39.55,42.625,59.999478181303225,,21.7961,23.0617,0,60.1399891
