group,renderer,distinct_tests,runs,records,passes,candidate_average_sum_us,candidate_median_sum_us
busy_pfifo,opengl,2,2,4,4,4780889.5,4780852.0
busy_pfifo,vulkan,2,2,4,4,5098989.0,5098611.5
cpu_floating_point,opengl,2,2,4,4,1274578.5,1273923.0
cpu_floating_point,vulkan,2,2,4,4,1273698.0,1272507.5
cpu_translation_blocks,opengl,3,2,6,6,543951.0,543977.0
cpu_translation_blocks,vulkan,3,2,6,6,536160.5,536163.0
fill_rate,opengl,2,2,4,4,2884.0,2531.5
fill_rate,vulkan,2,2,4,4,4666.0,3178.0
game_load,opengl,55,2,110,110,10635458.5,10642145.5
game_load,vulkan,55,2,110,110,7269464.0,7266241.0
high_vertex_count,opengl,4,2,8,8,210761.0,210496.5
high_vertex_count,vulkan,4,2,8,8,228964.5,228166.0
pfifo_array_elements,opengl,3,2,6,6,3739.5,3877.5
pfifo_array_elements,vulkan,3,2,6,6,2835.0,1935.0
pipeline_texture_switch,opengl,4,2,8,8,57070.0,57108.0
pipeline_texture_switch,vulkan,4,2,8,8,83668.5,83015.5
primitive_type,opengl,20,2,40,40,18787.5,17509.5
primitive_type,vulkan,20,2,40,40,17568.5,13499.0
report_query,opengl,8,2,16,16,6494.0,6201.0
report_query,vulkan,8,2,16,16,26676.0,25395.0
surface,opengl,28,2,56,56,346620.5,332178.0
surface,vulkan,28,2,56,56,1023291.0,980229.5
texture_cubemap_fallback,opengl,3,2,6,6,49130.0,50055.5
texture_cubemap_fallback,vulkan,3,2,6,6,46951.0,49645.0
tiny_draw,opengl,8,2,16,16,334309.5,333971.0
tiny_draw,vulkan,8,2,16,16,197901.0,197092.5
uniform_thrash,opengl,1,2,2,2,1623.0,1522.5
uniform_thrash,vulkan,1,2,2,2,2792.5,2080.5
vertex_buffer_allocation,opengl,9,2,18,18,837067.5,835099.0
vertex_buffer_allocation,vulkan,9,2,18,18,873617.0,876062.5
