populated,round,order,old_ns_per_layout,guarded_ns_per_layout
1,0,old-first,280.236,182.204
1,1,guarded-first,276.120,179.776
1,2,old-first,277.344,179.096
1,3,guarded-first,276.516,178.960
1,4,old-first,274.048,180.236
1,5,guarded-first,274.040,180.304
1,6,old-first,280.688,184.472
1,7,guarded-first,277.660,180.992
8,0,old-first,483.200,395.880
8,1,guarded-first,486.108,395.620
8,2,old-first,482.616,395.096
8,3,guarded-first,481.588,395.668
8,4,old-first,486.668,397.652
8,5,guarded-first,487.568,395.252
8,6,old-first,486.436,398.196
8,7,guarded-first,483.456,396.136
96,0,old-first,3487.648,3483.276
96,1,guarded-first,3507.744,3513.456
96,2,old-first,3479.860,3479.820
96,3,guarded-first,3545.128,3479.760
96,4,old-first,3502.692,3490.236
96,5,guarded-first,3476.208,3480.240
96,6,old-first,3472.292,3475.252
96,7,guarded-first,3499.772,3527.988
