cell,timestamp_us_since_window_start
baseline-opengl,6785
baseline-opengl,32688
baseline-opengl,56740
baseline-opengl,83556
baseline-opengl,108131
baseline-opengl,134399
baseline-opengl,159963
baseline-opengl,184297
baseline-opengl,208962
baseline-opengl,234688
baseline-opengl,259752
baseline-opengl,303091
baseline-opengl,327686
baseline-opengl,356776
baseline-opengl,381384
baseline-opengl,405868
baseline-opengl,430062
baseline-opengl,455120
baseline-opengl,479886
baseline-opengl,505973
baseline-opengl,529811
baseline-opengl,555879
baseline-opengl,580202
baseline-opengl,605779
baseline-opengl,637237
baseline-opengl,663190
baseline-opengl,690807
baseline-opengl,717910
baseline-opengl,743024
baseline-opengl,769327
baseline-opengl,796659
baseline-opengl,822472
baseline-opengl,846049
baseline-opengl,872702
baseline-opengl,896197
baseline-opengl,922453
baseline-opengl,945526
baseline-opengl,974093
baseline-opengl,999241
baseline-opengl,1023296
baseline-opengl,1049988
baseline-opengl,1073452
baseline-opengl,1098516
baseline-opengl,1123313
baseline-opengl,1148454
baseline-opengl,1172854
baseline-opengl,1198146
baseline-opengl,1234859
baseline-opengl,1258933
baseline-opengl,1284996
baseline-opengl,1313341
baseline-opengl,1339533
baseline-opengl,1363469
baseline-opengl,1389244
baseline-opengl,1413532
baseline-opengl,1439597
baseline-opengl,1463167
baseline-opengl,1494478
baseline-opengl,1523304
baseline-opengl,1555065
baseline-opengl,1579040
baseline-opengl,1606628
baseline-opengl,1631465
baseline-opengl,1659434
baseline-opengl,1684510
baseline-opengl,1709542
baseline-opengl,1735088
baseline-opengl,1760310
baseline-opengl,1785449
baseline-opengl,1828542
baseline-opengl,1856094
baseline-opengl,1881158
baseline-opengl,1906422
baseline-opengl,1931472
baseline-opengl,1956531
baseline-opengl,1982277
baseline-opengl,2006984
baseline-opengl,2030106
baseline-opengl,2055597
baseline-opengl,2080566
baseline-opengl,2105645
baseline-opengl,2133344
baseline-opengl,2167635
baseline-opengl,2190676
baseline-opengl,2216252
baseline-opengl,2240687
baseline-opengl,2263249
baseline-opengl,2290237
baseline-opengl,2314343
baseline-opengl,2339906
baseline-opengl,2362185
baseline-opengl,2389832
baseline-opengl,2415977
baseline-opengl,2445048
baseline-opengl,2476138
baseline-opengl,2501626
baseline-opengl,2523885
baseline-opengl,2548331
baseline-opengl,2572134
baseline-opengl,2598264
baseline-opengl,2623110
baseline-opengl,2646758
baseline-opengl,2674356
baseline-opengl,2699401
baseline-opengl,2723233
baseline-opengl,2746802
baseline-opengl,2773120
baseline-opengl,2796676
baseline-opengl,2822865
baseline-opengl,2849415
baseline-opengl,2873206
baseline-opengl,2897595
baseline-opengl,2922871
baseline-opengl,2945927
baseline-opengl,2973974
baseline-opengl,2996984
baseline-opengl,3023295
baseline-opengl,3045932
baseline-opengl,3072703
baseline-opengl,3108028
baseline-opengl,3133618
baseline-opengl,3155865
baseline-opengl,3179431
baseline-opengl,3205808
baseline-opengl,3230048
baseline-opengl,3256204
baseline-opengl,3279885
baseline-opengl,3306023
baseline-opengl,3329138
baseline-opengl,3356205
baseline-opengl,3379278
baseline-opengl,3413396
baseline-opengl,3439502
baseline-opengl,3463562
baseline-opengl,3489379
baseline-opengl,3517420
baseline-opengl,3543028
baseline-opengl,3567019
baseline-opengl,3589671
baseline-opengl,3617013
baseline-opengl,3642377
baseline-opengl,3669216
baseline-opengl,3696701
baseline-opengl,3722376
baseline-opengl,3746253
baseline-opengl,3772317
baseline-opengl,3795607
baseline-opengl,3823974
baseline-opengl,3847913
baseline-opengl,3872436
baseline-opengl,3896999
baseline-opengl,3923564
baseline-opengl,3947147
baseline-opengl,3972694
baseline-opengl,3996726
baseline-opengl,4033921
baseline-opengl,4058118
baseline-opengl,4082816
baseline-opengl,4106897
baseline-opengl,4133173
baseline-opengl,4162261
baseline-opengl,4190154
baseline-opengl,4213963
baseline-opengl,4240097
baseline-opengl,4264186
baseline-opengl,4289261
baseline-opengl,4312451
baseline-opengl,4346491
baseline-opengl,4372982
baseline-opengl,4397541
baseline-opengl,4423206
baseline-opengl,4449545
baseline-opengl,4473212
baseline-opengl,4496791
baseline-opengl,4523363
baseline-opengl,4547644
baseline-opengl,4573593
baseline-opengl,4596663
baseline-opengl,4623237
baseline-opengl,4646308
baseline-opengl,4673812
baseline-opengl,4697882
baseline-opengl,4723594
baseline-opengl,4747878
baseline-opengl,4773304
baseline-opengl,4797094
baseline-opengl,4824382
baseline-opengl,4850307
baseline-opengl,4874335
baseline-opengl,4899902
baseline-opengl,4923651
baseline-opengl,4958575
baseline-opengl,4983296
baseline-opengl,5006872
baseline-opengl,5029889
baseline-opengl,5055972
baseline-opengl,5080569
baseline-opengl,5105505
baseline-opengl,5130098
baseline-opengl,5156666
baseline-opengl,5179012
baseline-opengl,5206593
baseline-opengl,5230186
baseline-opengl,5262501
baseline-opengl,5290055
baseline-opengl,5313353
baseline-opengl,5340028
baseline-opengl,5367558
baseline-opengl,5393215
baseline-opengl,5418490
baseline-opengl,5442426
baseline-opengl,5468512
baseline-opengl,5491589
baseline-opengl,5517154
baseline-opengl,5540207
baseline-opengl,5564808
baseline-opengl,5589867
baseline-opengl,5614467
baseline-opengl,5639195
baseline-opengl,5668060
baseline-opengl,5692352
baseline-opengl,5718431
baseline-opengl,5742013
baseline-opengl,5768440
baseline-opengl,5791831
baseline-opengl,5817399
baseline-opengl,5841653
baseline-opengl,5877180
baseline-opengl,5901534
baseline-opengl,5926168
baseline-opengl,5951998
baseline-opengl,5979115
baseline-opengl,6006687
baseline-opengl,6030983
baseline-opengl,6056937
baseline-opengl,6081496
baseline-opengl,6106172
baseline-opengl,6130755
baseline-opengl,6156813
baseline-opengl,6189434
baseline-opengl,6212405
baseline-opengl,6239468
baseline-opengl,6264432
baseline-opengl,6291002
baseline-opengl,6314123
baseline-opengl,6339202
baseline-opengl,6363736
baseline-opengl,6389879
baseline-opengl,6412925
baseline-opengl,6440035
baseline-opengl,6465169
baseline-opengl,6491392
baseline-opengl,6514298
baseline-opengl,6539407
baseline-opengl,6563352
baseline-opengl,6588947
baseline-opengl,6612936
baseline-opengl,6638936
baseline-opengl,6669034
baseline-opengl,6700890
baseline-opengl,6724520
baseline-opengl,6753517
baseline-opengl,6779800
baseline-opengl,6805866
baseline-opengl,6841050
baseline-opengl,6866105
baseline-opengl,6890187
baseline-opengl,6914115
baseline-opengl,6939361
baseline-opengl,6963731
baseline-opengl,6990189
baseline-opengl,7014264
baseline-opengl,7038975
baseline-opengl,7062250
baseline-opengl,7089376
baseline-opengl,7113781
baseline-opengl,7145518
baseline-opengl,7173084
baseline-opengl,7197449
baseline-opengl,7223516
baseline-opengl,7246573
baseline-opengl,7274151
baseline-opengl,7301968
baseline-opengl,7324970
baseline-opengl,7350631
baseline-opengl,7372713
baseline-opengl,7397735
baseline-opengl,7426304
baseline-opengl,7449577
baseline-opengl,7473632
baseline-opengl,7499854
baseline-opengl,7523503
baseline-opengl,7546075
baseline-opengl,7573212
baseline-opengl,7597770
baseline-opengl,7621987
baseline-opengl,7645611
baseline-opengl,7673536
baseline-opengl,7701422
baseline-opengl,7738329
baseline-opengl,7762199
baseline-opengl,7789927
baseline-opengl,7818593
baseline-opengl,7842241
baseline-opengl,7865350
baseline-opengl,7890106
baseline-opengl,7914797
baseline-opengl,7939459
baseline-opengl,7962115
baseline-opengl,7990235
baseline-opengl,8014293
baseline-opengl,8039310
baseline-opengl,8070717
baseline-opengl,8094455
baseline-opengl,8124341
baseline-opengl,8148570
baseline-opengl,8175141
baseline-opengl,8201227
baseline-opengl,8224284
baseline-opengl,8248728
baseline-opengl,8273020
baseline-opengl,8297806
baseline-opengl,8323274
baseline-opengl,8347085
baseline-opengl,8373190
baseline-opengl,8397249
baseline-opengl,8428496
baseline-opengl,8458621
baseline-opengl,8483198
baseline-opengl,8506750
baseline-opengl,8530772
baseline-opengl,8556522
baseline-opengl,8581343
baseline-opengl,8606776
baseline-opengl,8629831
baseline-opengl,8665458
baseline-opengl,8693021
baseline-opengl,8719407
baseline-opengl,8743343
baseline-opengl,8770034
baseline-opengl,8793132
baseline-opengl,8818897
baseline-opengl,8842376
baseline-opengl,8866478
baseline-opengl,8891477
baseline-opengl,8917473
baseline-opengl,8942217
baseline-opengl,8967394
baseline-opengl,9001323
baseline-opengl,9025250
baseline-opengl,9050569
baseline-opengl,9076746
baseline-opengl,9101811
baseline-opengl,9125988
baseline-opengl,9151061
baseline-opengl,9175616
baseline-opengl,9200555
baseline-opengl,9225561
baseline-opengl,9252136
baseline-opengl,9276205
baseline-opengl,9300532
baseline-opengl,9324734
baseline-opengl,9351300
baseline-opengl,9375866
baseline-opengl,9400932
baseline-opengl,9424985
baseline-opengl,9449005
baseline-opengl,9473072
baseline-opengl,9497007
baseline-opengl,9523397
baseline-opengl,9546457
baseline-opengl,9572823
baseline-opengl,9608305
baseline-opengl,9634666
baseline-opengl,9657366
baseline-opengl,9682495
baseline-opengl,9707549
baseline-opengl,9736237
baseline-opengl,9759959
baseline-opengl,9784855
baseline-opengl,9808919
baseline-opengl,9834159
baseline-opengl,9857727
baseline-opengl,9880992
baseline-opengl,9913166
baseline-opengl,9939247
baseline-opengl,9962621
baseline-opengl,9989210
baseline-vulkan,9061
baseline-vulkan,47049
baseline-vulkan,86664
baseline-vulkan,127591
baseline-vulkan,165957
baseline-vulkan,206119
baseline-vulkan,246771
baseline-vulkan,291844
baseline-vulkan,330734
baseline-vulkan,370936
baseline-vulkan,410539
baseline-vulkan,445418
baseline-vulkan,480595
baseline-vulkan,514875
baseline-vulkan,550622
baseline-vulkan,586201
baseline-vulkan,628931
baseline-vulkan,664539
baseline-vulkan,699015
baseline-vulkan,736805
baseline-vulkan,775576
baseline-vulkan,810498
baseline-vulkan,845610
baseline-vulkan,882191
baseline-vulkan,929589
baseline-vulkan,1006510
baseline-vulkan,1041953
baseline-vulkan,1076226
baseline-vulkan,1110379
baseline-vulkan,1143150
baseline-vulkan,1177735
baseline-vulkan,1210974
baseline-vulkan,1244056
baseline-vulkan,1276405
baseline-vulkan,1311495
baseline-vulkan,1342968
baseline-vulkan,1376366
baseline-vulkan,1411892
baseline-vulkan,1447495
baseline-vulkan,1482996
baseline-vulkan,1517793
baseline-vulkan,1552985
baseline-vulkan,1591258
baseline-vulkan,1626378
baseline-vulkan,1660439
baseline-vulkan,1693405
baseline-vulkan,1726719
baseline-vulkan,1759546
baseline-vulkan,1793572
baseline-vulkan,1840794
baseline-vulkan,1875251
baseline-vulkan,1909373
baseline-vulkan,1943450
baseline-vulkan,1976697
baseline-vulkan,2010486
baseline-vulkan,2046075
baseline-vulkan,2085966
