qualification,cell,source_commit,executable_sha256,cadence_proxy,p95_ms,p99_ms
2026-09-06 S3TC,baseline-vulkan,3caf5d85423298c62344f8fe44fe9a1176b8ae81,fe8047f60181672170524cf40b2151f335f0e232d749b569b60fd5bc2cb5d6ba,26.691345792706382,44.094,51.956
2026-09-06 S3TC,candidate-vulkan,330cb0d86fe946b795330b629c3e0844c2c10d51,ee73b71288ebc30f8a5bb65f1d81cdb7dcb1edfb99c6352997fd16bcd411ab46,27.627903378691656,43.462,51.14
2026-09-06 S3TC,baseline-opengl,3caf5d85423298c62344f8fe44fe9a1176b8ae81,fe8047f60181672170524cf40b2151f335f0e232d749b569b60fd5bc2cb5d6ba,36.91593819549678,33.116,39.738
2026-09-06 S3TC,candidate-opengl,330cb0d86fe946b795330b629c3e0844c2c10d51,ee73b71288ebc30f8a5bb65f1d81cdb7dcb1edfb99c6352997fd16bcd411ab46,38.441462961950755,32.093,35.446
2026-09-06 cubemap crop,baseline-vulkan,330cb0d86fe946b795330b629c3e0844c2c10d51,ee73b71288ebc30f8a5bb65f1d81cdb7dcb1edfb99c6352997fd16bcd411ab46,26.74547801080958,43.417,53.636
2026-09-06 cubemap crop,candidate-vulkan,b33b33c38e434df8dbb71a67837f1ecb210f8479,d1c014b2f07d0ecf62d6f7259493244f5b8fddae81092ecff6647ec21e1fc7ed,27.502532190258503,43.59,51.768
2026-09-06 cubemap crop,baseline-opengl,330cb0d86fe946b795330b629c3e0844c2c10d51,ee73b71288ebc30f8a5bb65f1d81cdb7dcb1edfb99c6352997fd16bcd411ab46,37.51599947036236,33.578,38.725
2026-09-06 cubemap crop,candidate-opengl,b33b33c38e434df8dbb71a67837f1ecb210f8479,d1c014b2f07d0ecf62d6f7259493244f5b8fddae81092ecff6647ec21e1fc7ed,36.996279116773486,32.609,40.198
2026-09-06 DMA validation,baseline-vulkan,b33b33c38e434df8dbb71a67837f1ecb210f8479,d1c014b2f07d0ecf62d6f7259493244f5b8fddae81092ecff6647ec21e1fc7ed,26.89374352179392,43.659,50.134
2026-09-06 DMA validation,candidate-vulkan,5884243111c3c9dba0dc3c30cc00e18489fa96c3,6c489886fd182425279a2e6579b51e04058a947fee7fe120a4d5d85e93d491e2,26.922978782482627,45.122,50.66
2026-09-06 DMA validation,baseline-opengl,b33b33c38e434df8dbb71a67837f1ecb210f8479,d1c014b2f07d0ecf62d6f7259493244f5b8fddae81092ecff6647ec21e1fc7ed,33.9503449665509,37.088,40.846
2026-09-06 DMA validation,candidate-opengl,5884243111c3c9dba0dc3c30cc00e18489fa96c3,6c489886fd182425279a2e6579b51e04058a947fee7fe120a4d5d85e93d491e2,38.077895951748495,32.664,39.939
