workload,renderer,build,sequence,source,exe_sha256,fps,p95_ms,p99_ms,status,private_hdd_deleted,image_sha256
morrowind,VULKAN,baseline,1,3caf5d85423298c62344f8fe44fe9a1176b8ae81,fe8047f60181672170524cf40b2151f335f0e232d749b569b60fd5bc2cb5d6ba,28.545524402316815,44.22,51.314,complete,True,3a0d1a99a941afecae1ae7bdab48d654c93fc43fc25d44c5f7d71fdc72bfe490
morrowind,VULKAN,candidate,1,57cf3f0a4b443e8074c79710139d2b8aaf6ac0aa,aa3c7d0f8d0dc0b4e6156ad0840a7d0a5ce621ae2ad42bd121a3d9126d18e7de,26.792925904916018,44.188,50.392,complete,True,f10a24a5544a6c466110bc0a4b37efc5ffd1bd11d6c38eec3024b928d07327b6
morrowind,OPENGL,baseline,1,3caf5d85423298c62344f8fe44fe9a1176b8ae81,fe8047f60181672170524cf40b2151f335f0e232d749b569b60fd5bc2cb5d6ba,38.76813499725768,31.761,36.907,complete,True,1ce27b45d89f3158901e6bc81b2bc2327b77b523bccaf8814b18d37046559faf
morrowind,OPENGL,candidate,1,57cf3f0a4b443e8074c79710139d2b8aaf6ac0aa,aa3c7d0f8d0dc0b4e6156ad0840a7d0a5ce621ae2ad42bd121a3d9126d18e7de,37.6402211157224,33.902,38.08,complete,True,1b462126a5a9cbc5e37a033307fe0062aa2bd985f2e569cc5cd21dcc713352bc
pgr2,VULKAN,baseline,1,3caf5d85423298c62344f8fe44fe9a1176b8ae81,fe8047f60181672170524cf40b2151f335f0e232d749b569b60fd5bc2cb5d6ba,30.010252369693347,39.855,42.334,complete,True,b57ef36883fa193f2374906106c2facedc77cf7372d9bfc9a24f55d55bdcfb98
pgr2,VULKAN,candidate,2,57cf3f0a4b443e8074c79710139d2b8aaf6ac0aa,aa3c7d0f8d0dc0b4e6156ad0840a7d0a5ce621ae2ad42bd121a3d9126d18e7de,29.99047715614763,38.627,41.767,complete,True,399be1286b277deba428965734b70b295f5fbda0c04cf34fabedc642f2d53422
pgr2,VULKAN,candidate,3,57cf3f0a4b443e8074c79710139d2b8aaf6ac0aa,aa3c7d0f8d0dc0b4e6156ad0840a7d0a5ce621ae2ad42bd121a3d9126d18e7de,30.004120699707066,38.153,40.759,complete,True,4baeb1a78b965e66cdedabe78c47b84b82e41e2f0993bb9ec4eec9316877d91c
pgr2,VULKAN,baseline,4,3caf5d85423298c62344f8fe44fe9a1176b8ae81,fe8047f60181672170524cf40b2151f335f0e232d749b569b60fd5bc2cb5d6ba,30.003383597661802,38.13,40.869,complete,True,967ed477186814f24b00d944095e8bc390b76d1abf00a7d493dcd653d12072c0
pgr2,OPENGL,baseline,1,3caf5d85423298c62344f8fe44fe9a1176b8ae81,fe8047f60181672170524cf40b2151f335f0e232d749b569b60fd5bc2cb5d6ba,30.002110924576183,39.702,43.052,complete,True,c9c390a139d66a8aadd8c5e12da77714bf1c0b71837563aac92c8213b3234411
pgr2,OPENGL,candidate,2,57cf3f0a4b443e8074c79710139d2b8aaf6ac0aa,aa3c7d0f8d0dc0b4e6156ad0840a7d0a5ce621ae2ad42bd121a3d9126d18e7de,29.99773514590078,39.4,41.763,complete,True,9782a87122afad723bf840f14c58558efd8907c726ee523e69175510ba2774b3
pgr2,OPENGL,candidate,3,57cf3f0a4b443e8074c79710139d2b8aaf6ac0aa,aa3c7d0f8d0dc0b4e6156ad0840a7d0a5ce621ae2ad42bd121a3d9126d18e7de,30.003722308717236,41.009,43.617,complete,True,6f3066172b539e056eb4036243f3728cd6224a73907eee77f9823f44e356f077
pgr2,OPENGL,baseline,4,3caf5d85423298c62344f8fe44fe9a1176b8ae81,fe8047f60181672170524cf40b2151f335f0e232d749b569b60fd5bc2cb5d6ba,29.998819491516212,40.243,43.515,complete,True,0d1c6e0e681d20af1cf1aad2a3d7bd872075c3e7ef1290ad9bcc0841ac173eec
