build,renderer,source_commit,xemu_sha256,status,private_hdd_deleted,workload,run,fps,p95_ms,p99_ms,host_fps,error,host_p95_ms,host_p99_ms,foreground_incidents,measurement_seconds
baseline,VULKAN,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,complete,True,morrowind,baseline-vulkan,18.696237010387268,63.821,73.365,,,,,,
candidate,VULKAN,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,complete,True,morrowind,candidate-vulkan,27.687989662347977,41.936,48.707,,,,,,
baseline,OPENGL,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,complete,True,morrowind,baseline-opengl,38.29952130611394,31.876,37.299,,,,,,
candidate,OPENGL,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,complete,True,morrowind,candidate-opengl,38.42277999346913,31.856,36.53,,,,,,
baseline,VULKAN,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,complete,True,pgr2,eng523-upstream-pr52-baseline-1-pgr2-vulkan,5.13508107596354,252.481,281.819,59.998675460035756,,23.6635,28.3902,0,59.7848399
candidate,VULKAN,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,complete,True,pgr2,eng523-upstream-pr52-candidate-2-pgr2-vulkan,30.00789893827224,38.724,41.404,60.00052161743787,,22.8311,23.6366,0,60.0508554
candidate,VULKAN,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,complete,True,pgr2,eng523-upstream-pr52-candidate-3-pgr2-vulkan,29.994774341672606,39.609,41.286,60.00066225918638,,19.5118,22.2076,0,60.1438097
baseline,VULKAN,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,complete,True,pgr2,eng523-upstream-pr52-baseline-4-pgr2-vulkan,4.137401530262345,318.58,368.304,59.99989791510282,,22.8944,27.9776,0,59.699306
baseline,OPENGL,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,complete,True,pgr2,eng523-upstream-pr52-baseline-1-pgr2-opengl,5.528660275048778,250.663,274.952,59.997643049788834,,19.4468,22.5386,0,59.8698389
candidate,OPENGL,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,complete,True,pgr2,eng523-upstream-pr52-candidate-2-pgr2-opengl,29.998804471148198,39.711,42.485,59.99838441259708,,22.7012,23.6616,0,60.1357298
candidate,OPENGL,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,complete,True,pgr2,eng523-upstream-pr52-candidate-3-pgr2-opengl,30.000563624779588,39.436,42.632,59.99835139604985,,19.7929,20.8582,0,60.1322036
baseline,OPENGL,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,complete,True,pgr2,eng523-upstream-pr52-baseline-4-pgr2-opengl,5.881205992661381,237.944,270.2,59.99919853210672,,19.2964,21.442,0,59.6816368
