group,renderer,role,mode,label,source,exe_sha256,status,runner_exit_code,suite_status,selected_for_comparison,reason
busy_pfifo,vulkan,baseline,group,group,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
busy_pfifo,vulkan,candidate,group,group,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
cpu_floating_point,vulkan,candidate,group,group,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
cpu_floating_point,vulkan,baseline,group,group,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
cpu_translation_blocks,vulkan,baseline,group,group,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
cpu_translation_blocks,vulkan,candidate,group,group,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
fill_rate,vulkan,candidate,group,group,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
fill_rate,vulkan,baseline,group,group,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
game_load,vulkan,baseline,group,group,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,N/A,1,FAILED,False,N/A: catalog/result mismatch
game_load,vulkan,candidate,group,group,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,False,
game_load,vulkan,baseline,isolated-target,target-0,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
game_load,vulkan,candidate,isolated-target,target-0,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
game_load,vulkan,baseline,isolated-target,target-1,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
game_load,vulkan,candidate,isolated-target,target-1,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
