group,renderer,expected_leaf_tests,matched_leaf_tests,na_leaf_tests,comparison_mode,baseline_passing_leaf_tests,baseline_average_us_sum,baseline_median_us_sum,candidate_passing_leaf_tests,candidate_average_us_sum,candidate_median_us_sum,average_us_delta_percent,median_us_delta_percent
busy_pfifo,opengl,2,2,0,group,2,10464505,10464355,2,5046403,5046535,-51.775998960294835,-51.77404627423285
cpu_floating_point,opengl,2,2,0,group,2,1269205,1266580,2,1297106,1296334,2.1983052383184765,2.349160732050093
cpu_translation_blocks,opengl,3,3,0,group,3,570004,572756,3,652593,650223,14.48919656704164,13.525305714824466
fill_rate,opengl,2,2,0,group,2,3486,3023,2,3080,2781,-11.646586345381527,-8.00529275554085
game_load,opengl,52,44,8,group,52,9762572,9733933,52,10110190,10105993,3.5607214983920166,3.822298756319764
high_vertex_count,opengl,4,4,0,group,4,316269,315185,4,360385,361322,13.948885284362355,14.638069705093827
pfifo_array_elements,opengl,3,3,0,group,3,3817,3537,3,3561,3424,-6.70683783075714,-3.1947978512864017
pipeline_texture_switch,opengl,4,4,0,group,4,69002,69065,4,67925,67731,-1.5608243239326414,-1.9315137913559655
primitive_type,opengl,20,20,0,group,20,23448,22472,20,23404,22479,-0.18764926646195335,0.03114987540049352
report_query,opengl,8,7,1,isolated-targets,7,15262,10854,8,13757,9707,-9.86109291049666,-10.567532706836191
surface,opengl,26,26,0,group,26,390198,372897,26,347655,331517,-10.902926206695064,-11.096898071049111
texture_cubemap_fallback,opengl,3,0,3,isolated-targets,0,,,3,,,,
tiny_draw,opengl,8,8,0,group,8,359847,359219,8,348775,348533,-3.076863222425086,-2.9747869683953265
uniform_thrash,opengl,1,1,0,group,1,1646,1552,1,1795,1586,9.052247873633057,2.1907216494845283
vertex_buffer_allocation,opengl,9,9,0,group,9,1953574,1951465,9,1970494,1968922,0.8661048928783943,0.8945587033331259
busy_pfifo,vulkan,2,2,0,group,2,8669294,8668804,2,5909374,5909341,-31.835579690802962,-31.832107404896913
cpu_floating_point,vulkan,2,2,0,group,2,1261655,1264443,2,1330244,1329658,5.4364307199670225,5.157606946299675
cpu_translation_blocks,vulkan,3,3,0,group,3,562528,559665,3,652355,654242,15.968449570510268,16.898859138949195
fill_rate,vulkan,2,2,0,group,2,4769,3022,2,4804,2941,0.7339064793457695,-2.680344142951685
game_load,vulkan,52,40,12,isolated-targets,40,10636201,10605626,52,7157599,7104479,-32.70530521188909,-33.012167315724696
high_vertex_count,vulkan,4,4,0,group,4,319716,317602,4,291470,292955,-8.834715810281624,-7.760341559561967
pfifo_array_elements,vulkan,3,3,0,group,3,3998,2425,3,4049,2510,1.2756378189094475,3.5051546391752675
pipeline_texture_switch,vulkan,4,4,0,group,4,67455,67953,4,75472,76652,11.884960343932981,12.801495151060283
primitive_type,vulkan,20,20,0,group,20,24420,18943,20,23241,18523,-4.828009828009828,-2.2171778493374816
report_query,vulkan,8,6,2,isolated-targets,6,36441,21120,8,37953,23896,4.149172635218568,13.143939393939386
surface,vulkan,26,26,0,group,26,590012,569668,26,517315,491436,-12.321274821529048,-13.732911099096313
texture_cubemap_fallback,vulkan,3,0,3,isolated-targets,0,,,3,,,,
tiny_draw,vulkan,8,8,0,group,8,246480,246687,8,205965,206558,-16.437439143135347,-16.267172570909693
uniform_thrash,vulkan,1,1,0,group,1,3028,1915,1,3218,2024,6.274768824306465,5.691906005221936
vertex_buffer_allocation,vulkan,9,9,0,group,9,1621537,1617383,9,1188607,1188970,-26.69874322941752,-26.488036538037065
