"branch_id","backend","variant","test_id","kind","name","outcome","runs","mean_total_us","mean_average_us","mean_median_us","mean_p95_us"
"pr24-frozen-s-opengl-8eeb","opengl","release","busy_pfifo.pfifo_saturation","leaf","BusyPfifo::PFIFOSaturation","PASS","2","680378.5","68037.5","67520.5","73299"
"pr24-frozen-s-opengl-8eeb","opengl","release","busy_pfifo.pgraph_pattern_polling","leaf","BusyPfifo::PgraphPatternPolling","PASS","2","4632328.5","4632328.5","4632328.5","4632328.5"
"pr24-frozen-s-opengl-8eeb","opengl","release","cpu_floating_point.sse_scalar","leaf","CpuFloatingPoint::SSEScalar","PASS","2","4983892.5","498389","498829.5","504848"
"pr24-frozen-s-opengl-8eeb","opengl","release","cpu_floating_point.x87_scalar","leaf","CpuFloatingPoint::X87Scalar","PASS","2","7504479.5","750447.5","750172.5","754969"
"pr24-frozen-s-opengl-8eeb","opengl","release","cpu_translation_blocks.direct_loop","leaf","CpuTranslationBlocks::DirectLoop","PASS","2","100210.5","10021","10000","10317"
"pr24-frozen-s-opengl-8eeb","opengl","release","cpu_translation_blocks.indirect_dispatch","leaf","CpuTranslationBlocks::IndirectDispatch","PASS","2","247225","24722","24750","25413.5"
"pr24-frozen-s-opengl-8eeb","opengl","release","cpu_translation_blocks.indirect_dispatch_stress","leaf","CpuTranslationBlocks::IndirectDispatchStress","PASS","2","4862319","486231.5","486444.5","493287"
"pr24-frozen-s-opengl-8eeb","opengl","release","fill_rate.solid","leaf","FillRate::FillRate-Solid","PASS","2","15242.5","1523.5","1388.5","2433.5"
"pr24-frozen-s-opengl-8eeb","opengl","release","fill_rate.textured","leaf","FillRate::FillRate-Textured","PASS","2","15732","1573","1410.5","2392.5"
"pr24-frozen-s-opengl-8eeb","opengl","release","game_load.cross_title_hotpath","group","GameLoadComposite::09-CrossTitleHotpath","PASS","2","0","0","0","0"
"pr24-frozen-s-opengl-8eeb","opengl","release","game_load.cross_title_hotpath.blend_constant_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-06-BlendConstantReuse","PASS","2","680406","85050","83324.5","91507"
"pr24-frozen-s-opengl-8eeb","opengl","release","game_load.cross_title_hotpath.gpu_wait_control","leaf","GameLoadComposite::09-CrossTitleHotpath-11-GpuWaitControl","PASS","2","17788.5","2223.5","2139.5","2602"
"pr24-frozen-s-opengl-8eeb","opengl","release","game_load.cross_title_hotpath.pgr2_lagspot_inline_elements","leaf","GameLoadComposite::09-CrossTitleHotpath-08-Pgr2LagspotInlineElements","PASS","2","665158.5","83144.5","83188.5","86583.5"
"pr24-frozen-s-opengl-8eeb","opengl","release","game_load.cross_title_hotpath.pgr2_small_draws","leaf","GameLoadComposite::09-CrossTitleHotpath-02-Pgr2SmallDraws","PASS","2","790943","98867.5","96626.5","108842"
"pr24-frozen-s-opengl-8eeb","opengl","release","game_load.cross_title_hotpath.pipeline_state_churn","leaf","GameLoadComposite::09-CrossTitleHotpath-05-PipelineStateChurn","PASS","2","403276.5","50409","49873","55655"
"pr24-frozen-s-opengl-8eeb","opengl","release","game_load.cross_title_hotpath.queued_vertex_cpu_writes","leaf","GameLoadComposite::09-CrossTitleHotpath-01-QueuedVertexCpuWrites","PASS","2","407922","50990","50179.5","57021.5"
"pr24-frozen-s-opengl-8eeb","opengl","release","game_load.cross_title_hotpath.s3tc_streaming_fenced_draws","leaf","GameLoadComposite::09-CrossTitleHotpath-10-S3tcStreamingFencedDraws","PASS","2","69646938.5","8705867","8700150.5","8741401.5"
"pr24-frozen-s-opengl-8eeb","opengl","release","game_load.cross_title_hotpath.scaled_surface_pressure","leaf","GameLoadComposite::09-CrossTitleHotpath-09-ScaledSurfacePressure","PASS","2","1869208","233650.5","232624","243110.5"
"pr24-frozen-s-opengl-8eeb","opengl","release","game_load.cross_title_hotpath.surface_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-04-SurfaceReuse","PASS","2","49716.5","6214.5","6229","6733.5"
"pr24-frozen-s-opengl-8eeb","opengl","release","game_load.cross_title_hotpath.texture_binding_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-07-TextureBindingReuse","PASS","2","930838.5","116354","117021","119415"
"pr24-frozen-s-opengl-8eeb","opengl","release","game_load.cross_title_hotpath.texture_update_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-03-TextureUpdateReuse","PASS","2","24809","3100.5","3100.5","3631"
"pr24-frozen-s-opengl-8eeb","opengl","release","game_load.doax_menu_representative.cpu_only","leaf","GameLoadComposite::DoaxMenuRepresentative-01-CPUOnly","PASS","2","76909.5","9613.5","9592","10043.5"
