"branch_id","backend","variant","test_id","kind","name","outcome","runs","mean_total_us","mean_average_us","mean_median_us","mean_p95_us"
"pr24-wait-only-opengl-8eeb","opengl","release","busy_pfifo.pfifo_saturation","leaf","BusyPfifo::PFIFOSaturation","PASS","2","649179","64917.5","64437","68373"
"pr24-wait-only-opengl-8eeb","opengl","release","busy_pfifo.pgraph_pattern_polling","leaf","BusyPfifo::PgraphPatternPolling","PASS","2","4517104","4517104","4517104","4517104"
"pr24-wait-only-opengl-8eeb","opengl","release","cpu_floating_point.sse_scalar","leaf","CpuFloatingPoint::SSEScalar","PASS","2","5006195.5","500619.5","500969.5","512959.5"
"pr24-wait-only-opengl-8eeb","opengl","release","cpu_floating_point.x87_scalar","leaf","CpuFloatingPoint::X87Scalar","PASS","2","7516112","751611","751158.5","756979"
"pr24-wait-only-opengl-8eeb","opengl","release","cpu_translation_blocks.direct_loop","leaf","CpuTranslationBlocks::DirectLoop","PASS","2","101972","10196.5","10068","10995.5"
"pr24-wait-only-opengl-8eeb","opengl","release","cpu_translation_blocks.indirect_dispatch","leaf","CpuTranslationBlocks::IndirectDispatch","PASS","2","247533.5","24752.5","24689.5","25471.5"
"pr24-wait-only-opengl-8eeb","opengl","release","cpu_translation_blocks.indirect_dispatch_stress","leaf","CpuTranslationBlocks::IndirectDispatchStress","PASS","2","4882953","488295","488329","491642"
"pr24-wait-only-opengl-8eeb","opengl","release","fill_rate.solid","leaf","FillRate::FillRate-Solid","PASS","2","15828","1582","1295.5","2302"
"pr24-wait-only-opengl-8eeb","opengl","release","fill_rate.textured","leaf","FillRate::FillRate-Textured","PASS","2","16071.5","1606.5","1427.5","2435"
"pr24-wait-only-opengl-8eeb","opengl","release","game_load.cross_title_hotpath","group","GameLoadComposite::09-CrossTitleHotpath","PASS","2","0","0","0","0"
"pr24-wait-only-opengl-8eeb","opengl","release","game_load.cross_title_hotpath.blend_constant_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-06-BlendConstantReuse","PASS","2","696970","87121","83893.5","97146"
"pr24-wait-only-opengl-8eeb","opengl","release","game_load.cross_title_hotpath.gpu_wait_control","leaf","GameLoadComposite::09-CrossTitleHotpath-11-GpuWaitControl","PASS","2","19954.5","2493.5","2455.5","3184"
"pr24-wait-only-opengl-8eeb","opengl","release","game_load.cross_title_hotpath.pgr2_lagspot_inline_elements","leaf","GameLoadComposite::09-CrossTitleHotpath-08-Pgr2LagspotInlineElements","PASS","2","673008.5","84125.5","83502.5","90488.5"
"pr24-wait-only-opengl-8eeb","opengl","release","game_load.cross_title_hotpath.pgr2_small_draws","leaf","GameLoadComposite::09-CrossTitleHotpath-02-Pgr2SmallDraws","PASS","2","785557.5","98194","95322.5","108249"
