"branch_id","backend","variant","test_id","kind","name","outcome","runs","mean_total_us","mean_average_us","mean_median_us","mean_p95_us"
"pr24-frozen-s-vulkan-8eeb","vulkan","release","busy_pfifo.pfifo_saturation","leaf","BusyPfifo::PFIFOSaturation","PASS","2","639019","63901.5","63765","67286.5"
"pr24-frozen-s-vulkan-8eeb","vulkan","release","busy_pfifo.pgraph_pattern_polling","leaf","BusyPfifo::PgraphPatternPolling","PASS","2","5111104","5111104","5111104","5111104"
"pr24-frozen-s-vulkan-8eeb","vulkan","release","cpu_floating_point.sse_scalar","leaf","CpuFloatingPoint::SSEScalar","PASS","2","4999908.5","499990","498610.5","510825"
"pr24-frozen-s-vulkan-8eeb","vulkan","release","cpu_floating_point.x87_scalar","leaf","CpuFloatingPoint::X87Scalar","PASS","2","7485503.5","748550","748182.5","751437"
"pr24-frozen-s-vulkan-8eeb","vulkan","release","cpu_translation_blocks.direct_loop","leaf","CpuTranslationBlocks::DirectLoop","PASS","2","100146","10014","9953.5","10273"
"pr24-frozen-s-vulkan-8eeb","vulkan","release","cpu_translation_blocks.indirect_dispatch","leaf","CpuTranslationBlocks::IndirectDispatch","PASS","2","245534","24553","24520.5","24914"
"pr24-frozen-s-vulkan-8eeb","vulkan","release","cpu_translation_blocks.indirect_dispatch_stress","leaf","CpuTranslationBlocks::IndirectDispatchStress","PASS","2","4878096.5","487809","487916.5","491332.5"
"pr24-frozen-s-vulkan-8eeb","vulkan","release","fill_rate.solid","leaf","FillRate::FillRate-Solid","PASS","2","15745.5","1574","1086","5184.5"
"pr24-frozen-s-vulkan-8eeb","vulkan","release","fill_rate.textured","leaf","FillRate::FillRate-Textured","PASS","2","19605.5","1960","1085.5","9675.5"
"pr24-frozen-s-vulkan-8eeb","vulkan","release","game_load.cross_title_hotpath","group","GameLoadComposite::09-CrossTitleHotpath","PASS","2","0","0","0","0"
"pr24-frozen-s-vulkan-8eeb","vulkan","release","game_load.cross_title_hotpath.blend_constant_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-06-BlendConstantReuse","PASS","2","796846","99605.5","99798","101314"
"pr24-frozen-s-vulkan-8eeb","vulkan","release","game_load.cross_title_hotpath.gpu_wait_control","leaf","GameLoadComposite::09-CrossTitleHotpath-11-GpuWaitControl","PASS","2","9700.5","1212","1130","1600.5"
"pr24-frozen-s-vulkan-8eeb","vulkan","release","game_load.cross_title_hotpath.pgr2_lagspot_inline_elements","leaf","GameLoadComposite::09-CrossTitleHotpath-08-Pgr2LagspotInlineElements","PASS","2","777286","97160","96390","114419"
"pr24-frozen-s-vulkan-8eeb","vulkan","release","game_load.cross_title_hotpath.pgr2_small_draws","leaf","GameLoadComposite::09-CrossTitleHotpath-02-Pgr2SmallDraws","PASS","2","883017.5","110377","106783","121785"
