"branch_id","backend","variant","test_id","kind","name","outcome","runs","mean_total_us","mean_average_us","mean_median_us","mean_p95_us"
"pr24-wait-only-vulkan-8eeb","vulkan","release","busy_pfifo.pfifo_saturation","leaf","BusyPfifo::PFIFOSaturation","PASS","2","631148.5","63114.5","63052.5","66612"
"pr24-wait-only-vulkan-8eeb","vulkan","release","busy_pfifo.pgraph_pattern_polling","leaf","BusyPfifo::PgraphPatternPolling","PASS","2","5166242.5","5166242.5","5166242.5","5166242.5"
"pr24-wait-only-vulkan-8eeb","vulkan","release","cpu_floating_point.sse_scalar","leaf","CpuFloatingPoint::SSEScalar","PASS","2","4968034","496803","495870.5","507275"
"pr24-wait-only-vulkan-8eeb","vulkan","release","cpu_floating_point.x87_scalar","leaf","CpuFloatingPoint::X87Scalar","PASS","2","7486575.5","748657","748582","752218"
"pr24-wait-only-vulkan-8eeb","vulkan","release","cpu_translation_blocks.direct_loop","leaf","CpuTranslationBlocks::DirectLoop","PASS","2","100243.5","10024","9857","10857"
"pr24-wait-only-vulkan-8eeb","vulkan","release","cpu_translation_blocks.indirect_dispatch","leaf","CpuTranslationBlocks::IndirectDispatch","PASS","2","243925","24392","24439","24892"
"pr24-wait-only-vulkan-8eeb","vulkan","release","cpu_translation_blocks.indirect_dispatch_stress","leaf","CpuTranslationBlocks::IndirectDispatchStress","PASS","2","4868877.5","486887.5","486125.5","492827"
"pr24-wait-only-vulkan-8eeb","vulkan","release","fill_rate.solid","leaf","FillRate::FillRate-Solid","PASS","2","16277","1627","1104.5","5224.5"
"pr24-wait-only-vulkan-8eeb","vulkan","release","fill_rate.textured","leaf","FillRate::FillRate-Textured","PASS","2","18738.5","1873.5","1104","8583"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.cross_title_hotpath","group","GameLoadComposite::09-CrossTitleHotpath","PASS","2","0","0","0","0"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.cross_title_hotpath.blend_constant_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-06-BlendConstantReuse","PASS","2","802286","100285","100237.5","105998.5"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.cross_title_hotpath.gpu_wait_control","leaf","GameLoadComposite::09-CrossTitleHotpath-11-GpuWaitControl","PASS","2","9747","1218","1149","1540.5"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.cross_title_hotpath.pgr2_lagspot_inline_elements","leaf","GameLoadComposite::09-CrossTitleHotpath-08-Pgr2LagspotInlineElements","PASS","2","786254.5","98281","98319","111137.5"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.cross_title_hotpath.pgr2_small_draws","leaf","GameLoadComposite::09-CrossTitleHotpath-02-Pgr2SmallDraws","PASS","2","907885","113485","110042.5","126005"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.cross_title_hotpath.pipeline_state_churn","leaf","GameLoadComposite::09-CrossTitleHotpath-05-PipelineStateChurn","PASS","2","478255","59781.5","58515.5","66714.5"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.cross_title_hotpath.queued_vertex_cpu_writes","leaf","GameLoadComposite::09-CrossTitleHotpath-01-QueuedVertexCpuWrites","PASS","2","413135.5","51641.5","50199.5","62425.5"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.cross_title_hotpath.s3tc_streaming_fenced_draws","leaf","GameLoadComposite::09-CrossTitleHotpath-10-S3tcStreamingFencedDraws","PASS","2","37641300.5","4705162","4707405.5","4720612"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.cross_title_hotpath.scaled_surface_pressure","leaf","GameLoadComposite::09-CrossTitleHotpath-09-ScaledSurfacePressure","PASS","2","2399287.5","299910.5","299795","326604.5"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.cross_title_hotpath.surface_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-04-SurfaceReuse","PASS","2","41052","5131","5024","5810.5"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.cross_title_hotpath.texture_binding_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-07-TextureBindingReuse","PASS","2","1070737","133841.5","133603","141614.5"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.cross_title_hotpath.texture_update_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-03-TextureUpdateReuse","PASS","2","22788","2848","2808","3305"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.doax_menu_representative.cpu_only","leaf","GameLoadComposite::DoaxMenuRepresentative-01-CPUOnly","PASS","2","75949.5","9493.5","9433","9838.5"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.doax_menu_representative.cpu_pfifo_gpu","leaf","GameLoadComposite::DoaxMenuRepresentative-05-CPUPFIFOGPU","PASS","2","225566.5","28195.5","28195","28572.5"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.doax_menu_representative.cpu_pfifo_gpu_streaming","leaf","GameLoadComposite::DoaxMenuRepresentative-06-CPUPFIFOGPUStreaming","PASS","2","257443.5","32180","32042","33238"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.doax_menu_representative.full_system","leaf","GameLoadComposite::DoaxMenuRepresentative-07-FullSystem","PASS","2","260440.5","32555","31785","36719.5"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.doax_menu_representative.gpu_only","leaf","GameLoadComposite::DoaxMenuRepresentative-03-GPUOnly","PASS","2","132747","16592.5","16563","16805"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.doax_menu_representative.pfifo_only","leaf","GameLoadComposite::DoaxMenuRepresentative-02-PFIFOOnly","PASS","2","17537.5","2192","2180","2344.5"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.doax_menu_representative.streaming_only","leaf","GameLoadComposite::DoaxMenuRepresentative-04-StreamingOnly","PASS","2","38722","4840","4570","6356.5"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.doax_menu_stress.cpu_only","leaf","GameLoadComposite::DoaxMenuStress-01-CPUOnly","PASS","2","151989","18998","18911","19594"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.doax_menu_stress.cpu_pfifo_gpu","leaf","GameLoadComposite::DoaxMenuStress-05-CPUPFIFOGPU","PASS","2","451299","56412","56441.5","56778.5"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.doax_menu_stress.cpu_pfifo_gpu_streaming","leaf","GameLoadComposite::DoaxMenuStress-06-CPUPFIFOGPUStreaming","PASS","2","502460","62807","62827.5","63863"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.doax_menu_stress.full_system","leaf","GameLoadComposite::DoaxMenuStress-07-FullSystem","PASS","2","511147","63893","63083.5","70351.5"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.doax_menu_stress.gpu_only","leaf","GameLoadComposite::DoaxMenuStress-03-GPUOnly","PASS","2","265910","33238.5","33210.5","33567"
"pr24-wait-only-vulkan-8eeb","vulkan","release","game_load.doax_menu_stress.pfifo_only","leaf","GameLoadComposite::DoaxMenuStress-02-PFIFOOnly","PASS","2","34675.5","4334","4324.5","4502.5"
