cell,elapsed_s,interval_ms
1-on,1.619196,169.58100000000002
1-on,2.899882,83.58200000000001
1-on,3.770537,156.137
1-on,5.916293,137.68800000000002
1-on,8.050934,190.85399999999998
1-on,10.172355,181.401
1-on,12.294818,183.095
1-on,14.436223,166.071
1-on,16.536447,161.195
1-on,18.673826,172.993
1-on,20.771718,190.001
1-on,22.894887,167.03
1-on,25.005518,160.959
1-on,27.119482,172.595
1-on,29.207372,179.661
1-on,31.330466,167.426
1-on,33.426669,187.107
1-on,35.556985,177.001
1-on,37.657657,180.959
1-on,39.765877,183.591
1-on,41.846524,170.02700000000002
1-on,43.954627,171.09
1-on,46.0446,163.441
1-on,48.142887,187.618
1-on,50.203992,181.66
1-on,52.320912,166.909
1-on,54.397206,188.254
1-on,56.485929,171.22799999999998
1-on,58.572298,164.59799999999998
3-off,1.80738,83.62700000000001
4-on,1.723645,172.45499999999998
4-on,2.943765,78.502
4-on,3.856298,161.768
4-on,6.009668,191.33800000000002
4-on,8.131965,174.167
4-on,10.27813,167.52700000000002
4-on,12.418799,157.478
4-on,14.542231,184.76600000000002
4-on,16.66599,172.40800000000002
4-on,18.780117,189.169
4-on,20.91837,160.28300000000002
4-on,23.015133,155.366
4-on,25.152901,180.52
4-on,27.260172,184.535
4-on,29.369737,191.128
4-on,31.472314,178.955
4-on,33.599973,198.91
4-on,35.699899,188.441
4-on,37.799406,183.35299999999998
4-on,39.874793,154.90599999999998
4-on,41.984176,171.649
4-on,44.107495,181.268
4-on,46.181844,175.854
4-on,48.290144,190.707
4-on,50.390195,163.009
4-on,52.487714,193.248
4-on,54.585998,156.693
4-on,56.69109,180.656
4-on,58.775602,153.331
