cell,thread_id,scheduled_cpu_seconds
pgr2-off-vulkan,796,5.259869
pgr2-off-vulkan,12712,55.023674
pgr2-off-vulkan,15200,6.302249
pgr2-off-vulkan,8692,0.023127
pgr2-off-vulkan,2212,53.941219
pgr2-off-vulkan,4008,6.335778
pgr2-off-vulkan,9316,6.086551
pgr2-off-vulkan,12416,6.259619
pgr2-off-vulkan,9480,0.000201
pgr2-off-vulkan,14312,0.000179
pgr2-off-vulkan,11840,0.000235
pgr2-off-vulkan,10156,0.000106
pgr2-off-vulkan,12328,0.000192
pgr2-off-vulkan,12872,6.419232
pgr2-off-vulkan,1172,5.79017
pgr2-off-vulkan,8972,5.784892
pgr2-off-vulkan,8532,0.064167
pgr2-off-vulkan,3148,0.0006
pgr2-off-vulkan,10700,6.112787
pgr2-off-vulkan,15108,5.679182
pgr2-off-vulkan,5512,2.649917
pgr2-off-vulkan,12704,5.666038
pgr2-off-vulkan,14564,11.788845
pgr2-off-vulkan,12236,6.012937
pgr2-off-vulkan,4684,0.005941
pgr2-off-vulkan,15008,6.018859
pgr2-off-vulkan,9328,6.13271
pgr2-off-vulkan,12324,5.860852
pgr2-off-vulkan,13240,6.296423
pgr2-off-vulkan,11604,6.059119
pgr2-off-vulkan,13160,0.256291
pgr2-off-vulkan,2520,19.739855
pgr2-off-vulkan,2772,0.093984
pgr2-on-vulkan,10584,5.232094
pgr2-on-vulkan,12104,6.345977
pgr2-on-vulkan,15260,6.208191
pgr2-on-vulkan,12268,1.451149
pgr2-on-vulkan,12612,0.000103
pgr2-on-vulkan,3424,0.014366
pgr2-on-vulkan,5792,55.674591
pgr2-on-vulkan,11848,5.824922
pgr2-on-vulkan,4272,5.927493
pgr2-on-vulkan,5860,0.000264
pgr2-on-vulkan,9776,6.120109
pgr2-on-vulkan,2608,6.030689
pgr2-on-vulkan,6820,6.143233
pgr2-on-vulkan,14932,6.385097
pgr2-on-vulkan,9500,6.08901
pgr2-on-vulkan,8572,0.000179
pgr2-on-vulkan,9820,0.000189
pgr2-on-vulkan,4316,0.00021
pgr2-on-vulkan,13352,0.013737
pgr2-on-vulkan,13180,5.900806
pgr2-on-vulkan,3016,0.25345
pgr2-on-vulkan,1956,6.221939
pgr2-on-vulkan,4784,6.271084
pgr2-on-vulkan,12016,5.690907
pgr2-on-vulkan,10260,2.183799
pgr2-on-vulkan,13604,0.006157
pgr2-on-vulkan,12924,6.020986
pgr2-on-vulkan,9184,0.0901
pgr2-on-vulkan,10064,19.868182
pgr2-on-vulkan,13144,0.063459
pgr2-on-vulkan,11344,11.98328
pgr2-on-vulkan,13712,0.000634
pgr2-on-vulkan,5936,5.654475
pgr2-on-vulkan,15656,5.802998
pgr2-on-opengl,4776,6.200943
pgr2-on-opengl,11424,6.248193
pgr2-on-opengl,16220,0.000212
pgr2-on-opengl,2168,5.697358
pgr2-on-opengl,7740,5.917368
pgr2-on-opengl,3604,6.382387
pgr2-on-opengl,10140,6.358854
pgr2-on-opengl,4812,6.204449
pgr2-on-opengl,300,0.000104
pgr2-on-opengl,9060,6.02761
pgr2-on-opengl,11452,55.660184
pgr2-on-opengl,784,6.267808
pgr2-on-opengl,15168,5.777139
pgr2-on-opengl,9996,3.972887
pgr2-on-opengl,6312,5.762281
pgr2-on-opengl,4068,6.230491
pgr2-on-opengl,7724,0.0972
pgr2-on-opengl,9628,0.00106
pgr2-on-opengl,12348,11.970125
pgr2-on-opengl,14160,5.904649
pgr2-on-opengl,4408,0.000163
pgr2-on-opengl,9452,6.444514
pgr2-on-opengl,15680,1.531576
pgr2-on-opengl,10112,0.015163
pgr2-on-opengl,2436,6.096488
pgr2-on-opengl,9024,6.087085
pgr2-on-opengl,9992,0.000186
pgr2-on-opengl,11580,29.795126
pgr2-on-opengl,9196,2.118925
pgr2-on-opengl,13364,0.012754
pgr2-off-opengl,9300,0.000101
pgr2-off-opengl,11480,57.444973
pgr2-off-opengl,8468,3.981076
pgr2-off-opengl,14836,0.000219
pgr2-off-opengl,1680,1.7e-05
pgr2-off-opengl,6948,0.000196
pgr2-off-opengl,4912,55.8249
pgr2-off-opengl,2708,6.473252
pgr2-off-opengl,14760,0.000171
pgr2-off-opengl,7680,5.95342
pgr2-off-opengl,12584,6.354176
pgr2-off-opengl,12628,11.976405
pgr2-off-opengl,12884,2.5889
pgr2-off-opengl,1268,5.869171
pgr2-off-opengl,768,5.838018
pgr2-off-opengl,2240,6.268959
pgr2-off-opengl,8808,6.091751
pgr2-off-opengl,14680,6.011218
pgr2-off-opengl,5532,5.730315
pgr2-off-opengl,5920,0.096098
pgr2-off-opengl,4816,6.127466
pgr2-off-opengl,5972,5.921329
pgr2-off-opengl,2156,6.412753
pgr2-off-opengl,8748,6.217404
pgr2-off-opengl,9984,0.012704
pgr2-off-opengl,5796,6.263208
pgr2-off-opengl,13052,6.39229
pgr2-off-opengl,10724,30.299458
pgr2-off-opengl,12232,6.16491
pgr2-off-opengl,12272,0.012807
