"branch_id","backend","variant","test_id","kind","name","outcome","runs","mean_total_us","mean_average_us","mean_median_us","mean_p95_us"
"pr24-off-opengl-0edb","opengl","release","busy_pfifo.pfifo_saturation","leaf","BusyPfifo::PFIFOSaturation","PASS","2","670083","67007.5","66724.5","69282"
"pr24-off-opengl-0edb","opengl","release","busy_pfifo.pgraph_pattern_polling","leaf","BusyPfifo::PgraphPatternPolling","PASS","2","4714709","4714709","4714709","4714709"
"pr24-off-opengl-0edb","opengl","release","cpu_floating_point.sse_scalar","leaf","CpuFloatingPoint::SSEScalar","PASS","2","5013941","501394","500518.5","513286.5"
"pr24-off-opengl-0edb","opengl","release","cpu_floating_point.x87_scalar","leaf","CpuFloatingPoint::X87Scalar","PASS","2","7493626","749362","749455","751318.5"
"pr24-off-opengl-0edb","opengl","release","cpu_translation_blocks.direct_loop","leaf","CpuTranslationBlocks::DirectLoop","PASS","2","100332.5","10032.5","10034.5","10258"
"pr24-off-opengl-0edb","opengl","release","cpu_translation_blocks.indirect_dispatch","leaf","CpuTranslationBlocks::IndirectDispatch","PASS","2","245049.5","24504.5","24411.5","25159"
"pr24-off-opengl-0edb","opengl","release","cpu_translation_blocks.indirect_dispatch_stress","leaf","CpuTranslationBlocks::IndirectDispatchStress","PASS","2","4891609.5","489160.5","489259","492266"
"pr24-off-opengl-0edb","opengl","release","fill_rate.solid","leaf","FillRate::FillRate-Solid","PASS","2","14599.5","1459.5","1327","2303"
"pr24-off-opengl-0edb","opengl","release","fill_rate.textured","leaf","FillRate::FillRate-Textured","PASS","2","14431.5","1442.5","1230","2231.5"
"pr24-off-opengl-0edb","opengl","release","game_load.cross_title_hotpath","group","GameLoadComposite::09-CrossTitleHotpath","PASS","2","0","0","0","0"
"pr24-off-opengl-0edb","opengl","release","game_load.cross_title_hotpath.blend_constant_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-06-BlendConstantReuse","PASS","2","703636.5","87954","83988","99245.5"
"pr24-off-opengl-0edb","opengl","release","game_load.cross_title_hotpath.gpu_wait_control","leaf","GameLoadComposite::09-CrossTitleHotpath-11-GpuWaitControl","PASS","2","18900","2362","2256","3366"
"pr24-off-opengl-0edb","opengl","release","game_load.cross_title_hotpath.pgr2_lagspot_inline_elements","leaf","GameLoadComposite::09-CrossTitleHotpath-08-Pgr2LagspotInlineElements","PASS","2","668841","83604.5","83162.5","87622"
"pr24-off-opengl-0edb","opengl","release","game_load.cross_title_hotpath.pgr2_small_draws","leaf","GameLoadComposite::09-CrossTitleHotpath-02-Pgr2SmallDraws","PASS","2","780820","97602","94846","107223.5"
"pr24-off-opengl-0edb","opengl","release","game_load.cross_title_hotpath.pipeline_state_churn","leaf","GameLoadComposite::09-CrossTitleHotpath-05-PipelineStateChurn","PASS","2","399072.5","49883.5","50218.5","52065.5"
"pr24-off-opengl-0edb","opengl","release","game_load.cross_title_hotpath.queued_vertex_cpu_writes","leaf","GameLoadComposite::09-CrossTitleHotpath-01-QueuedVertexCpuWrites","PASS","2","407678.5","50959","50115","57347"
"pr24-off-opengl-0edb","opengl","release","game_load.cross_title_hotpath.s3tc_streaming_fenced_draws","leaf","GameLoadComposite::09-CrossTitleHotpath-10-S3tcStreamingFencedDraws","PASS","2","70191804.5","8773975","8768749","8828115"
"pr24-off-opengl-0edb","opengl","release","game_load.cross_title_hotpath.scaled_surface_pressure","leaf","GameLoadComposite::09-CrossTitleHotpath-09-ScaledSurfacePressure","PASS","2","1869946","233743","231852","247984"
"pr24-off-opengl-0edb","opengl","release","game_load.cross_title_hotpath.surface_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-04-SurfaceReuse","PASS","2","49207.5","6150.5","6135.5","6958"
"pr24-off-opengl-0edb","opengl","release","game_load.cross_title_hotpath.texture_binding_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-07-TextureBindingReuse","PASS","2","938976","117372","116840.5","123615.5"
"pr24-off-opengl-0edb","opengl","release","game_load.cross_title_hotpath.texture_update_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-03-TextureUpdateReuse","PASS","2","25607.5","3200.5","3126","3775.5"
"pr24-off-opengl-0edb","opengl","release","game_load.doax_menu_representative.cpu_only","leaf","GameLoadComposite::DoaxMenuRepresentative-01-CPUOnly","PASS","2","76790","9598.5","9608","10091"
"pr24-off-opengl-0edb","opengl","release","game_load.doax_menu_representative.cpu_pfifo_gpu","leaf","GameLoadComposite::DoaxMenuRepresentative-05-CPUPFIFOGPU","PASS","2","211705","26462.5","26475.5","26946.5"
"pr24-off-opengl-0edb","opengl","release","game_load.doax_menu_representative.cpu_pfifo_gpu_streaming","leaf","GameLoadComposite::DoaxMenuRepresentative-06-CPUPFIFOGPUStreaming","PASS","2","233248.5","29155.5","29115.5","30046"
"pr24-off-opengl-0edb","opengl","release","game_load.doax_menu_representative.full_system","leaf","GameLoadComposite::DoaxMenuRepresentative-07-FullSystem","PASS","2","239827.5","29978","29493.5","33563"
"pr24-off-opengl-0edb","opengl","release","game_load.doax_menu_representative.gpu_only","leaf","GameLoadComposite::DoaxMenuRepresentative-03-GPUOnly","PASS","2","118470.5","14808.5","14855","15230"
"pr24-off-opengl-0edb","opengl","release","game_load.doax_menu_representative.pfifo_only","leaf","GameLoadComposite::DoaxMenuRepresentative-02-PFIFOOnly","PASS","2","16552","2069","2046","2356"
"pr24-off-opengl-0edb","opengl","release","game_load.doax_menu_representative.streaming_only","leaf","GameLoadComposite::DoaxMenuRepresentative-04-StreamingOnly","PASS","2","40363.5","5045","5030.5","5555.5"
"pr24-off-opengl-0edb","opengl","release","game_load.doax_menu_stress.cpu_only","leaf","GameLoadComposite::DoaxMenuStress-01-CPUOnly","PASS","2","154375.5","19296.5","19106.5","20509.5"
"pr24-off-opengl-0edb","opengl","release","game_load.doax_menu_stress.cpu_pfifo_gpu","leaf","GameLoadComposite::DoaxMenuStress-05-CPUPFIFOGPU","PASS","2","421286","52660.5","52662.5","53400"
"pr24-off-opengl-0edb","opengl","release","game_load.doax_menu_stress.cpu_pfifo_gpu_streaming","leaf","GameLoadComposite::DoaxMenuStress-06-CPUPFIFOGPUStreaming","PASS","2","461231","57653.5","57591.5","58965.5"
"pr24-off-opengl-0edb","opengl","release","game_load.doax_menu_stress.full_system","leaf","GameLoadComposite::DoaxMenuStress-07-FullSystem","PASS","2","471443","58929.5","57975","64905.5"
"pr24-off-opengl-0edb","opengl","release","game_load.doax_menu_stress.gpu_only","leaf","GameLoadComposite::DoaxMenuStress-03-GPUOnly","PASS","2","234676.5","29334","29359","29982.5"
"pr24-off-opengl-0edb","opengl","release","game_load.doax_menu_stress.pfifo_only","leaf","GameLoadComposite::DoaxMenuStress-02-PFIFOOnly","PASS","2","31581","3947","3935","4161"
"pr24-off-opengl-0edb","opengl","release","game_load.doax_menu_stress.streaming_only","leaf","GameLoadComposite::DoaxMenuStress-04-StreamingOnly","PASS","2","76380","9547","8715.5","14931"
"pr24-off-opengl-0edb","opengl","release","game_load.long_unlocked_scene","group","GameLoadComposite::08-LongUnlockedScene","PASS","2","0","0","0","0"
"pr24-off-opengl-0edb","opengl","release","game_load.long_unlocked_scene.alpha_overdraw","leaf","GameLoadComposite::08-LongUnlockedScene-03-AlphaOverdraw","PASS","2","232880.5","29109.5","29005.5","29851"
"pr24-off-opengl-0edb","opengl","release","game_load.long_unlocked_scene.combined","leaf","GameLoadComposite::08-LongUnlockedScene-05-Combined","PASS","2","467517","58439.5","58187.5","61933.5"
"pr24-off-opengl-0edb","opengl","release","game_load.long_unlocked_scene.cpu","leaf","GameLoadComposite::08-LongUnlockedScene-01-CPU","PASS","2","129210","16151","16134.5","16391"
"pr24-off-opengl-0edb","opengl","release","game_load.long_unlocked_scene.full_system","leaf","GameLoadComposite::08-LongUnlockedScene-06-FullSystem","PASS","2","472295","59036.5","59026.5","61020.5"
"pr24-off-opengl-0edb","opengl","release","game_load.long_unlocked_scene.pfifo","leaf","GameLoadComposite::08-LongUnlockedScene-02-PFIFO","PASS","2","32908.5","4113","4075","4483.5"
"pr24-off-opengl-0edb","opengl","release","game_load.long_unlocked_scene.streaming_surface_reuse","leaf","GameLoadComposite::08-LongUnlockedScene-04-StreamingSurfaceReuse","PASS","2","71113","8889","8867.5","9622"
"pr24-off-opengl-0edb","opengl","release","game_load.pgr2_ai_backup.cpu_only","leaf","GameLoadComposite::Pgr2AiBackup-01-CPUOnly","PASS","2","209484.5","26185","26210","26749"
