"branch_id","backend","variant","test_id","kind","name","outcome","runs","mean_total_us","mean_average_us","mean_median_us","mean_p95_us"
"pr24-on-opengl-0edb","opengl","release","busy_pfifo.pfifo_saturation","leaf","BusyPfifo::PFIFOSaturation","PASS","2","655267.5","65526","65444","67392.5"
"pr24-on-opengl-0edb","opengl","release","busy_pfifo.pgraph_pattern_polling","leaf","BusyPfifo::PgraphPatternPolling","PASS","2","4667054.5","4667054.5","4667054.5","4667054.5"
"pr24-on-opengl-0edb","opengl","release","cpu_floating_point.sse_scalar","leaf","CpuFloatingPoint::SSEScalar","PASS","2","5053647.5","505364.5","504812","516403.5"
"pr24-on-opengl-0edb","opengl","release","cpu_floating_point.x87_scalar","leaf","CpuFloatingPoint::X87Scalar","PASS","2","7497104","749710","749607","753320.5"
"pr24-on-opengl-0edb","opengl","release","cpu_translation_blocks.direct_loop","leaf","CpuTranslationBlocks::DirectLoop","PASS","2","100325","10032.5","9970.5","10514"
"pr24-on-opengl-0edb","opengl","release","cpu_translation_blocks.indirect_dispatch","leaf","CpuTranslationBlocks::IndirectDispatch","PASS","2","246702","24670","24593.5","25190"
"pr24-on-opengl-0edb","opengl","release","cpu_translation_blocks.indirect_dispatch_stress","leaf","CpuTranslationBlocks::IndirectDispatchStress","PASS","2","4890012.5","489000.5","488614","493571.5"
"pr24-on-opengl-0edb","opengl","release","fill_rate.solid","leaf","FillRate::FillRate-Solid","PASS","2","15922.5","1592","1492.5","2411"
"pr24-on-opengl-0edb","opengl","release","fill_rate.textured","leaf","FillRate::FillRate-Textured","PASS","2","16219.5","1621.5","1484.5","2402"
"pr24-on-opengl-0edb","opengl","release","game_load.cross_title_hotpath","group","GameLoadComposite::09-CrossTitleHotpath","PASS","2","0","0","0","0"
"pr24-on-opengl-0edb","opengl","release","game_load.cross_title_hotpath.blend_constant_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-06-BlendConstantReuse","PASS","2","688010.5","86000.5","84039.5","96481.5"
"pr24-on-opengl-0edb","opengl","release","game_load.cross_title_hotpath.gpu_wait_control","leaf","GameLoadComposite::09-CrossTitleHotpath-11-GpuWaitControl","PASS","2","18855","2356.5","2395","2680"
"pr24-on-opengl-0edb","opengl","release","game_load.cross_title_hotpath.pgr2_lagspot_inline_elements","leaf","GameLoadComposite::09-CrossTitleHotpath-08-Pgr2LagspotInlineElements","PASS","2","670375","83796","83786.5","87290"
"pr24-on-opengl-0edb","opengl","release","game_load.cross_title_hotpath.pgr2_small_draws","leaf","GameLoadComposite::09-CrossTitleHotpath-02-Pgr2SmallDraws","PASS","2","792232.5","99028.5","96073","110567.5"
"pr24-on-opengl-0edb","opengl","release","game_load.cross_title_hotpath.pipeline_state_churn","leaf","GameLoadComposite::09-CrossTitleHotpath-05-PipelineStateChurn","PASS","2","408608.5","51075.5","50205.5","59098"
"pr24-on-opengl-0edb","opengl","release","game_load.cross_title_hotpath.queued_vertex_cpu_writes","leaf","GameLoadComposite::09-CrossTitleHotpath-01-QueuedVertexCpuWrites","PASS","2","406366","50795.5","50013","57227.5"
"pr24-on-opengl-0edb","opengl","release","game_load.cross_title_hotpath.s3tc_streaming_fenced_draws","leaf","GameLoadComposite::09-CrossTitleHotpath-10-S3tcStreamingFencedDraws","PASS","2","71328944.5","8916117.5","8913966","8963284"
"pr24-on-opengl-0edb","opengl","release","game_load.cross_title_hotpath.scaled_surface_pressure","leaf","GameLoadComposite::09-CrossTitleHotpath-09-ScaledSurfacePressure","PASS","2","1878641","234829.5","234211.5","243952"
"pr24-on-opengl-0edb","opengl","release","game_load.cross_title_hotpath.surface_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-04-SurfaceReuse","PASS","2","53476","6684","6547","8580.5"
"pr24-on-opengl-0edb","opengl","release","game_load.cross_title_hotpath.texture_binding_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-07-TextureBindingReuse","PASS","2","938464","117307.5","117191.5","123651.5"
"pr24-on-opengl-0edb","opengl","release","game_load.cross_title_hotpath.texture_update_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-03-TextureUpdateReuse","PASS","2","24592.5","3073.5","3010","3526"
"pr24-on-opengl-0edb","opengl","release","game_load.doax_menu_representative.cpu_only","leaf","GameLoadComposite::DoaxMenuRepresentative-01-CPUOnly","PASS","2","76733","9591","9528.5","9918"
"pr24-on-opengl-0edb","opengl","release","game_load.doax_menu_representative.cpu_pfifo_gpu","leaf","GameLoadComposite::DoaxMenuRepresentative-05-CPUPFIFOGPU","PASS","2","210336.5","26291.5","26308","26852"
"pr24-on-opengl-0edb","opengl","release","game_load.doax_menu_representative.cpu_pfifo_gpu_streaming","leaf","GameLoadComposite::DoaxMenuRepresentative-06-CPUPFIFOGPUStreaming","PASS","2","233089.5","29136","29152.5","30055.5"
"pr24-on-opengl-0edb","opengl","release","game_load.doax_menu_representative.full_system","leaf","GameLoadComposite::DoaxMenuRepresentative-07-FullSystem","PASS","2","239575","29946.5","29475.5","33161.5"
