"branch_id","backend","variant","test_id","kind","name","outcome","runs","mean_total_us","mean_average_us","mean_median_us","mean_p95_us"
"pr24-off-vulkan-0edb","vulkan","release","busy_pfifo.pfifo_saturation","leaf","BusyPfifo::PFIFOSaturation","PASS","2","652008.5","65200","65322.5","68332.5"
"pr24-off-vulkan-0edb","vulkan","release","busy_pfifo.pgraph_pattern_polling","leaf","BusyPfifo::PgraphPatternPolling","PASS","2","4703540.5","4703540.5","4703540.5","4703540.5"
"pr24-off-vulkan-0edb","vulkan","release","cpu_floating_point.sse_scalar","leaf","CpuFloatingPoint::SSEScalar","PASS","2","4905053","490505","490488.5","498018"
"pr24-off-vulkan-0edb","vulkan","release","cpu_floating_point.x87_scalar","leaf","CpuFloatingPoint::X87Scalar","PASS","2","7478598","747859.5","748250.5","751612"
"pr24-off-vulkan-0edb","vulkan","release","cpu_translation_blocks.direct_loop","leaf","CpuTranslationBlocks::DirectLoop","PASS","2","99106.5","9910","9851","10244.5"
"pr24-off-vulkan-0edb","vulkan","release","cpu_translation_blocks.indirect_dispatch","leaf","CpuTranslationBlocks::IndirectDispatch","PASS","2","242937","24293","24263.5","24826.5"
"pr24-off-vulkan-0edb","vulkan","release","cpu_translation_blocks.indirect_dispatch_stress","leaf","CpuTranslationBlocks::IndirectDispatchStress","PASS","2","4838935.5","483893","483211.5","490106"
"pr24-off-vulkan-0edb","vulkan","release","fill_rate.solid","leaf","FillRate::FillRate-Solid","PASS","2","15521.5","1551.5","1103","5033"
"pr24-off-vulkan-0edb","vulkan","release","fill_rate.textured","leaf","FillRate::FillRate-Textured","PASS","2","18007","1800.5","1107","7987"
"pr24-off-vulkan-0edb","vulkan","release","game_load.cross_title_hotpath","group","GameLoadComposite::09-CrossTitleHotpath","PASS","2","0","0","0","0"
"pr24-off-vulkan-0edb","vulkan","release","game_load.cross_title_hotpath.blend_constant_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-06-BlendConstantReuse","PASS","2","796946.5","99618","99870","100566"
"pr24-off-vulkan-0edb","vulkan","release","game_load.cross_title_hotpath.gpu_wait_control","leaf","GameLoadComposite::09-CrossTitleHotpath-11-GpuWaitControl","PASS","2","9655","1206.5","1163","1495.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.cross_title_hotpath.pgr2_lagspot_inline_elements","leaf","GameLoadComposite::09-CrossTitleHotpath-08-Pgr2LagspotInlineElements","PASS","2","781914.5","97738.5","99307.5","101751"
"pr24-off-vulkan-0edb","vulkan","release","game_load.cross_title_hotpath.pgr2_small_draws","leaf","GameLoadComposite::09-CrossTitleHotpath-02-Pgr2SmallDraws","PASS","2","891603","111449.5","108086.5","123390"
"pr24-off-vulkan-0edb","vulkan","release","game_load.cross_title_hotpath.pipeline_state_churn","leaf","GameLoadComposite::09-CrossTitleHotpath-05-PipelineStateChurn","PASS","2","497246.5","62155.5","63792.5","67017"
"pr24-off-vulkan-0edb","vulkan","release","game_load.cross_title_hotpath.queued_vertex_cpu_writes","leaf","GameLoadComposite::09-CrossTitleHotpath-01-QueuedVertexCpuWrites","PASS","2","413089","51635.5","50157","64129"
"pr24-off-vulkan-0edb","vulkan","release","game_load.cross_title_hotpath.s3tc_streaming_fenced_draws","leaf","GameLoadComposite::09-CrossTitleHotpath-10-S3tcStreamingFencedDraws","PASS","2","36494489","4561810.5","4562728","4577137"
"pr24-off-vulkan-0edb","vulkan","release","game_load.cross_title_hotpath.scaled_surface_pressure","leaf","GameLoadComposite::09-CrossTitleHotpath-09-ScaledSurfacePressure","PASS","2","2321101.5","290137.5","285172.5","317259.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.cross_title_hotpath.surface_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-04-SurfaceReuse","PASS","2","41270.5","5158.5","5123.5","5673.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.cross_title_hotpath.texture_binding_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-07-TextureBindingReuse","PASS","2","1065978","133246.5","132936","140744.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.cross_title_hotpath.texture_update_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-03-TextureUpdateReuse","PASS","2","23263","2907","2845.5","3473.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.doax_menu_representative.cpu_only","leaf","GameLoadComposite::DoaxMenuRepresentative-01-CPUOnly","PASS","2","75156.5","9394","9337.5","9714"
"pr24-off-vulkan-0edb","vulkan","release","game_load.doax_menu_representative.cpu_pfifo_gpu","leaf","GameLoadComposite::DoaxMenuRepresentative-05-CPUPFIFOGPU","PASS","2","223794","27973.5","27939","28314"
"pr24-off-vulkan-0edb","vulkan","release","game_load.doax_menu_representative.cpu_pfifo_gpu_streaming","leaf","GameLoadComposite::DoaxMenuRepresentative-06-CPUPFIFOGPUStreaming","PASS","2","253655.5","31706.5","31506","33306.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.doax_menu_representative.full_system","leaf","GameLoadComposite::DoaxMenuRepresentative-07-FullSystem","PASS","2","275074","34384","33380","41473"
"pr24-off-vulkan-0edb","vulkan","release","game_load.doax_menu_representative.gpu_only","leaf","GameLoadComposite::DoaxMenuRepresentative-03-GPUOnly","PASS","2","133091","16636","16570","17098.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.doax_menu_representative.pfifo_only","leaf","GameLoadComposite::DoaxMenuRepresentative-02-PFIFOOnly","PASS","2","17198.5","2149.5","2106.5","2442"
"pr24-off-vulkan-0edb","vulkan","release","game_load.doax_menu_representative.streaming_only","leaf","GameLoadComposite::DoaxMenuRepresentative-04-StreamingOnly","PASS","2","36155.5","4519","4429.5","5177"
"pr24-off-vulkan-0edb","vulkan","release","game_load.doax_menu_stress.cpu_only","leaf","GameLoadComposite::DoaxMenuStress-01-CPUOnly","PASS","2","148526","18565.5","18646.5","18969"
"pr24-off-vulkan-0edb","vulkan","release","game_load.doax_menu_stress.cpu_pfifo_gpu","leaf","GameLoadComposite::DoaxMenuStress-05-CPUPFIFOGPU","PASS","2","446813.5","55851.5","56012","56536.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.doax_menu_stress.cpu_pfifo_gpu_streaming","leaf","GameLoadComposite::DoaxMenuStress-06-CPUPFIFOGPUStreaming","PASS","2","497637.5","62204","61960","64059.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.doax_menu_stress.full_system","leaf","GameLoadComposite::DoaxMenuStress-07-FullSystem","PASS","2","502844","62855","62148.5","68191"
"pr24-off-vulkan-0edb","vulkan","release","game_load.doax_menu_stress.gpu_only","leaf","GameLoadComposite::DoaxMenuStress-03-GPUOnly","PASS","2","264992","33123.5","33102.5","33427.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.doax_menu_stress.pfifo_only","leaf","GameLoadComposite::DoaxMenuStress-02-PFIFOOnly","PASS","2","33364.5","4170","4151","4355"
"pr24-off-vulkan-0edb","vulkan","release","game_load.doax_menu_stress.streaming_only","leaf","GameLoadComposite::DoaxMenuStress-04-StreamingOnly","PASS","2","64000","7999.5","7838","8792.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.long_unlocked_scene","group","GameLoadComposite::08-LongUnlockedScene","PASS","2","0","0","0","0"
"pr24-off-vulkan-0edb","vulkan","release","game_load.long_unlocked_scene.alpha_overdraw","leaf","GameLoadComposite::08-LongUnlockedScene-03-AlphaOverdraw","PASS","2","235284.5","29410.5","29290","30175"
"pr24-off-vulkan-0edb","vulkan","release","game_load.long_unlocked_scene.combined","leaf","GameLoadComposite::08-LongUnlockedScene-05-Combined","PASS","2","461087","57635","57661","58411"
"pr24-off-vulkan-0edb","vulkan","release","game_load.long_unlocked_scene.cpu","leaf","GameLoadComposite::08-LongUnlockedScene-01-CPU","PASS","2","128678.5","16084.5","15732","18697.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.long_unlocked_scene.full_system","leaf","GameLoadComposite::08-LongUnlockedScene-06-FullSystem","PASS","2","465803.5","58225","58324.5","59071.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.long_unlocked_scene.pfifo","leaf","GameLoadComposite::08-LongUnlockedScene-02-PFIFO","PASS","2","34404","4300","4254","4529.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.long_unlocked_scene.streaming_surface_reuse","leaf","GameLoadComposite::08-LongUnlockedScene-04-StreamingSurfaceReuse","PASS","2","64674.5","8084","7991","9214.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.pgr2_ai_backup.cpu_only","leaf","GameLoadComposite::Pgr2AiBackup-01-CPUOnly","PASS","2","204234","25528.5","25463","25890.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.pgr2_ai_backup.cpu_pfifo_gpu","leaf","GameLoadComposite::Pgr2AiBackup-05-CPUPFIFOGPU","PASS","2","1025721.5","128214.5","128180.5","129696"
"pr24-off-vulkan-0edb","vulkan","release","game_load.pgr2_ai_backup.cpu_pfifo_gpu_streaming","leaf","GameLoadComposite::Pgr2AiBackup-06-CPUPFIFOGPUStreaming","PASS","2","1053943.5","131742.5","131526.5","134049"
"pr24-off-vulkan-0edb","vulkan","release","game_load.pgr2_ai_backup.full_system","leaf","GameLoadComposite::Pgr2AiBackup-07-FullSystem","PASS","2","1066539","133317","133398.5","135728"
"pr24-off-vulkan-0edb","vulkan","release","game_load.pgr2_ai_backup.gpu_only","leaf","GameLoadComposite::Pgr2AiBackup-03-GPUOnly","PASS","2","689596.5","86199","86115.5","87683.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.pgr2_ai_backup.pfifo_only","leaf","GameLoadComposite::Pgr2AiBackup-02-PFIFOOnly","PASS","2","131679.5","16459.5","16452.5","16607"
"pr24-off-vulkan-0edb","vulkan","release","game_load.pgr2_ai_backup.streaming_only","leaf","GameLoadComposite::Pgr2AiBackup-04-StreamingOnly","PASS","2","29282","3660","3096","6206"
"pr24-off-vulkan-0edb","vulkan","release","game_load.repeated_display","leaf","GameLoadComposite::12-RepeatedDisplay","PASS","2","132556","16569","16639.5","16707"
"pr24-off-vulkan-0edb","vulkan","release","game_load.repeated_display_boosted","leaf","GameLoadComposite::12-RepeatedDisplay-Boosted","PASS","2","399068","49883.5","49991","50033"
"pr24-off-vulkan-0edb","vulkan","release","game_load.s3tc_sync_factor","group","GameLoadComposite::10-S3tcSyncFactor","PASS","2","0","0","0","0"
"pr24-off-vulkan-0edb","vulkan","release","game_load.s3tc_sync_factor.bc2_bordered_fallback","leaf","GameLoadComposite::10-S3tcSyncFactor-10-Bc2BorderedFallback","PASS","2","393799","49224.5","49771.5","50673"
"pr24-off-vulkan-0edb","vulkan","release","game_load.s3tc_sync_factor.bc2_native_eligible","leaf","GameLoadComposite::10-S3tcSyncFactor-09-Bc2NativeEligible","PASS","2","130185.5","16272.5","16640.5","17272.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.s3tc_sync_factor.bc3_bordered_fallback","leaf","GameLoadComposite::10-S3tcSyncFactor-12-Bc3BorderedFallback","PASS","2","394700","49337","49908.5","50257"
"pr24-off-vulkan-0edb","vulkan","release","game_load.s3tc_sync_factor.bc3_native_eligible","leaf","GameLoadComposite::10-S3tcSyncFactor-11-Bc3NativeEligible","PASS","2","133618.5","16702","16583","20359"
"pr24-off-vulkan-0edb","vulkan","release","game_load.s3tc_sync_factor.dxt1_dirty_once_redraw","leaf","GameLoadComposite::10-S3tcSyncFactor-04-Dxt1DirtyOnceRedraw","PASS","2","123491","15436","16634.5","17178.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.s3tc_sync_factor.dxt1_ring_payload_generations","leaf","GameLoadComposite::10-S3tcSyncFactor-03-Dxt1RingPayloadGenerations","PASS","2","126470","15808","16525.5","16984.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.s3tc_sync_factor.dxt1_same_address_queued","leaf","GameLoadComposite::10-S3tcSyncFactor-02-Dxt1SameAddressQueued","PASS","2","127379","15921.5","16620","16859"
"pr24-off-vulkan-0edb","vulkan","release","game_load.s3tc_sync_factor.dxt1_same_address_wait","leaf","GameLoadComposite::10-S3tcSyncFactor-01-Dxt1SameAddressWait","PASS","2","252374.5","31546.5","32632.5","36229.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.s3tc_sync_factor.rgba8_dirty_once_redraw","leaf","GameLoadComposite::10-S3tcSyncFactor-08-Rgba8DirtyOnceRedraw","PASS","2","130193","16273.5","16607","19000.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.s3tc_sync_factor.rgba8_ring_payload_generations","leaf","GameLoadComposite::10-S3tcSyncFactor-07-Rgba8RingPayloadGenerations","PASS","2","393260","49157","49930.5","50864"
"pr24-off-vulkan-0edb","vulkan","release","game_load.s3tc_sync_factor.rgba8_same_address_queued","leaf","GameLoadComposite::10-S3tcSyncFactor-06-Rgba8SameAddressQueued","PASS","2","391963.5","48995","50013","51244.5"
"pr24-off-vulkan-0edb","vulkan","release","game_load.s3tc_sync_factor.rgba8_same_address_wait","leaf","GameLoadComposite::10-S3tcSyncFactor-05-Rgba8SameAddressWait","PASS","2","413835","51729","50692","63082.5"
"pr24-off-vulkan-0edb","vulkan","release","high_vertex_count.arrays","leaf","High vertex count::HighVtxCount-arrays","PASS","2","10550","105","42.5","68.5"
"pr24-off-vulkan-0edb","vulkan","release","high_vertex_count.inline_arrays","leaf","High vertex count::HighVtxCount-inlinearrays","PASS","2","294114.5","29411","28973","31573"
"pr24-off-vulkan-0edb","vulkan","release","high_vertex_count.inline_buffers","leaf","High vertex count::HighVtxCount-inlinebuffers","PASS","2","1053386.5","210677","210947.5","212383.5"
"pr24-off-vulkan-0edb","vulkan","release","high_vertex_count.inline_elements","leaf","High vertex count::HighVtxCount-inlineelements","PASS","2","117756","2354.5","2340","2466.5"
"pr24-off-vulkan-0edb","vulkan","release","pfifo_array_elements.array_element_pgr2","leaf","PFIFOArrayElements::pfifo.array-element-pgr2","PASS","2","8771.5","1096","416.5","5781"
"pr24-off-vulkan-0edb","vulkan","release","pfifo_array_elements.array_element16","leaf","PFIFOArrayElements::pfifo.array-element16","PASS","2","4187.5","523","512","593.5"
"pr24-off-vulkan-0edb","vulkan","release","pfifo_array_elements.array_element32","leaf","PFIFOArrayElements::pfifo.array-element32","PASS","2","7726.5","965.5","951","1059"
"pr24-off-vulkan-0edb","vulkan","release","pipeline_texture_switch.clear_texture_normal","leaf","PipelineTextureSwitch::pipeline.clear-texture-normal","PASS","2","75747.5","9468","9052","12570"
"pr24-off-vulkan-0edb","vulkan","release","pipeline_texture_switch.sampler_only_identity","leaf","PipelineTextureSwitch::pipeline.sampler-only-identity","PASS","2","167255.5","20906.5","20924.5","21179"
"pr24-off-vulkan-0edb","vulkan","release","pipeline_texture_switch.shader_negative_control","leaf","PipelineTextureSwitch::pipeline.shader-negative-control","PASS","2","140313.5","17539","17558.5","18064"
"pr24-off-vulkan-0edb","vulkan","release","pipeline_texture_switch.texture_switch","leaf","PipelineTextureSwitch::pipeline.texture-switch","PASS","2","142539","17816.5","17827","18680"
"pr24-off-vulkan-0edb","vulkan","release","primitive_type.line_loop.fixed_function","leaf","PrimitiveType::PrimitiveType-LLoop","PASS","2","7279.5","727.5","393","3815"
"pr24-off-vulkan-0edb","vulkan","release","primitive_type.line_loop.vertex_shader","leaf","PrimitiveType::PrimitiveType-LLoop-vsh","PASS","2","4208.5","420.5","390","696.5"
"pr24-off-vulkan-0edb","vulkan","release","primitive_type.line_strip.fixed_function","leaf","PrimitiveType::PrimitiveType-LStrip","PASS","2","6232","622.5","393.5","2659.5"
"pr24-off-vulkan-0edb","vulkan","release","primitive_type.line_strip.vertex_shader","leaf","PrimitiveType::PrimitiveType-LStrip-vsh","PASS","2","4132.5","413","390.5","626"
"pr24-off-vulkan-0edb","vulkan","release","primitive_type.lines.fixed_function","leaf","PrimitiveType::PrimitiveType-Lines","PASS","2","9837","983","743.5","3147.5"
"pr24-off-vulkan-0edb","vulkan","release","primitive_type.lines.vertex_shader","leaf","PrimitiveType::PrimitiveType-Lines-vsh","PASS","2","7594","759","733","1004.5"
