"branch_id","backend","variant","test_id","kind","name","outcome","runs","mean_total_us","mean_average_us","mean_median_us","mean_p95_us"
"pr24-on-vulkan-0edb","vulkan","release","busy_pfifo.pfifo_saturation","leaf","BusyPfifo::PFIFOSaturation","PASS","2","632152.5","63215","62931","65990.5"
"pr24-on-vulkan-0edb","vulkan","release","busy_pfifo.pgraph_pattern_polling","leaf","BusyPfifo::PgraphPatternPolling","PASS","2","4908713.5","4908713.5","4908713.5","4908713.5"
"pr24-on-vulkan-0edb","vulkan","release","cpu_floating_point.sse_scalar","leaf","CpuFloatingPoint::SSEScalar","PASS","2","4970619.5","497061.5","496239.5","507087"
"pr24-on-vulkan-0edb","vulkan","release","cpu_floating_point.x87_scalar","leaf","CpuFloatingPoint::X87Scalar","PASS","2","7482486","748248.5","748019","753326.5"
"pr24-on-vulkan-0edb","vulkan","release","cpu_translation_blocks.direct_loop","leaf","CpuTranslationBlocks::DirectLoop","PASS","2","99023.5","9901.5","9859","10174"
"pr24-on-vulkan-0edb","vulkan","release","cpu_translation_blocks.indirect_dispatch","leaf","CpuTranslationBlocks::IndirectDispatch","PASS","2","244780","24477.5","24368","25233"
"pr24-on-vulkan-0edb","vulkan","release","cpu_translation_blocks.indirect_dispatch_stress","leaf","CpuTranslationBlocks::IndirectDispatchStress","PASS","2","4828903","482890","482815","487492.5"
"pr24-on-vulkan-0edb","vulkan","release","fill_rate.solid","leaf","FillRate::FillRate-Solid","PASS","2","15844.5","1584","1076.5","5309"
"pr24-on-vulkan-0edb","vulkan","release","fill_rate.textured","leaf","FillRate::FillRate-Textured","PASS","2","18175","1817","1087.5","8249"
"pr24-on-vulkan-0edb","vulkan","release","game_load.cross_title_hotpath","group","GameLoadComposite::09-CrossTitleHotpath","PASS","2","0","0","0","0"
"pr24-on-vulkan-0edb","vulkan","release","game_load.cross_title_hotpath.blend_constant_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-06-BlendConstantReuse","PASS","2","794368.5","99295.5","99637","100468"
"pr24-on-vulkan-0edb","vulkan","release","game_load.cross_title_hotpath.gpu_wait_control","leaf","GameLoadComposite::09-CrossTitleHotpath-11-GpuWaitControl","PASS","2","9466","1182.5","1145.5","1391.5"
"pr24-on-vulkan-0edb","vulkan","release","game_load.cross_title_hotpath.pgr2_lagspot_inline_elements","leaf","GameLoadComposite::09-CrossTitleHotpath-08-Pgr2LagspotInlineElements","PASS","2","795257.5","99407","99098.5","109468"
