"branch_id","backend","variant","test_id","kind","name","outcome","runs","mean_total_us","mean_average_us","mean_median_us","mean_p95_us"
"pr24-wait-only-opengl-1945","opengl","release","busy_pfifo.pfifo_saturation","leaf","BusyPfifo::PFIFOSaturation","PASS","2","666263","66626","66500.5","69618.5"
"pr24-wait-only-opengl-1945","opengl","release","busy_pfifo.pgraph_pattern_polling","leaf","BusyPfifo::PgraphPatternPolling","PASS","2","4626144.5","4626144.5","4626144.5","4626144.5"
"pr24-wait-only-opengl-1945","opengl","release","cpu_floating_point.sse_scalar","leaf","CpuFloatingPoint::SSEScalar","PASS","2","5077792.5","507779","507912.5","519384"
"pr24-wait-only-opengl-1945","opengl","release","cpu_floating_point.x87_scalar","leaf","CpuFloatingPoint::X87Scalar","PASS","2","7493295.5","749329.5","749012","754663.5"
"pr24-wait-only-opengl-1945","opengl","release","cpu_translation_blocks.direct_loop","leaf","CpuTranslationBlocks::DirectLoop","PASS","2","99645","9964","9887","10318.5"
"pr24-wait-only-opengl-1945","opengl","release","cpu_translation_blocks.indirect_dispatch","leaf","CpuTranslationBlocks::IndirectDispatch","PASS","2","249193","24919","24908","26127"
"pr24-wait-only-opengl-1945","opengl","release","cpu_translation_blocks.indirect_dispatch_stress","leaf","CpuTranslationBlocks::IndirectDispatchStress","PASS","2","4888566.5","488856","488575.5","494332"
"pr24-wait-only-opengl-1945","opengl","release","fill_rate.solid","leaf","FillRate::FillRate-Solid","PASS","2","15633","1562.5","1338.5","2348"
"pr24-wait-only-opengl-1945","opengl","release","fill_rate.textured","leaf","FillRate::FillRate-Textured","PASS","2","17211","1720.5","1723.5","2535.5"
"pr24-wait-only-opengl-1945","opengl","release","game_load.cross_title_hotpath","group","GameLoadComposite::09-CrossTitleHotpath","PASS","2","0","0","0","0"
"pr24-wait-only-opengl-1945","opengl","release","game_load.cross_title_hotpath.blend_constant_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-06-BlendConstantReuse","PASS","2","773536.5","96691.5","99435","100663.5"
"pr24-wait-only-opengl-1945","opengl","release","game_load.cross_title_hotpath.gpu_wait_control","leaf","GameLoadComposite::09-CrossTitleHotpath-11-GpuWaitControl","PASS","2","19714.5","2464","2412","3112"
"pr24-wait-only-opengl-1945","opengl","release","game_load.cross_title_hotpath.pgr2_lagspot_inline_elements","leaf","GameLoadComposite::09-CrossTitleHotpath-08-Pgr2LagspotInlineElements","PASS","2","672010","84000.5","83380.5","92225.5"
"pr24-wait-only-opengl-1945","opengl","release","game_load.cross_title_hotpath.pgr2_small_draws","leaf","GameLoadComposite::09-CrossTitleHotpath-02-Pgr2SmallDraws","PASS","2","796966","99620","96468.5","109638"
"pr24-wait-only-opengl-1945","opengl","release","game_load.cross_title_hotpath.pipeline_state_churn","leaf","GameLoadComposite::09-CrossTitleHotpath-05-PipelineStateChurn","PASS","2","410694","51336","50386.5","60003"
"pr24-wait-only-opengl-1945","opengl","release","game_load.cross_title_hotpath.queued_vertex_cpu_writes","leaf","GameLoadComposite::09-CrossTitleHotpath-01-QueuedVertexCpuWrites","PASS","2","408276","51034","50135.5","58618.5"
"pr24-wait-only-opengl-1945","opengl","release","game_load.cross_title_hotpath.s3tc_streaming_fenced_draws","leaf","GameLoadComposite::09-CrossTitleHotpath-10-S3tcStreamingFencedDraws","PASS","2","71092170.5","8886520.5","8889927","8938218.5"
"pr24-wait-only-opengl-1945","opengl","release","game_load.cross_title_hotpath.scaled_surface_pressure","leaf","GameLoadComposite::09-CrossTitleHotpath-09-ScaledSurfacePressure","PASS","2","1896286","237035","236658.5","250918"
"pr24-wait-only-opengl-1945","opengl","release","game_load.cross_title_hotpath.surface_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-04-SurfaceReuse","PASS","2","50524.5","6315","6366.5","7041"
