"branch_id","backend","variant","test_id","kind","name","outcome","runs","mean_total_us","mean_average_us","mean_median_us","mean_p95_us"
"pr24-frozen-s-vulkan-1945","vulkan","release","busy_pfifo.pfifo_saturation","leaf","BusyPfifo::PFIFOSaturation","PASS","2","639952","63994.5","63740.5","70434"
"pr24-frozen-s-vulkan-1945","vulkan","release","busy_pfifo.pgraph_pattern_polling","leaf","BusyPfifo::PgraphPatternPolling","PASS","2","5034572","5034572","5034572","5034572"
"pr24-frozen-s-vulkan-1945","vulkan","release","cpu_floating_point.sse_scalar","leaf","CpuFloatingPoint::SSEScalar","PASS","2","4956575","495657","495500","504060.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","cpu_floating_point.x87_scalar","leaf","CpuFloatingPoint::X87Scalar","PASS","2","7431444","743144","742908.5","748801"
"pr24-frozen-s-vulkan-1945","vulkan","release","cpu_translation_blocks.direct_loop","leaf","CpuTranslationBlocks::DirectLoop","PASS","2","98221.5","9821.5","9800","10007"
"pr24-frozen-s-vulkan-1945","vulkan","release","cpu_translation_blocks.indirect_dispatch","leaf","CpuTranslationBlocks::IndirectDispatch","PASS","2","250508.5","25050.5","24969","25885"
"pr24-frozen-s-vulkan-1945","vulkan","release","cpu_translation_blocks.indirect_dispatch_stress","leaf","CpuTranslationBlocks::IndirectDispatchStress","PASS","2","4989560.5","498955.5","499537.5","501185"
"pr24-frozen-s-vulkan-1945","vulkan","release","fill_rate.solid","leaf","FillRate::FillRate-Solid","PASS","2","17847","1784","1101.5","7363.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","fill_rate.textured","leaf","FillRate::FillRate-Textured","PASS","2","20641","2063.5","1108.5","10691"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.cross_title_hotpath","group","GameLoadComposite::09-CrossTitleHotpath","PASS","2","0","0","0","0"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.cross_title_hotpath.blend_constant_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-06-BlendConstantReuse","PASS","2","941959","117744.5","117344","123066.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.cross_title_hotpath.gpu_wait_control","leaf","GameLoadComposite::09-CrossTitleHotpath-11-GpuWaitControl","PASS","2","10427","1303","1226.5","1709"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.cross_title_hotpath.pgr2_lagspot_inline_elements","leaf","GameLoadComposite::09-CrossTitleHotpath-08-Pgr2LagspotInlineElements","PASS","2","954310.5","119288.5","118035","128179.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.cross_title_hotpath.pgr2_small_draws","leaf","GameLoadComposite::09-CrossTitleHotpath-02-Pgr2SmallDraws","PASS","2","877412","109676","107054","121462.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.cross_title_hotpath.pipeline_state_churn","leaf","GameLoadComposite::09-CrossTitleHotpath-05-PipelineStateChurn","PASS","2","402307.5","50288","50346","52826"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.cross_title_hotpath.queued_vertex_cpu_writes","leaf","GameLoadComposite::09-CrossTitleHotpath-01-QueuedVertexCpuWrites","PASS","2","537888","67235.5","66743.5","71961"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.cross_title_hotpath.s3tc_streaming_fenced_draws","leaf","GameLoadComposite::09-CrossTitleHotpath-10-S3tcStreamingFencedDraws","PASS","2","34469829","4308728","4304951.5","4340756.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.cross_title_hotpath.scaled_surface_pressure","leaf","GameLoadComposite::09-CrossTitleHotpath-09-ScaledSurfacePressure","PASS","2","5346035.5","668254","660427","738593.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.cross_title_hotpath.surface_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-04-SurfaceReuse","PASS","2","64791","8098.5","8123","8693.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.cross_title_hotpath.texture_binding_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-07-TextureBindingReuse","PASS","2","1496704.5","187087.5","184347.5","201760"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.cross_title_hotpath.texture_update_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-03-TextureUpdateReuse","PASS","2","24068","3008","2875","3980.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.doax_menu_representative.cpu_only","leaf","GameLoadComposite::DoaxMenuRepresentative-01-CPUOnly","PASS","2","78113.5","9764","9702","10197.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.doax_menu_representative.cpu_pfifo_gpu","leaf","GameLoadComposite::DoaxMenuRepresentative-05-CPUPFIFOGPU","PASS","2","222813.5","27851.5","27833.5","28494"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.doax_menu_representative.cpu_pfifo_gpu_streaming","leaf","GameLoadComposite::DoaxMenuRepresentative-06-CPUPFIFOGPUStreaming","PASS","2","262892","32861","32808.5","33350"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.doax_menu_representative.full_system","leaf","GameLoadComposite::DoaxMenuRepresentative-07-FullSystem","PASS","2","273460","34182","33662.5","38383"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.doax_menu_representative.gpu_only","leaf","GameLoadComposite::DoaxMenuRepresentative-03-GPUOnly","PASS","2","151406.5","18925.5","18949","19218.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.doax_menu_representative.pfifo_only","leaf","GameLoadComposite::DoaxMenuRepresentative-02-PFIFOOnly","PASS","2","17053","2131","2073","2528.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.doax_menu_representative.streaming_only","leaf","GameLoadComposite::DoaxMenuRepresentative-04-StreamingOnly","PASS","2","49617.5","6201.5","5975","7899"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.doax_menu_stress.cpu_only","leaf","GameLoadComposite::DoaxMenuStress-01-CPUOnly","PASS","2","153016.5","19127","19108.5","19382.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.doax_menu_stress.cpu_pfifo_gpu","leaf","GameLoadComposite::DoaxMenuStress-05-CPUPFIFOGPU","PASS","2","441895","55236.5","55159.5","56802.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.doax_menu_stress.cpu_pfifo_gpu_streaming","leaf","GameLoadComposite::DoaxMenuStress-06-CPUPFIFOGPUStreaming","PASS","2","522191","65273.5","64967","68291"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.doax_menu_stress.full_system","leaf","GameLoadComposite::DoaxMenuStress-07-FullSystem","PASS","2","527519.5","65939.5","65439.5","72050"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.doax_menu_stress.gpu_only","leaf","GameLoadComposite::DoaxMenuStress-03-GPUOnly","PASS","2","258924.5","32365","32525.5","33117"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.doax_menu_stress.pfifo_only","leaf","GameLoadComposite::DoaxMenuStress-02-PFIFOOnly","PASS","2","32822.5","4102","4078.5","4290.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.doax_menu_stress.streaming_only","leaf","GameLoadComposite::DoaxMenuStress-04-StreamingOnly","PASS","2","91482","11435","11061.5","13401"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.long_unlocked_scene","group","GameLoadComposite::08-LongUnlockedScene","PASS","2","0","0","0","0"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.long_unlocked_scene.alpha_overdraw","leaf","GameLoadComposite::08-LongUnlockedScene-03-AlphaOverdraw","PASS","2","245589.5","30698","30875","31503.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.long_unlocked_scene.combined","leaf","GameLoadComposite::08-LongUnlockedScene-05-Combined","PASS","2","501994.5","62749","62730","65146"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.long_unlocked_scene.cpu","leaf","GameLoadComposite::08-LongUnlockedScene-01-CPU","PASS","2","131198","16399.5","16347.5","17019"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.long_unlocked_scene.full_system","leaf","GameLoadComposite::08-LongUnlockedScene-06-FullSystem","PASS","2","511347","63918","63913.5","66257"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.long_unlocked_scene.pfifo","leaf","GameLoadComposite::08-LongUnlockedScene-02-PFIFO","PASS","2","33645","4205","4165.5","4531.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.long_unlocked_scene.streaming_surface_reuse","leaf","GameLoadComposite::08-LongUnlockedScene-04-StreamingSurfaceReuse","PASS","2","93095","11636.5","11476","13416.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.pgr2_ai_backup.cpu_only","leaf","GameLoadComposite::Pgr2AiBackup-01-CPUOnly","PASS","2","215795","26974","26944.5","27324.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.pgr2_ai_backup.cpu_pfifo_gpu","leaf","GameLoadComposite::Pgr2AiBackup-05-CPUPFIFOGPU","PASS","2","1001527.5","125190.5","124906.5","127526.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.pgr2_ai_backup.cpu_pfifo_gpu_streaming","leaf","GameLoadComposite::Pgr2AiBackup-06-CPUPFIFOGPUStreaming","PASS","2","1061958","132744.5","131311.5","145096.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.pgr2_ai_backup.full_system","leaf","GameLoadComposite::Pgr2AiBackup-07-FullSystem","PASS","2","1052322","131539.5","131373","133841.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.pgr2_ai_backup.gpu_only","leaf","GameLoadComposite::Pgr2AiBackup-03-GPUOnly","PASS","2","653910.5","81738","81563.5","83628"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.pgr2_ai_backup.pfifo_only","leaf","GameLoadComposite::Pgr2AiBackup-02-PFIFOOnly","PASS","2","128848","16105.5","16068.5","16461.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.pgr2_ai_backup.streaming_only","leaf","GameLoadComposite::Pgr2AiBackup-04-StreamingOnly","PASS","2","32567.5","4070.5","3958","4671.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.repeated_display","leaf","GameLoadComposite::12-RepeatedDisplay","PASS","2","132853.5","16606","16615.5","17278.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.repeated_display_boosted","leaf","GameLoadComposite::12-RepeatedDisplay-Boosted","PASS","2","399313.5","49914","49989.5","50030"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.s3tc_sync_factor","group","GameLoadComposite::10-S3tcSyncFactor","PASS","2","0","0","0","0"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.s3tc_sync_factor.bc2_bordered_fallback","leaf","GameLoadComposite::10-S3tcSyncFactor-10-Bc2BorderedFallback","PASS","2","399119","49889.5","49977.5","51337.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.s3tc_sync_factor.bc2_native_eligible","leaf","GameLoadComposite::10-S3tcSyncFactor-09-Bc2NativeEligible","PASS","2","136462","17057","16665","22586"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.s3tc_sync_factor.bc3_bordered_fallback","leaf","GameLoadComposite::10-S3tcSyncFactor-12-Bc3BorderedFallback","PASS","2","399542","49942.5","49964.5","52480"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.s3tc_sync_factor.bc3_native_eligible","leaf","GameLoadComposite::10-S3tcSyncFactor-11-Bc3NativeEligible","PASS","2","144251.5","18031","16541","28698"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.s3tc_sync_factor.dxt1_dirty_once_redraw","leaf","GameLoadComposite::10-S3tcSyncFactor-04-Dxt1DirtyOnceRedraw","PASS","2","119318.5","14914.5","16542.5","17039"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.s3tc_sync_factor.dxt1_ring_payload_generations","leaf","GameLoadComposite::10-S3tcSyncFactor-03-Dxt1RingPayloadGenerations","PASS","2","122469","15308.5","16616","16776.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.s3tc_sync_factor.dxt1_same_address_queued","leaf","GameLoadComposite::10-S3tcSyncFactor-02-Dxt1SameAddressQueued","PASS","2","133763","16720","16630.5","18570"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.s3tc_sync_factor.dxt1_same_address_wait","leaf","GameLoadComposite::10-S3tcSyncFactor-01-Dxt1SameAddressWait","PASS","2","268036.5","33504","33339","38176.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.s3tc_sync_factor.rgba8_dirty_once_redraw","leaf","GameLoadComposite::10-S3tcSyncFactor-08-Rgba8DirtyOnceRedraw","PASS","2","139001.5","17375","16680","23568.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.s3tc_sync_factor.rgba8_ring_payload_generations","leaf","GameLoadComposite::10-S3tcSyncFactor-07-Rgba8RingPayloadGenerations","PASS","2","404859","50607","49964","55937"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.s3tc_sync_factor.rgba8_same_address_queued","leaf","GameLoadComposite::10-S3tcSyncFactor-06-Rgba8SameAddressQueued","PASS","2","393357","49169.5","49961","51641.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","game_load.s3tc_sync_factor.rgba8_same_address_wait","leaf","GameLoadComposite::10-S3tcSyncFactor-05-Rgba8SameAddressWait","PASS","2","523111.5","65388.5","66420.5","70231.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","high_vertex_count.arrays","leaf","High vertex count::HighVtxCount-arrays","PASS","2","13605.5","135.5","57.5","94.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","high_vertex_count.inline_arrays","leaf","High vertex count::HighVtxCount-inlinearrays","PASS","2","301776.5","30177","29290.5","35212.5"
"pr24-frozen-s-vulkan-1945","vulkan","release","high_vertex_count.inline_buffers","leaf","High vertex count::HighVtxCount-inlinebuffers","PASS","2","1087699","217539.5","217868","218351.5"
