"branch_id","backend","variant","test_id","kind","name","outcome","runs","mean_total_us","mean_average_us","mean_median_us","mean_p95_us"
"pr24-wait-only-vulkan-1945","vulkan","release","busy_pfifo.pfifo_saturation","leaf","BusyPfifo::PFIFOSaturation","PASS","2","644587","64458","63856","71873"
"pr24-wait-only-vulkan-1945","vulkan","release","busy_pfifo.pgraph_pattern_polling","leaf","BusyPfifo::PgraphPatternPolling","PASS","2","4886600","4886600","4886600","4886600"
"pr24-wait-only-vulkan-1945","vulkan","release","cpu_floating_point.sse_scalar","leaf","CpuFloatingPoint::SSEScalar","PASS","2","4941800.5","494180","494112.5","506644"
"pr24-wait-only-vulkan-1945","vulkan","release","cpu_floating_point.x87_scalar","leaf","CpuFloatingPoint::X87Scalar","PASS","2","7477226.5","747722","747541.5","754138.5"
"pr24-wait-only-vulkan-1945","vulkan","release","cpu_translation_blocks.direct_loop","leaf","CpuTranslationBlocks::DirectLoop","PASS","2","99077.5","9907.5","9872","10146"
"pr24-wait-only-vulkan-1945","vulkan","release","cpu_translation_blocks.indirect_dispatch","leaf","CpuTranslationBlocks::IndirectDispatch","PASS","2","246520.5","24652","24639.5","25375.5"
"pr24-wait-only-vulkan-1945","vulkan","release","cpu_translation_blocks.indirect_dispatch_stress","leaf","CpuTranslationBlocks::IndirectDispatchStress","PASS","2","4862990","486298.5","486728.5","488828"
"pr24-wait-only-vulkan-1945","vulkan","release","fill_rate.solid","leaf","FillRate::FillRate-Solid","PASS","2","17015","1701","1035","7075.5"
"pr24-wait-only-vulkan-1945","vulkan","release","fill_rate.textured","leaf","FillRate::FillRate-Textured","PASS","2","20231","2023","1018","10896"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.cross_title_hotpath","group","GameLoadComposite::09-CrossTitleHotpath","PASS","2","0","0","0","0"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.cross_title_hotpath.blend_constant_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-06-BlendConstantReuse","PASS","2","931847","116480.5","116780","118855"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.cross_title_hotpath.gpu_wait_control","leaf","GameLoadComposite::09-CrossTitleHotpath-11-GpuWaitControl","PASS","2","9462.5","1182.5","1149.5","1379"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.cross_title_hotpath.pgr2_lagspot_inline_elements","leaf","GameLoadComposite::09-CrossTitleHotpath-08-Pgr2LagspotInlineElements","PASS","2","949361.5","118669.5","118198.5","126479.5"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.cross_title_hotpath.pgr2_small_draws","leaf","GameLoadComposite::09-CrossTitleHotpath-02-Pgr2SmallDraws","PASS","2","850516","106314","104297.5","117565"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.cross_title_hotpath.pipeline_state_churn","leaf","GameLoadComposite::09-CrossTitleHotpath-05-PipelineStateChurn","PASS","2","397619.5","49702","49924.5","51775.5"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.cross_title_hotpath.queued_vertex_cpu_writes","leaf","GameLoadComposite::09-CrossTitleHotpath-01-QueuedVertexCpuWrites","PASS","2","537436","67179","67015.5","70619"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.cross_title_hotpath.s3tc_streaming_fenced_draws","leaf","GameLoadComposite::09-CrossTitleHotpath-10-S3tcStreamingFencedDraws","PASS","2","34185989.5","4273248","4273753.5","4292743"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.cross_title_hotpath.scaled_surface_pressure","leaf","GameLoadComposite::09-CrossTitleHotpath-09-ScaledSurfacePressure","PASS","2","5473810.5","684226","672937.5","733680.5"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.cross_title_hotpath.surface_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-04-SurfaceReuse","PASS","2","69377.5","8671.5","8395","10390.5"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.cross_title_hotpath.texture_binding_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-07-TextureBindingReuse","PASS","2","1535624.5","191952.5","192235.5","197093"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.cross_title_hotpath.texture_update_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-03-TextureUpdateReuse","PASS","2","23815.5","2976.5","2816","3967.5"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.doax_menu_representative.cpu_only","leaf","GameLoadComposite::DoaxMenuRepresentative-01-CPUOnly","PASS","2","81097.5","10136.5","10119","10576"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.doax_menu_representative.cpu_pfifo_gpu","leaf","GameLoadComposite::DoaxMenuRepresentative-05-CPUPFIFOGPU","PASS","2","217090.5","27135.5","27089.5","27506"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.doax_menu_representative.cpu_pfifo_gpu_streaming","leaf","GameLoadComposite::DoaxMenuRepresentative-06-CPUPFIFOGPUStreaming","PASS","2","261767.5","32720.5","32636.5","33977.5"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.doax_menu_representative.full_system","leaf","GameLoadComposite::DoaxMenuRepresentative-07-FullSystem","PASS","2","269734.5","33716.5","33243.5","37100.5"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.doax_menu_representative.gpu_only","leaf","GameLoadComposite::DoaxMenuRepresentative-03-GPUOnly","PASS","2","147276","18409","18415","18609.5"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.doax_menu_representative.pfifo_only","leaf","GameLoadComposite::DoaxMenuRepresentative-02-PFIFOOnly","PASS","2","17133","2141.5","2139.5","2324.5"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.doax_menu_representative.streaming_only","leaf","GameLoadComposite::DoaxMenuRepresentative-04-StreamingOnly","PASS","2","49919","6239.5","6121","6939.5"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.doax_menu_stress.cpu_only","leaf","GameLoadComposite::DoaxMenuStress-01-CPUOnly","PASS","2","157221.5","19652.5","19641.5","20055.5"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.doax_menu_stress.cpu_pfifo_gpu","leaf","GameLoadComposite::DoaxMenuStress-05-CPUPFIFOGPU","PASS","2","433208.5","54151","54100","54778.5"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.doax_menu_stress.cpu_pfifo_gpu_streaming","leaf","GameLoadComposite::DoaxMenuStress-06-CPUPFIFOGPUStreaming","PASS","2","513076","64134","63957.5","65271"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.doax_menu_stress.full_system","leaf","GameLoadComposite::DoaxMenuStress-07-FullSystem","PASS","2","521855.5","65231.5","64698","71348.5"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.doax_menu_stress.gpu_only","leaf","GameLoadComposite::DoaxMenuStress-03-GPUOnly","PASS","2","264204","33025","33023","33378"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.doax_menu_stress.pfifo_only","leaf","GameLoadComposite::DoaxMenuStress-02-PFIFOOnly","PASS","2","33636","4204","4199.5","4282"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.doax_menu_stress.streaming_only","leaf","GameLoadComposite::DoaxMenuStress-04-StreamingOnly","PASS","2","92496","11561.5","11413","12357.5"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.long_unlocked_scene","group","GameLoadComposite::08-LongUnlockedScene","PASS","2","0","0","0","0"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.long_unlocked_scene.alpha_overdraw","leaf","GameLoadComposite::08-LongUnlockedScene-03-AlphaOverdraw","PASS","2","239086","29885","29856","31075"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.long_unlocked_scene.combined","leaf","GameLoadComposite::08-LongUnlockedScene-05-Combined","PASS","2","493877.5","61734.5","61985.5","63813"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.long_unlocked_scene.cpu","leaf","GameLoadComposite::08-LongUnlockedScene-01-CPU","PASS","2","127122","15890","15821","16439"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.long_unlocked_scene.full_system","leaf","GameLoadComposite::08-LongUnlockedScene-06-FullSystem","PASS","2","495218","61902","61944","63664.5"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.long_unlocked_scene.pfifo","leaf","GameLoadComposite::08-LongUnlockedScene-02-PFIFO","PASS","2","34117.5","4264.5","4229","4439.5"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.long_unlocked_scene.streaming_surface_reuse","leaf","GameLoadComposite::08-LongUnlockedScene-04-StreamingSurfaceReuse","PASS","2","94973.5","11871","11856","13317"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.pgr2_ai_backup.cpu_only","leaf","GameLoadComposite::Pgr2AiBackup-01-CPUOnly","PASS","2","211055","26381.5","26290","26949"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.pgr2_ai_backup.cpu_pfifo_gpu","leaf","GameLoadComposite::Pgr2AiBackup-05-CPUPFIFOGPU","PASS","2","965620","120702","120732","121927"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.pgr2_ai_backup.cpu_pfifo_gpu_streaming","leaf","GameLoadComposite::Pgr2AiBackup-06-CPUPFIFOGPUStreaming","PASS","2","1026347.5","128293","126021.5","142434.5"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.pgr2_ai_backup.full_system","leaf","GameLoadComposite::Pgr2AiBackup-07-FullSystem","PASS","2","1012369.5","126545.5","126394","129809"
"pr24-wait-only-vulkan-1945","vulkan","release","game_load.pgr2_ai_backup.gpu_only","leaf","GameLoadComposite::Pgr2AiBackup-03-GPUOnly","PASS","2","625303","78162.5","78085.5","79864.5"
