game,renderer,build,sequence,source_commit,xemu_sha256,average_fps,p95_ms,p99_ms,host_fps,cpu_host_percent,process_gpu_percent,device_gpu_percent,private_mib,dedicated_gpu_mib,shared_gpu_mib,power_watts,status
Morrowind,VULKAN,baseline,1,88fc5c9bef5663f075fb514a7ceef904be3a49e8,b3e0050e857c97bc8ef79d3248a6659125ddbddfc0f8a972436d11411e47ea78,18.85115449283175,64.803,67.317,,,,,,,,,complete
Morrowind,VULKAN,candidate,1,c1462ad7d88a1d9d20c42ee70ed3661276039aba,818614db65e5f6de83a93527f69468e106911b949b825e8177b38c2676e3d943,18.668241757745438,62.152,67.822,,,,,,,,,complete
Morrowind,OPENGL,baseline,1,88fc5c9bef5663f075fb514a7ceef904be3a49e8,b3e0050e857c97bc8ef79d3248a6659125ddbddfc0f8a972436d11411e47ea78,37.3829640120319,33.568,37.603,,,,,,,,,complete
Morrowind,OPENGL,candidate,1,c1462ad7d88a1d9d20c42ee70ed3661276039aba,818614db65e5f6de83a93527f69468e106911b949b825e8177b38c2676e3d943,37.559941498884704,33.642,39.285,,,,,,,,,complete
PGR2,VULKAN,baseline,1,88fc5c9bef5663f075fb514a7ceef904be3a49e8,b3e0050e857c97bc8ef79d3248a6659125ddbddfc0f8a972436d11411e47ea78,18.518633109879676,72.679,79.268,59.995676276023616,16.82384017112153,42.71704390481808,37.6,7115.114453125,3420.589453125,1731.97578125,20.116,complete
PGR2,VULKAN,candidate,2,c1462ad7d88a1d9d20c42ee70ed3661276039aba,818614db65e5f6de83a93527f69468e106911b949b825e8177b38c2676e3d943,20.77913880467733,64.876,70.301,59.993315974044165,17.515772215259876,43.33951981940466,36.6,7116.98515625,3420.589453125,1731.97578125,19.744,complete
PGR2,VULKAN,candidate,3,c1462ad7d88a1d9d20c42ee70ed3661276039aba,818614db65e5f6de83a93527f69468e106911b949b825e8177b38c2676e3d943,20.777638115364617,65.428,72.287,60.00409439114147,17.109816395714276,43.53172239178548,38.7,7117.6326171875,3421.843359375,1731.97578125,20.053,complete
PGR2,VULKAN,baseline,4,88fc5c9bef5663f075fb514a7ceef904be3a49e8,b3e0050e857c97bc8ef79d3248a6659125ddbddfc0f8a972436d11411e47ea78,18.721623452875978,71.426,77.473,59.99644454764749,17.096369972837746,41.78805256904388,36.0,7117.27734375,3420.589453125,1731.97578125,19.813,complete
PGR2,OPENGL,baseline,1,88fc5c9bef5663f075fb514a7ceef904be3a49e8,b3e0050e857c97bc8ef79d3248a6659125ddbddfc0f8a972436d11411e47ea78,24.772887933714372,56.233,67.162,59.99796320421962,20.533800469248995,42.594055671601446,36.3,2342.1498046875,212.65625,41.625,23.346,complete
PGR2,OPENGL,candidate,2,c1462ad7d88a1d9d20c42ee70ed3661276039aba,818614db65e5f6de83a93527f69468e106911b949b825e8177b38c2676e3d943,24.64927942505599,52.602,66.587,59.99872008289021,20.289420799885804,42.49562707027742,36.0,2336.5890625,211.4140625,41.625,23.45,complete
PGR2,OPENGL,candidate,3,c1462ad7d88a1d9d20c42ee70ed3661276039aba,818614db65e5f6de83a93527f69468e106911b949b825e8177b38c2676e3d943,24.52815959299312,58.243,66.355,59.99841941872402,21.091524836342227,42.905615388953514,37.6,2335.0626953125,208.1484375,41.625,23.160999999999998,complete
PGR2,OPENGL,baseline,4,88fc5c9bef5663f075fb514a7ceef904be3a49e8,b3e0050e857c97bc8ef79d3248a6659125ddbddfc0f8a972436d11411e47ea78,24.966474475906345,53.026,66.246,59.99810337290675,19.964146554590407,42.88201077631568,36.1,2333.583203125,208.15625,41.625,23.591,complete
