test_group,renderer,tests,baseline_average_sum_us,candidate_average_sum_us,average_delta_percent,baseline_median_sum_us,candidate_median_sum_us,median_delta_percent,context_flag
BusyPfifo,OPENGL,2,9417272.0,9752628.0,3.5610737377023804,9417079.0,9752888.0,3.5659571295939996,Neutral/context
BusyPfifo,VULKAN,2,10004050.0,9707135.0,-2.9679479810676646,10003834.0,9706403.0,-2.9731700865888055,Neutral/context
CpuFloatingPoint,OPENGL,2,1247884.0,1246308.0,-0.1262937901279293,1246551.0,1246484.0,-0.005374830231574812,Neutral/context
CpuFloatingPoint,VULKAN,2,1237535.0,1244507.0,0.5633780054705495,1237234.0,1245048.0,0.6315700991081696,Neutral/context
CpuTranslationBlocks,OPENGL,3,522021.0,520472.0,-0.2967313575507502,520741.0,520943.0,0.0387908768466394,Neutral/context
CpuTranslationBlocks,VULKAN,3,524026.0,519449.0,-0.8734299443157401,523944.0,519542.0,-0.8401661246240089,Neutral/context
FillRate,OPENGL,2,2940.0,3043.0,3.5034013605442116,2454.0,2544.0,3.667481662591676,Neutral/context
FillRate,VULKAN,2,4649.0,4513.0,-2.925360292536028,3017.0,2968.0,-1.6241299303944357,Neutral/context
GameLoadComposite,OPENGL,52,10817965.0,10639709.0,-1.6477775626007274,10823461.0,10640509.0,-1.6903280752801675,Neutral/context
GameLoadComposite,VULKAN,52,12143688.0,11410731.0,-6.035703486453214,12136023.0,11411174.0,-5.972706215207402,Improve flag
High vertex count,OPENGL,4,207713.0,208710.0,0.4799892158892316,207395.0,208438.0,0.5029050845005933,Neutral/context
High vertex count,VULKAN,4,208410.0,206897.0,-0.7259728419941491,208121.0,205840.0,-1.0959970401833496,Neutral/context
PFIFOArrayElements,OPENGL,3,3863.0,3754.0,-2.821641211493653,3903.0,3856.0,-1.2042018959774525,Neutral/context
PFIFOArrayElements,VULKAN,3,3350.0,3225.0,-3.731343283582089,2389.0,2444.0,2.3022185014650587,Neutral/context
PipelineTextureSwitch,OPENGL,4,56595.0,56746.0,0.2668080219100588,56015.0,56566.0,0.9836650897081078,Neutral/context
PipelineTextureSwitch,VULKAN,4,85029.0,83162.0,-2.1957214597372654,82800.0,82246.0,-0.6690821256038593,Neutral/context
PrimitiveType,OPENGL,20,17824.0,17667.0,-0.8808348294434443,16720.0,16674.0,-0.27511961722488376,Neutral/context
PrimitiveType,VULKAN,20,21946.0,21856.0,-0.4100975120750916,16790.0,16979.0,1.1256700416914844,Neutral/context
ReportQuery,OPENGL,6,3812.0,3266.0,-14.323189926547741,3714.0,3321.0,-10.58158319870759,Improve flag
ReportQuery,VULKAN,6,10072.0,9668.0,-4.011119936457508,9165.0,9015.0,-1.6366612111292977,Neutral/context
SurfaceRendering,OPENGL,26,387708.0,392610.0,1.2643535856881938,374532.0,377938.0,0.909401599863302,Neutral/context
SurfaceRendering,VULKAN,26,926659.0,918804.0,-0.8476688835914792,884266.0,879846.0,-0.49984959276959673,Neutral/context
TinyDraw,OPENGL,8,332736.0,337417.0,1.4068210232736966,332593.0,337559.0,1.4931162111048613,Neutral/context
TinyDraw,VULKAN,8,301353.0,295694.0,-1.8778641659449202,301227.0,297364.0,-1.2824215624761437,Neutral/context
UniformThrash,OPENGL,1,1693.0,1837.0,8.505611340815111,1746.0,1743.0,-0.1718213058419238,Neutral/context
UniformThrash,VULKAN,1,3244.0,3195.0,-1.5104808877928533,2482.0,2465.0,-0.6849315068493178,Neutral/context
Vertex buffer allocation,OPENGL,9,844004.0,858287.0,1.6922905578646619,842613.0,856879.0,1.6930666866046495,Neutral/context
Vertex buffer allocation,VULKAN,9,848584.0,844243.0,-0.5115580779274653,853416.0,845243.0,-0.9576806621858558,Neutral/context
