test_group,renderer,tests,baseline_average_sum_us,candidate_average_sum_us,average_delta_percent,baseline_median_sum_us,candidate_median_sum_us,median_delta_percent,result
BusyPfifo,OPENGL,2,9535693.0,4601683.0,-51.742542,9535607.0,4601686.0,-51.742076,Improve flag
CpuFloatingPoint,OPENGL,2,1239088.0,1240781.0,0.136633,1238003.0,1240548.0,0.205573,Neutral/context
CpuTranslationBlocks,OPENGL,3,518981.0,518493.0,-0.09403,519029.0,519137.0,0.020808,Neutral/context
FillRate,OPENGL,2,2942.0,2682.0,-8.837525,2504.0,2501.0,-0.119808,Neutral/context
GameLoadComposite,OPENGL,52,11081166.0,10466112.0,-5.550445,11085003.0,10467568.0,-5.570003,Improve flag
High vertex count,OPENGL,4,202398.0,207451.0,2.496566,202537.0,208041.0,2.717528,Neutral/context
PFIFOArrayElements,OPENGL,3,3916.0,3708.0,-5.311542,3905.0,3811.0,-2.40717,Neutral/context
PipelineTextureSwitch,OPENGL,4,55047.0,55377.0,0.599488,54733.0,55074.0,0.623025,Neutral/context
PrimitiveType,OPENGL,20,18363.0,17664.0,-3.806568,16741.0,16560.0,-1.081178,Neutral/context
ReportQuery,OPENGL,6,3333.0,3515.0,5.460546,3323.0,3458.0,4.062594,Neutral/context
SurfaceRendering,OPENGL,26,349308.0,344029.0,-1.511274,334389.0,331371.0,-0.902542,Neutral/context
TinyDraw,OPENGL,8,326597.0,327448.0,0.260566,325742.0,326932.0,0.36532,Neutral/context
UniformThrash,OPENGL,1,1819.0,1585.0,-12.864211,1763.0,1479.0,-16.108905,Improve flag
Vertex buffer allocation,OPENGL,9,830431.0,854797.0,2.934139,835550.0,854034.0,2.212196,Neutral/context
BusyPfifo,VULKAN,2,5279136.0,4978597.0,-5.692958,5278744.0,4978133.0,-5.694745,Improve flag
CpuFloatingPoint,VULKAN,2,1238588.0,1249255.0,0.861223,1237924.0,1249122.0,0.904579,Neutral/context
CpuTranslationBlocks,VULKAN,3,513031.0,523314.0,2.004362,513138.0,523108.0,1.942947,Neutral/context
FillRate,VULKAN,2,3618.0,3626.0,0.221117,1966.0,1988.0,1.119023,Neutral/context
GameLoadComposite,VULKAN,52,7435423.0,7343853.0,-1.231537,7427128.0,7350321.0,-1.034141,Neutral/context
High vertex count,VULKAN,4,223364.0,225339.0,0.884207,222055.0,223950.0,0.853392,Neutral/context
PFIFOArrayElements,VULKAN,3,2900.0,2706.0,-6.689655,1941.0,1885.0,-2.885111,Neutral/context
PipelineTextureSwitch,VULKAN,4,83867.0,81957.0,-2.277415,81559.0,79795.0,-2.162851,Neutral/context
PrimitiveType,VULKAN,20,17041.0,16855.0,-1.091485,12927.0,12745.0,-1.407906,Neutral/context
ReportQuery,VULKAN,6,17240.0,16830.0,-2.37819,16162.0,16371.0,1.293157,Neutral/context
SurfaceRendering,VULKAN,26,1045628.0,995067.0,-4.835467,999730.0,950054.0,-4.968942,Neutral/context
TinyDraw,VULKAN,8,175003.0,180494.0,3.13766,174219.0,179983.0,3.30848,Neutral/context
UniformThrash,VULKAN,1,2672.0,2757.0,3.181138,1986.0,2012.0,1.309164,Neutral/context
Vertex buffer allocation,VULKAN,9,884380.0,890158.0,0.653339,889005.0,893205.0,0.472438,Neutral/context
