index,role,renderer,mode,test_id,source,xemu_sha256,outcome,framebuffer_fnv1a64,expected_framebuffer_fnv1a64,guest_average_us,vuid_count,trace_argument
1,old-negative,vulkan,bulk,PFIFOPacketBoundary::pfifo.boundary-array-element16,52e806ab30f5664c2814fa9038f0f7c8bca2f2de,29e603601effd9d5b25bce1064faf8f317cbb222ccbd0f5a904f0ded4c79d101,EXPECTED_FAIL,,,,0,false
2,repaired,vulkan,bulk,PFIFOPacketBoundary::pfifo.boundary-array-element16,fa95400e158e1849f5ee80f16345c52968e1c44e,1228279477fd56d4f0a5328e9e20d58ca3d77fed017807a9a23f37f4e0607946,PASS,4d1756526f052325,4d1756526f052325,24993,0,false
3,repaired,vulkan,bulk,PFIFOPacketBoundary::pfifo.boundary-array-element32,fa95400e158e1849f5ee80f16345c52968e1c44e,1228279477fd56d4f0a5328e9e20d58ca3d77fed017807a9a23f37f4e0607946,PASS,6eb7071be692a325,6eb7071be692a325,49175,0,false
4,repaired,vulkan,bulk,PFIFOPacketBoundary::pfifo.boundary-inline-array,fa95400e158e1849f5ee80f16345c52968e1c44e,1228279477fd56d4f0a5328e9e20d58ca3d77fed017807a9a23f37f4e0607946,PASS,847da1930526a325,847da1930526a325,49749,0,false
5,repaired,vulkan,bulk,PFIFOPacketBoundary::pfifo.incrementing-inline-fallback,fa95400e158e1849f5ee80f16345c52968e1c44e,1228279477fd56d4f0a5328e9e20d58ca3d77fed017807a9a23f37f4e0607946,PASS,640439ee8ecd2325,640439ee8ecd2325,528,0,false
6,repaired,opengl,bulk,PFIFOPacketBoundary::pfifo.boundary-array-element16,fa95400e158e1849f5ee80f16345c52968e1c44e,1228279477fd56d4f0a5328e9e20d58ca3d77fed017807a9a23f37f4e0607946,PASS,4d1756526f052325,4d1756526f052325,26421,0,false
7,repaired,opengl,bulk,PFIFOPacketBoundary::pfifo.boundary-array-element32,fa95400e158e1849f5ee80f16345c52968e1c44e,1228279477fd56d4f0a5328e9e20d58ca3d77fed017807a9a23f37f4e0607946,PASS,6eb7071be692a325,6eb7071be692a325,49115,0,false
8,repaired,opengl,bulk,PFIFOPacketBoundary::pfifo.boundary-inline-array,fa95400e158e1849f5ee80f16345c52968e1c44e,1228279477fd56d4f0a5328e9e20d58ca3d77fed017807a9a23f37f4e0607946,PASS,847da1930526a325,847da1930526a325,50200,0,false
9,repaired,opengl,bulk,PFIFOPacketBoundary::pfifo.incrementing-inline-fallback,fa95400e158e1849f5ee80f16345c52968e1c44e,1228279477fd56d4f0a5328e9e20d58ca3d77fed017807a9a23f37f4e0607946,PASS,640439ee8ecd2325,640439ee8ecd2325,413,0,false
10,repaired,vulkan,scalar_trace,PFIFOPacketBoundary::pfifo.boundary-array-element16,fa95400e158e1849f5ee80f16345c52968e1c44e,1228279477fd56d4f0a5328e9e20d58ca3d77fed017807a9a23f37f4e0607946,PASS,4d1756526f052325,4d1756526f052325,25518,0,true
11,repaired,vulkan,scalar_trace,PFIFOPacketBoundary::pfifo.boundary-array-element32,fa95400e158e1849f5ee80f16345c52968e1c44e,1228279477fd56d4f0a5328e9e20d58ca3d77fed017807a9a23f37f4e0607946,PASS,6eb7071be692a325,6eb7071be692a325,50036,0,true
12,repaired,vulkan,scalar_trace,PFIFOPacketBoundary::pfifo.boundary-inline-array,fa95400e158e1849f5ee80f16345c52968e1c44e,1228279477fd56d4f0a5328e9e20d58ca3d77fed017807a9a23f37f4e0607946,PASS,847da1930526a325,847da1930526a325,49426,0,true
13,repaired,vulkan,scalar_trace,PFIFOPacketBoundary::pfifo.incrementing-inline-fallback,fa95400e158e1849f5ee80f16345c52968e1c44e,1228279477fd56d4f0a5328e9e20d58ca3d77fed017807a9a23f37f4e0607946,PASS,640439ee8ecd2325,640439ee8ecd2325,289,0,true
14,repaired_representative,vulkan,bulk,PFIFOArrayElements::pfifo.array-element-pgr2,fa95400e158e1849f5ee80f16345c52968e1c44e,1228279477fd56d4f0a5328e9e20d58ca3d77fed017807a9a23f37f4e0607946,PASS,bbc8b0702ffd0325,bbc8b0702ffd0325,2919,0,false
15,repaired_representative,vulkan,scalar_trace,PFIFOArrayElements::pfifo.array-element-pgr2,fa95400e158e1849f5ee80f16345c52968e1c44e,1228279477fd56d4f0a5328e9e20d58ca3d77fed017807a9a23f37f4e0607946,PASS,bbc8b0702ffd0325,bbc8b0702ffd0325,3077,0,true
16,probe,vulkan,bulk,PFIFOPacketBoundary::pfifo.boundary-array-element16,fa95400e158e1849f5ee80f16345c52968e1c44e,e8e9f9b890ec3eee6ea75c67ce46398fa6cd8c31c1406c1f341356dfb72f2ea0,PASS,4d1756526f052325,4d1756526f052325,24100,0,false
17,probe,vulkan,scalar_trace,PFIFOPacketBoundary::pfifo.boundary-array-element16,fa95400e158e1849f5ee80f16345c52968e1c44e,e8e9f9b890ec3eee6ea75c67ce46398fa6cd8c31c1406c1f341356dfb72f2ea0,PASS,4d1756526f052325,4d1756526f052325,25356,0,true
18,probe,vulkan,scalar_incrementing,PFIFOPacketBoundary::pfifo.incrementing-inline-fallback,fa95400e158e1849f5ee80f16345c52968e1c44e,e8e9f9b890ec3eee6ea75c67ce46398fa6cd8c31c1406c1f341356dfb72f2ea0,PASS,640439ee8ecd2325,640439ee8ecd2325,506,0,false
