sequence,event,submit_count,index,required_size,buffer_offset,buffer_size,paired_offset,paired_size,buffer_mapped,paired_mapped,buffer_present,paired_present,in_command_buffer,in_aux_command_buffer
1,initial,0,8,8388608,0,8388608,0,8388608,1,0,1,1,0,0
2,request,2,8,48,0,8388608,0,8388608,1,0,1,1,0,0
3,request,3,5,216,0,209714800,0,209714800,1,0,1,1,1,0
4,request,3,5,432,216,209714800,0,209714800,1,0,1,1,1,0
5,request,3,5,648,432,209714800,0,209714800,1,0,1,1,1,0
6,request,3,5,864,648,209714800,0,209714800,1,0,1,1,1,0
7,request,3,5,1080,864,209714800,0,209714800,1,0,1,1,1,0
8,request,3,5,1296,1080,209714800,0,209714800,1,0,1,1,1,0
9,request,3,5,1512,1296,209714800,0,209714800,1,0,1,1,1,0
10,request,3,5,1728,1512,209714800,0,209714800,1,0,1,1,1,0
11,request,3,5,1944,1728,209714800,0,209714800,1,0,1,1,1,0
12,request,3,5,2160,1944,209714800,0,209714800,1,0,1,1,1,0
13,request,3,5,2376,2160,209714800,0,209714800,1,0,1,1,1,0
14,request,3,5,2592,2376,209714800,0,209714800,1,0,1,1,1,0
15,request,3,5,2808,2592,209714800,0,209714800,1,0,1,1,1,0
16,request,3,5,3024,2808,209714800,0,209714800,1,0,1,1,1,0
17,request,3,5,3240,3024,209714800,0,209714800,1,0,1,1,1,0
18,request,3,5,3456,3240,209714800,0,209714800,1,0,1,1,1,0
19,request,3,5,3672,3456,209714800,0,209714800,1,0,1,1,1,0
20,request,3,5,3888,3672,209714800,0,209714800,1,0,1,1,1,0
21,request,3,5,4408,3888,209714800,0,209714800,1,0,1,1,1,0
22,request,4,5,1040,520,209714800,0,209714800,1,0,1,1,1,0
23,request,4,5,1560,1040,209714800,0,209714800,1,0,1,1,1,0
24,request,4,5,2080,1560,209714800,0,209714800,1,0,1,1,1,0
25,request,4,5,2600,2080,209714800,0,209714800,1,0,1,1,1,0
26,request,4,5,3120,2600,209714800,0,209714800,1,0,1,1,1,0
27,request,4,5,3640,3120,209714800,0,209714800,1,0,1,1,1,0
28,request,4,5,4160,3640,209714800,0,209714800,1,0,1,1,1,0
29,request,4,5,4680,4160,209714800,0,209714800,1,0,1,1,1,0
30,request,4,5,5200,4680,209714800,0,209714800,1,0,1,1,1,0
31,request,4,5,5232,5200,209714800,0,209714800,1,0,1,1,1,0
32,request,4,5,5264,5232,209714800,0,209714800,1,0,1,1,1,0
33,request,4,5,5408,5264,209714800,0,209714800,1,0,1,1,1,0
34,request,4,5,5440,5408,209714800,0,209714800,1,0,1,1,1,0
35,request,4,5,5472,5440,209714800,0,209714800,1,0,1,1,1,0
36,request,4,5,5616,5472,209714800,0,209714800,1,0,1,1,1,0
37,request,4,5,5648,5616,209714800,0,209714800,1,0,1,1,1,0
38,request,4,5,5680,5648,209714800,0,209714800,1,0,1,1,1,0
39,request,4,5,6144,5680,209714800,0,209714800,1,0,1,1,1,0
40,request,4,5,6176,6144,209714800,0,209714800,1,0,1,1,1,0
41,request,4,5,6208,6176,209714800,0,209714800,1,0,1,1,1,0
42,request,4,5,6352,6208,209714800,0,209714800,1,0,1,1,1,0
43,request,4,5,6384,6352,209714800,0,209714800,1,0,1,1,1,0
44,request,4,5,6416,6384,209714800,0,209714800,1,0,1,1,1,0
45,request,4,5,6880,6416,209714800,0,209714800,1,0,1,1,1,0
46,request,4,5,6912,6880,209714800,0,209714800,1,0,1,1,1,0
47,request,4,5,6944,6912,209714800,0,209714800,1,0,1,1,1,0
48,request,4,5,7408,6944,209714800,0,209714800,1,0,1,1,1,0
49,request,4,5,7440,7408,209714800,0,209714800,1,0,1,1,1,0
50,request,4,5,7472,7440,209714800,0,209714800,1,0,1,1,1,0
51,request,4,5,7616,7472,209714800,0,209714800,1,0,1,1,1,0
52,request,4,5,7648,7616,209714800,0,209714800,1,0,1,1,1,0
53,request,4,5,7680,7648,209714800,0,209714800,1,0,1,1,1,0
54,request,4,5,7824,7680,209714800,0,209714800,1,0,1,1,1,0
55,request,4,5,7844,7824,209714800,0,209714800,1,0,1,1,1,0
56,request,4,5,7864,7844,209714800,0,209714800,1,0,1,1,1,0
57,request,5,5,340,20,209714800,0,209714800,1,0,1,1,1,0
58,request,5,5,360,340,209714800,0,209714800,1,0,1,1,1,0
59,request,5,5,380,360,209714800,0,209714800,1,0,1,1,1,0
60,request,5,5,700,380,209714800,0,209714800,1,0,1,1,1,0
61,request,5,5,732,700,209714800,0,209714800,1,0,1,1,1,0
62,request,5,5,764,732,209714800,0,209714800,1,0,1,1,1,0
63,request,5,5,1228,764,209714800,0,209714800,1,0,1,1,1,0
64,request,5,5,1248,1228,209714800,0,209714800,1,0,1,1,1,0
65,request,5,5,1268,1248,209714800,0,209714800,1,0,1,1,1,0
66,request,5,5,1588,1268,209714800,0,209714800,1,0,1,1,1,0
67,request,5,5,1608,1588,209714800,0,209714800,1,0,1,1,1,0
68,request,5,5,1628,1608,209714800,0,209714800,1,0,1,1,1,0
69,request,5,5,1948,1628,209714800,0,209714800,1,0,1,1,1,0
70,request,5,5,1968,1948,209714800,0,209714800,1,0,1,1,1,0
71,request,5,5,1988,1968,209714800,0,209714800,1,0,1,1,1,0
72,request,5,5,2308,1988,209714800,0,209714800,1,0,1,1,1,0
73,request,5,5,2340,2308,209714800,0,209714800,1,0,1,1,1,0
74,request,5,5,2372,2340,209714800,0,209714800,1,0,1,1,1,0
75,request,5,5,2516,2372,209714800,0,209714800,1,0,1,1,1,0
76,request,5,5,2548,2516,209714800,0,209714800,1,0,1,1,1,0
77,request,5,5,2580,2548,209714800,0,209714800,1,0,1,1,1,0
78,request,5,5,3044,2580,209714800,0,209714800,1,0,1,1,1,0
79,request,5,5,3076,3044,209714800,0,209714800,1,0,1,1,1,0
80,request,5,5,3108,3076,209714800,0,209714800,1,0,1,1,1,0
81,request,5,5,3572,3108,209714800,0,209714800,1,0,1,1,1,0
82,request,5,5,3604,3572,209714800,0,209714800,1,0,1,1,1,0
83,request,5,5,3636,3604,209714800,0,209714800,1,0,1,1,1,0
84,request,5,5,3780,3636,209714800,0,209714800,1,0,1,1,1,0
85,request,5,5,3812,3780,209714800,0,209714800,1,0,1,1,1,0
86,request,5,5,3844,3812,209714800,0,209714800,1,0,1,1,1,0
87,request,5,5,3988,3844,209714800,0,209714800,1,0,1,1,1,0
88,request,5,5,4020,3988,209714800,0,209714800,1,0,1,1,1,0
89,request,5,5,4052,4020,209714800,0,209714800,1,0,1,1,1,0
90,request,5,5,4196,4052,209714800,0,209714800,1,0,1,1,1,0
91,request,5,5,4228,4196,209714800,0,209714800,1,0,1,1,1,0
92,request,5,5,4260,4228,209714800,0,209714800,1,0,1,1,1,0
93,request,5,5,4404,4260,209714800,0,209714800,1,0,1,1,1,0
94,request,5,5,4428,4404,209714800,0,209714800,1,0,1,1,1,0
95,request,5,5,4452,4428,209714800,0,209714800,1,0,1,1,1,0
96,request,5,5,4564,4452,209714800,0,209714800,1,0,1,1,1,0
97,request,5,5,4588,4564,209714800,0,209714800,1,0,1,1,1,0
98,request,5,5,4612,4588,209714800,0,209714800,1,0,1,1,1,0
99,request,5,5,4724,4612,209714800,0,209714800,1,0,1,1,1,0
100,request,5,5,4736,4724,209714800,0,209714800,1,0,1,1,1,0
101,request,5,5,4748,4736,209714800,0,209714800,1,0,1,1,1,0
102,request,5,5,4812,4748,209714800,0,209714800,1,0,1,1,1,0
103,request,5,5,4824,4812,209714800,0,209714800,1,0,1,1,1,0
104,request,5,5,4836,4824,209714800,0,209714800,1,0,1,1,1,0
105,request,5,5,4900,4836,209714800,0,209714800,1,0,1,1,1,0
106,request,5,5,4912,4900,209714800,0,209714800,1,0,1,1,1,0
107,request,5,5,4924,4912,209714800,0,209714800,1,0,1,1,1,0
108,request,5,5,4988,4924,209714800,0,209714800,1,0,1,1,1,0
109,request,5,5,5000,4988,209714800,0,209714800,1,0,1,1,1,0
110,request,5,5,5012,5000,209714800,0,209714800,1,0,1,1,1,0
111,request,5,5,5076,5012,209714800,0,209714800,1,0,1,1,1,0
112,request,5,5,5088,5076,209714800,0,209714800,1,0,1,1,1,0
113,request,5,5,5100,5088,209714800,0,209714800,1,0,1,1,1,0
114,request,5,5,5164,5100,209714800,0,209714800,1,0,1,1,1,0
115,request,5,5,5176,5164,209714800,0,209714800,1,0,1,1,1,0
116,request,5,5,5188,5176,209714800,0,209714800,1,0,1,1,1,0
117,request,5,5,5252,5188,209714800,0,209714800,1,0,1,1,1,0
118,request,5,5,5264,5252,209714800,0,209714800,1,0,1,1,1,0
119,request,5,5,5276,5264,209714800,0,209714800,1,0,1,1,1,0
120,request,5,5,5340,5276,209714800,0,209714800,1,0,1,1,1,0
121,request,5,5,5352,5340,209714800,0,209714800,1,0,1,1,1,0
122,request,5,5,5364,5352,209714800,0,209714800,1,0,1,1,1,0
123,request,5,5,5428,5364,209714800,0,209714800,1,0,1,1,1,0
124,request,5,5,5468,5428,209714800,0,209714800,1,0,1,1,1,0
125,request,5,5,5508,5468,209714800,0,209714800,1,0,1,1,1,0
126,request,5,5,5684,5508,209714800,0,209714800,1,0,1,1,1,0
127,request,6,5,216,176,209714800,0,209714800,1,0,1,1,1,0
128,request,6,5,256,216,209714800,0,209714800,1,0,1,1,1,0
129,request,6,5,432,256,209714800,0,209714800,1,0,1,1,1,0
130,request,6,5,472,432,209714800,0,209714800,1,0,1,1,1,0
131,request,6,5,512,472,209714800,0,209714800,1,0,1,1,1,0
132,request,6,5,688,512,209714800,0,209714800,1,0,1,1,1,0
133,request,6,5,728,688,209714800,0,209714800,1,0,1,1,1,0
134,request,6,5,768,728,209714800,0,209714800,1,0,1,1,1,0
135,request,6,5,944,768,209714800,0,209714800,1,0,1,1,1,0
136,request,6,5,984,944,209714800,0,209714800,1,0,1,1,1,0
137,request,6,5,1024,984,209714800,0,209714800,1,0,1,1,1,0
138,request,6,5,1200,1024,209714800,0,209714800,1,0,1,1,1,0
139,request,6,5,1240,1200,209714800,0,209714800,1,0,1,1,1,0
140,request,6,5,1280,1240,209714800,0,209714800,1,0,1,1,1,0
141,request,6,5,1456,1280,209714800,0,209714800,1,0,1,1,1,0
142,request,6,5,1496,1456,209714800,0,209714800,1,0,1,1,1,0
143,request,6,5,1536,1496,209714800,0,209714800,1,0,1,1,1,0
144,request,6,5,1712,1536,209714800,0,209714800,1,0,1,1,1,0
145,request,6,5,1752,1712,209714800,0,209714800,1,0,1,1,1,0
146,request,6,5,1792,1752,209714800,0,209714800,1,0,1,1,1,0
147,request,6,5,1968,1792,209714800,0,209714800,1,0,1,1,1,0
148,request,6,5,1980,1968,209714800,0,209714800,1,0,1,1,1,0
149,request,6,5,1992,1980,209714800,0,209714800,1,0,1,1,1,0
150,request,6,5,2056,1992,209714800,0,209714800,1,0,1,1,1,0
151,request,6,5,2068,2056,209714800,0,209714800,1,0,1,1,1,0
152,request,6,5,2080,2068,209714800,0,209714800,1,0,1,1,1,0
153,request,6,5,2144,2080,209714800,0,209714800,1,0,1,1,1,0
154,request,6,5,2156,2144,209714800,0,209714800,1,0,1,1,1,0
155,request,6,5,2168,2156,209714800,0,209714800,1,0,1,1,1,0
156,request,6,5,2232,2168,209714800,0,209714800,1,0,1,1,1,0
157,request,6,5,2244,2232,209714800,0,209714800,1,0,1,1,1,0
