game,renderer,build,sequence,source_commit,xemu_sha256,average_fps,p95_ms,p99_ms,host_fps,cpu_host_percent,process_gpu_percent,device_gpu_percent,private_mib,dedicated_gpu_mib,shared_gpu_mib,power_watts,status
Morrowind,VULKAN,baseline,1,208e4596832a1f949bd63822d5ddd962c4575067,6c41b50acb94fc71442ae6f217c8c236ffcc3fda12ce81e7553cb391b1fd2527,28.34973764428961,41.774,45.417,,,,,,,,,complete
Morrowind,VULKAN,candidate,1,021bc7293ab534c10d311761ca975985ab50a48c,431d42576e31ec2a8d21ba31feed4ccce283b57c4d515b9801b8e8c32ef40f43,27.11687483120746,43.12,52.949,,,,,,,,,complete
Morrowind,OPENGL,baseline,1,208e4596832a1f949bd63822d5ddd962c4575067,6c41b50acb94fc71442ae6f217c8c236ffcc3fda12ce81e7553cb391b1fd2527,37.95267071642025,32.689,38.757,,,,,,,,,complete
Morrowind,OPENGL,candidate,1,021bc7293ab534c10d311761ca975985ab50a48c,431d42576e31ec2a8d21ba31feed4ccce283b57c4d515b9801b8e8c32ef40f43,35.46561377665284,35.083,40.962,,,,,,,,,complete
PGR2,VULKAN,baseline,1,208e4596832a1f949bd63822d5ddd962c4575067,6c41b50acb94fc71442ae6f217c8c236ffcc3fda12ce81e7553cb391b1fd2527,29.997086921690965,38.787,41.681,59.997797545403685,21.640767877566397,45.868732267181265,35.2,3115.9689453125,674.240625,468.297265625,21.332,complete
PGR2,VULKAN,candidate,2,021bc7293ab534c10d311761ca975985ab50a48c,431d42576e31ec2a8d21ba31feed4ccce283b57c4d515b9801b8e8c32ef40f43,30.00523493108212,38.444,40.559,59.99797901193322,22.03259949063675,43.86031421446405,33.1,3119.156640625,674.31875,468.3728515625,21.753999999999998,complete
PGR2,VULKAN,candidate,3,021bc7293ab534c10d311761ca975985ab50a48c,431d42576e31ec2a8d21ba31feed4ccce283b57c4d515b9801b8e8c32ef40f43,30.006358612593512,39.16,41.127,60.00021928929519,20.935890833508125,41.71374448054966,36.2,3110.7177734375,676.7453125,468.289453125,20.538999999999998,complete
PGR2,VULKAN,baseline,4,208e4596832a1f949bd63822d5ddd962c4575067,6c41b50acb94fc71442ae6f217c8c236ffcc3fda12ce81e7553cb391b1fd2527,30.015353104077228,40.307,41.987,60.0047166009346,21.727836916207092,42.63565781700324,35.9,3097.9189453125,674.3375,468.3978515625,20.927,complete
PGR2,OPENGL,baseline,1,208e4596832a1f949bd63822d5ddd962c4575067,6c41b50acb94fc71442ae6f217c8c236ffcc3fda12ce81e7553cb391b1fd2527,29.990173759643607,39.13,42.619,59.9957466568327,22.49594810062588,44.9576772277472,38.0,2339.57265625,210.156640625,41.825,23.842000000000002,complete
PGR2,OPENGL,candidate,2,021bc7293ab534c10d311761ca975985ab50a48c,431d42576e31ec2a8d21ba31feed4ccce283b57c4d515b9801b8e8c32ef40f43,30.016177519035658,40.716,43.628,59.99810608146866,22.027246317860403,44.672049916380196,38.2,2331.94453125,210.15234375,41.625,23.764,complete
PGR2,OPENGL,candidate,3,021bc7293ab534c10d311761ca975985ab50a48c,431d42576e31ec2a8d21ba31feed4ccce283b57c4d515b9801b8e8c32ef40f43,29.99647473741767,39.612,42.855,60.001342348629954,22.39979238979388,44.47739537631417,38.4,2340.9275390625,210.15234375,41.625,23.988999999999997,complete
PGR2,OPENGL,baseline,4,208e4596832a1f949bd63822d5ddd962c4575067,6c41b50acb94fc71442ae6f217c8c236ffcc3fda12ce81e7553cb391b1fd2527,30.009781836183922,39.407,42.104,59.9969759456986,22.192771766930015,44.29232163103269,38.1,2343.9970703125,212.66015625,41.625,23.721,complete
