test_group,renderer,tests,baseline_average_sum_us,candidate_average_sum_us,average_delta_percent,baseline_median_sum_us,candidate_median_sum_us,median_delta_percent,context_flag
BusyPfifo,OPENGL,2,4872629.0,4791786.0,-1.659124878992424,4872598.0,4791556.0,-1.6632194980993664,Neutral/context
BusyPfifo,VULKAN,2,5231812.0,4949821.0,-5.38992991338374,5230944.0,4949129.0,-5.387459701346453,Improve flag
CpuFloatingPoint,OPENGL,2,1243317.0,1243645.0,0.026381043611567456,1241218.0,1243006.0,0.14405205209722105,Neutral/context
CpuFloatingPoint,VULKAN,2,1244559.0,1251588.0,0.5647783672770856,1241165.0,1251812.0,0.8578230936257425,Neutral/context
CpuTranslationBlocks,OPENGL,3,520130.0,517062.0,-0.589852536865787,519383.0,516502.0,-0.5546966304249445,Neutral/context
CpuTranslationBlocks,VULKAN,3,516541.0,517866.0,0.2565140037286584,516705.0,517392.0,0.1329578773187734,Neutral/context
FillRate,OPENGL,2,3071.0,2731.0,-11.07131227613155,2881.0,2484.0,-13.779937521693853,Improve flag
FillRate,VULKAN,2,3862.0,3572.0,-7.5090626618332434,2060.0,1958.0,-4.951456310679614,Neutral/context
GameLoadComposite,OPENGL,52,10602598.0,10564025.0,-0.3638070593641296,10603328.0,10569554.0,-0.31852263742100373,Neutral/context
GameLoadComposite,VULKAN,52,7404114.0,7308893.0,-1.2860552930438418,7409094.0,7291009.0,-1.593784611181881,Neutral/context
High vertex count,OPENGL,4,209226.0,205094.0,-1.9748979572328462,208082.0,204381.0,-1.7786257340856038,Neutral/context
High vertex count,VULKAN,4,242529.0,227768.0,-6.086282465189729,241676.0,227676.0,-5.792879723265864,Improve flag
PFIFOArrayElements,OPENGL,3,3987.0,3888.0,-2.483069977426633,3965.0,3865.0,-2.522068095838592,Neutral/context
PFIFOArrayElements,VULKAN,3,2904.0,2834.0,-2.4104683195592336,1939.0,1919.0,-1.0314595152140282,Neutral/context
PipelineTextureSwitch,OPENGL,4,56896.0,56425.0,-0.8278262092238475,56680.0,56354.0,-0.5751587861679619,Neutral/context
PipelineTextureSwitch,VULKAN,4,84942.0,83043.0,-2.2356431447340563,83849.0,81251.0,-3.098426934131593,Neutral/context
PrimitiveType,OPENGL,20,18494.0,18111.0,-2.0709419271114915,17256.0,16706.0,-3.187297171998149,Neutral/context
PrimitiveType,VULKAN,20,17668.0,16666.0,-5.671270092823189,13221.0,12681.0,-4.084411164057178,Neutral/context
ReportQuery,OPENGL,6,3641.0,3689.0,1.31831914309255,3496.0,3499.0,0.08581235697939782,Neutral/context
ReportQuery,VULKAN,6,17054.0,16465.0,-3.453735194089358,15876.0,15643.0,-1.4676240866717039,Neutral/context
SurfaceRendering,OPENGL,26,344813.0,344768.0,-0.013050552038351704,328617.0,330304.0,0.5133635813119763,Neutral/context
SurfaceRendering,VULKAN,26,1054649.0,1056123.0,0.13976213887274547,1013214.0,1013324.0,0.01085654165853267,Neutral/context
TinyDraw,OPENGL,8,335873.0,331450.0,-1.3168667919124188,335371.0,330255.0,-1.525474772714397,Neutral/context
TinyDraw,VULKAN,8,188723.0,179407.0,-4.9363352638523095,189171.0,178146.0,-5.828060326371376,Neutral/context
UniformThrash,OPENGL,1,1812.0,1728.0,-4.635761589403975,1771.0,1736.0,-1.9762845849802368,Neutral/context
UniformThrash,VULKAN,1,2776.0,2757.0,-0.684438040345825,2021.0,2003.0,-0.8906481939633837,Neutral/context
Vertex buffer allocation,OPENGL,9,855956.0,842856.0,-1.530452499894852,856505.0,842045.0,-1.6882563440960618,Neutral/context
Vertex buffer allocation,VULKAN,9,921051.0,883970.0,-4.0259442745298575,923953.0,887138.0,-3.9845100346013296,Neutral/context
