game,renderer,build,sequence,source_commit,xemu_sha256,average_fps,p95_ms,p99_ms,host_fps,cpu_host_percent,process_gpu_percent,device_gpu_percent,private_mib,dedicated_gpu_mib,shared_gpu_mib,power_watts,status
Morrowind,VULKAN,baseline,1,330cb0d86fe946b795330b629c3e0844c2c10d51,ee73b71288ebc30f8a5bb65f1d81cdb7dcb1edfb99c6352997fd16bcd411ab46,27.58218387507417,42.173,51.164,,,,,,,,,complete
Morrowind,VULKAN,candidate,1,eb338262714ef0b1e23fd60a2c168300443377ac,4aca1e0b02526a2205d6c85d6d78415328dc60e62578cd02157f37fda1323a61,27.34478516851023,44.595,51.077,,,,,,,,,complete
Morrowind,OPENGL,baseline,1,330cb0d86fe946b795330b629c3e0844c2c10d51,ee73b71288ebc30f8a5bb65f1d81cdb7dcb1edfb99c6352997fd16bcd411ab46,35.112683624287065,35.815,40.133,,,,,,,,,complete
Morrowind,OPENGL,candidate,1,eb338262714ef0b1e23fd60a2c168300443377ac,4aca1e0b02526a2205d6c85d6d78415328dc60e62578cd02157f37fda1323a61,38.547614012828646,32.581,37.787,,,,,,,,,complete
PGR2,VULKAN,baseline,1,330cb0d86fe946b795330b629c3e0844c2c10d51,ee73b71288ebc30f8a5bb65f1d81cdb7dcb1edfb99c6352997fd16bcd411ab46,30.01556424894736,39.286,41.318,60.002140660190896,21.727754972919254,48.15770965688017,36.3,3116.978515625,674.34375,468.3802734375,21.320999999999998,complete
PGR2,VULKAN,candidate,2,eb338262714ef0b1e23fd60a2c168300443377ac,4aca1e0b02526a2205d6c85d6d78415328dc60e62578cd02157f37fda1323a61,30.00512988931896,38.667,41.543,59.99792448536153,21.711830303174875,43.478260216410206,32.9,3116.3412109375,674.346875,468.396875,21.792,complete
PGR2,VULKAN,candidate,3,eb338262714ef0b1e23fd60a2c168300443377ac,4aca1e0b02526a2205d6c85d6d78415328dc60e62578cd02157f37fda1323a61,30.009246355883693,38.503,40.866,59.99472359912254,22.39236251114331,45.77611981715019,33.7,3108.1951171875,674.2625,468.308203125,21.708000000000002,complete
PGR2,VULKAN,baseline,4,330cb0d86fe946b795330b629c3e0844c2c10d51,ee73b71288ebc30f8a5bb65f1d81cdb7dcb1edfb99c6352997fd16bcd411ab46,30.00647910929951,40.495,42.183,60.012738216722745,21.556111616024083,43.19218201993506,32.8,3107.6029296875,674.33046875,468.40078125,21.43,complete
PGR2,OPENGL,baseline,1,330cb0d86fe946b795330b629c3e0844c2c10d51,ee73b71288ebc30f8a5bb65f1d81cdb7dcb1edfb99c6352997fd16bcd411ab46,30.012868267376874,39.868,42.734,59.99944876548679,22.049398180494773,44.34989421740697,38.4,2286.325,160.86328125,41.625,23.899,complete
PGR2,OPENGL,candidate,2,eb338262714ef0b1e23fd60a2c168300443377ac,4aca1e0b02526a2205d6c85d6d78415328dc60e62578cd02157f37fda1323a61,29.99179702068091,39.879,41.973,59.99303720610092,22.886209453191167,44.31657601167723,39.4,2291.6052734375,162.866015625,43.025,23.982,complete
PGR2,OPENGL,candidate,3,eb338262714ef0b1e23fd60a2c168300443377ac,4aca1e0b02526a2205d6c85d6d78415328dc60e62578cd02157f37fda1323a61,29.99381630276828,39.667,42.689,59.99543741283142,22.14029022442267,44.72982567892891,38.6,2280.7912109375,159.60234375,42.025,23.872999999999998,complete
PGR2,OPENGL,baseline,4,330cb0d86fe946b795330b629c3e0844c2c10d51,ee73b71288ebc30f8a5bb65f1d81cdb7dcb1edfb99c6352997fd16bcd411ab46,29.998686354026653,40.34,43.507,60.00273630493395,23.10829330663277,44.53644912150712,37.9,2293.025390625,165.3671875,41.625,23.909,complete
