test_group,renderer,tests,baseline_average_sum_us,candidate_average_sum_us,average_delta_percent,baseline_median_sum_us,candidate_median_sum_us,median_delta_percent,context_flag
BusyPfifo,OPENGL,2,4332385.0,4549063.0,5.001356066000606,4332504.0,4549172.0,5.000987881372998,Regress flag
BusyPfifo,VULKAN,2,5001359.0,5238248.0,4.7364926213055325,5000833.0,5238090.0,4.744349591358077,Neutral/context
CpuFloatingPoint,OPENGL,2,1241955.0,1240934.0,-0.08220909775313867,1243941.0,1241089.0,-0.22927132396151073,Neutral/context
CpuFloatingPoint,VULKAN,2,1257273.0,1264822.0,0.6004264785770541,1256143.0,1262997.0,0.5456385140863773,Neutral/context
CpuTranslationBlocks,OPENGL,3,516252.0,516595.0,0.06644042056980215,516354.0,516772.0,0.0809522149533004,Neutral/context
CpuTranslationBlocks,VULKAN,3,519282.0,518897.0,-0.07414083291930051,519056.0,518434.0,-0.11983292746832186,Neutral/context
FillRate,OPENGL,2,2805.0,3403.0,21.31907308377896,2473.0,3262.0,31.90456934896886,Regress flag
FillRate,VULKAN,2,3657.0,3571.0,-2.351654361498501,1978.0,1904.0,-3.7411526794742134,Neutral/context
GameLoadComposite,OPENGL,52,10520985.0,10765521.0,2.3242690679627476,10523725.0,10757861.0,2.2248395886437455,Neutral/context
GameLoadComposite,VULKAN,52,7339381.0,7549153.0,2.8581701917368862,7342040.0,7533612.0,2.6092475660715486,Neutral/context
High vertex count,OPENGL,4,208863.0,211909.0,1.4583722344311711,209324.0,211323.0,0.9549788844088525,Neutral/context
High vertex count,VULKAN,4,228837.0,231994.0,1.3795845951485086,227924.0,230215.0,1.0051596146083863,Neutral/context
PFIFOArrayElements,OPENGL,3,3897.0,3979.0,2.104182704644608,3915.0,3933.0,0.45977011494253706,Neutral/context
PFIFOArrayElements,VULKAN,3,2784.0,2766.0,-0.6465517241379337,1943.0,1919.0,-1.2352032938754531,Neutral/context
PipelineTextureSwitch,OPENGL,4,55360.0,56775.0,2.555997109826591,54851.0,56304.0,2.648994548868755,Neutral/context
PipelineTextureSwitch,VULKAN,4,83180.0,83677.0,0.5974993988939747,80975.0,81831.0,1.0571163939487427,Neutral/context
PrimitiveType,OPENGL,20,18183.0,17961.0,-1.220920640158385,16606.0,16986.0,2.2883295194507935,Neutral/context
PrimitiveType,VULKAN,20,17025.0,17106.0,0.4757709251101305,12912.0,12903.0,-0.06970260223048141,Neutral/context
ReportQuery,OPENGL,6,4042.0,3587.0,-11.256803562592776,3453.0,3663.0,6.081668114682892,Discordant
ReportQuery,VULKAN,6,17100.0,16873.0,-1.327485380116955,16171.0,16297.0,0.7791725929132465,Neutral/context
SurfaceRendering,OPENGL,26,348542.0,348559.0,0.004877460965957425,336415.0,334241.0,-0.6462256439219383,Neutral/context
SurfaceRendering,VULKAN,26,1020847.0,1054610.0,3.3073516403535397,977202.0,1009156.0,3.2699482809081415,Neutral/context
TinyDraw,OPENGL,8,334233.0,339649.0,1.6204264689602788,335941.0,337801.0,0.5536686501498744,Neutral/context
TinyDraw,VULKAN,8,181574.0,180847.0,-0.4003877207089168,180751.0,179295.0,-0.8055280468711068,Neutral/context
UniformThrash,OPENGL,1,1719.0,1720.0,0.05817335660267542,1706.0,1734.0,1.6412661195779554,Neutral/context
UniformThrash,VULKAN,1,2741.0,2898.0,5.727836556001464,2002.0,2149.0,7.342657342657333,Regress flag
Vertex buffer allocation,OPENGL,9,847069.0,857743.0,1.2601098611801476,847634.0,858269.0,1.2546688783130477,Neutral/context
Vertex buffer allocation,VULKAN,9,886837.0,892597.0,0.6494992879187533,891546.0,897731.0,0.6937387414670759,Neutral/context
