game,renderer,build,sequence,source_commit,xemu_sha256,average_fps,p95_ms,p99_ms,host_fps,cpu_host_percent,process_gpu_percent,device_gpu_percent,private_mib,dedicated_gpu_mib,shared_gpu_mib,power_watts,status
Morrowind,VULKAN,baseline,1,eb338262714ef0b1e23fd60a2c168300443377ac,4aca1e0b02526a2205d6c85d6d78415328dc60e62578cd02157f37fda1323a61,27.987247445185623,43.244,46.989,,,,,,,,,complete
Morrowind,VULKAN,candidate,1,cb89434e45a5191eda85abba25812192fe1c9b21,44099336b62b34d62295a6b936b03cd00e1f479ef0972c8a36ef73f8fccd2c97,27.41006236441808,44.197,51.634,,,,,,,,,complete
Morrowind,OPENGL,baseline,1,eb338262714ef0b1e23fd60a2c168300443377ac,4aca1e0b02526a2205d6c85d6d78415328dc60e62578cd02157f37fda1323a61,37.86233275842019,32.73,38.142,,,,,,,,,complete
Morrowind,OPENGL,candidate,1,cb89434e45a5191eda85abba25812192fe1c9b21,44099336b62b34d62295a6b936b03cd00e1f479ef0972c8a36ef73f8fccd2c97,38.49386729539984,31.135,37.467,,,,,,,,,complete
PGR2,VULKAN,baseline,1,eb338262714ef0b1e23fd60a2c168300443377ac,4aca1e0b02526a2205d6c85d6d78415328dc60e62578cd02157f37fda1323a61,30.00392059535846,39.314,41.536,59.99804733627766,21.6982770514118,46.12319252534521,34.8,3115.835546875,674.340625,468.3861328125,21.671,complete
PGR2,VULKAN,candidate,2,cb89434e45a5191eda85abba25812192fe1c9b21,44099336b62b34d62295a6b936b03cd00e1f479ef0972c8a36ef73f8fccd2c97,30.006693048948385,40.611,42.745,60.000048287024285,21.41113449338144,40.12100805549967,35.9,3105.8236328125,674.3125,468.358984375,20.851,complete
PGR2,VULKAN,candidate,3,cb89434e45a5191eda85abba25812192fe1c9b21,44099336b62b34d62295a6b936b03cd00e1f479ef0972c8a36ef73f8fccd2c97,29.99076139995073,39.455,41.178,60.00126026006325,20.944045193439862,43.99726320399456,34.1,3115.06484375,678.0505859375,467.053125,21.053,complete
PGR2,VULKAN,baseline,4,eb338262714ef0b1e23fd60a2c168300443377ac,4aca1e0b02526a2205d6c85d6d78415328dc60e62578cd02157f37fda1323a61,29.99432007056513,39.181,41.111,59.999587277588866,20.95064707370346,44.27617135047184,33.9,3106.9630859375,677.99765625,468.295703125,21.043,complete
PGR2,OPENGL,baseline,1,eb338262714ef0b1e23fd60a2c168300443377ac,4aca1e0b02526a2205d6c85d6d78415328dc60e62578cd02157f37fda1323a61,30.00792967051871,40.441,43.013,60.00259257933542,22.41061230501261,44.157314758731324,37.8,2286.4669921875,161.609375,41.625,23.484,complete
PGR2,OPENGL,candidate,2,cb89434e45a5191eda85abba25812192fe1c9b21,44099336b62b34d62295a6b936b03cd00e1f479ef0972c8a36ef73f8fccd2c97,29.994960929652354,40.377,43.021,59.997104526725316,22.2424529079002,44.529565241272365,37.8,2288.28828125,161.625,41.625,24.112000000000002,complete
PGR2,OPENGL,candidate,3,cb89434e45a5191eda85abba25812192fe1c9b21,44099336b62b34d62295a6b936b03cd00e1f479ef0972c8a36ef73f8fccd2c97,30.01242910516069,39.391,42.387,59.99984917469106,22.375005330796338,44.637904163276936,38.0,2282.498828125,159.609375,41.625,23.788999999999998,complete
PGR2,OPENGL,baseline,4,eb338262714ef0b1e23fd60a2c168300443377ac,4aca1e0b02526a2205d6c85d6d78415328dc60e62578cd02157f37fda1323a61,30.011531931144543,39.889,42.492,59.99887566309256,22.258169899934042,44.39711505078127,38.0,2290.8990234375,161.6126953125,43.325,23.85,complete
