test_group,renderer,tests,baseline_average_sum_us,candidate_average_sum_us,average_delta_percent,baseline_median_sum_us,candidate_median_sum_us,median_delta_percent,context_flag
BusyPfifo,OPENGL,2,4532311.0,4299601.0,-5.134466721281927,4532281.0,4299036.0,-5.1463049179872105,Improve flag
BusyPfifo,VULKAN,2,5000365.0,5055846.0,1.1095390036527375,5000222.0,5055544.0,1.1063908762450891,Neutral/context
CpuFloatingPoint,OPENGL,2,1239123.0,1238221.0,-0.07279341921665461,1239310.0,1238358.0,-0.07681693845769111,Neutral/context
CpuFloatingPoint,VULKAN,2,1248357.0,1253729.0,0.43032561999492014,1248587.0,1254826.0,0.4996848437473611,Neutral/context
CpuTranslationBlocks,OPENGL,3,519076.0,519614.0,0.10364570891352454,519323.0,518998.0,-0.06258147626814203,Neutral/context
CpuTranslationBlocks,VULKAN,3,518425.0,518076.0,-0.06731928437092582,518000.0,518103.0,0.019884169884165637,Neutral/context
FillRate,OPENGL,2,2933.0,3226.0,9.989771564950555,2593.0,3063.0,18.125723100655613,Regress flag
FillRate,VULKAN,2,3639.0,3577.0,-1.7037647705413606,1971.0,1915.0,-2.841197361745307,Neutral/context
GameLoadComposite,OPENGL,52,10774963.0,10569037.0,-1.9111527343527723,10773010.0,10565521.0,-1.9260076803047643,Neutral/context
GameLoadComposite,VULKAN,52,7341956.0,7418311.0,1.0399817160440694,7344852.0,7399890.0,0.7493411712039988,Neutral/context
High vertex count,OPENGL,4,208245.0,208687.0,0.2122499939974487,206898.0,207362.0,0.22426509681099382,Neutral/context
High vertex count,VULKAN,4,230868.0,226153.0,-2.0422925654486557,230139.0,224051.0,-2.645357805500159,Neutral/context
PFIFOArrayElements,OPENGL,3,3586.0,3837.0,6.999442275515899,3875.0,3871.0,-0.10322580645161228,Neutral/context
PFIFOArrayElements,VULKAN,3,2836.0,2820.0,-0.5641748942172065,1939.0,1968.0,1.4956162970603426,Neutral/context
PipelineTextureSwitch,OPENGL,4,56828.0,56645.0,-0.3220243541915968,56560.0,56449.0,-0.1962517680339504,Neutral/context
PipelineTextureSwitch,VULKAN,4,82939.0,82898.0,-0.04943392131566693,81932.0,81146.0,-0.9593321290826573,Neutral/context
PrimitiveType,OPENGL,20,17822.0,17993.0,0.9594882729211163,16661.0,16618.0,-0.2580877498349454,Neutral/context
PrimitiveType,VULKAN,20,17328.0,17012.0,-1.8236380424746068,13047.0,12885.0,-1.2416647505173573,Neutral/context
ReportQuery,OPENGL,6,3392.0,3358.0,-1.0023584905660354,3166.0,3272.0,3.348073278584973,Neutral/context
ReportQuery,VULKAN,6,16766.0,17513.0,4.455445544554459,16182.0,16190.0,0.04943764676801354,Neutral/context
SurfaceRendering,OPENGL,26,345850.0,349492.0,1.0530576839670402,332846.0,336633.0,1.1377634101055634,Neutral/context
SurfaceRendering,VULKAN,26,1026247.0,1049350.0,2.2512124274175704,984169.0,1003402.0,1.9542375344071994,Neutral/context
TinyDraw,OPENGL,8,342193.0,333000.0,-2.686495632581609,341667.0,332009.0,-2.826728949532731,Neutral/context
TinyDraw,VULKAN,8,183115.0,182958.0,-0.0857384703601527,182146.0,183730.0,0.8696320534077095,Neutral/context
UniformThrash,OPENGL,1,1753.0,1767.0,0.798630918425558,1680.0,1763.0,4.940476190476195,Neutral/context
UniformThrash,VULKAN,1,2999.0,2718.0,-9.369789929976658,2161.0,1962.0,-9.208699676075893,Improve flag
Vertex buffer allocation,OPENGL,9,848923.0,851754.0,0.3334813640341938,851740.0,849727.0,-0.23633972808603243,Neutral/context
Vertex buffer allocation,VULKAN,9,895643.0,886226.0,-1.0514233907929826,901340.0,888872.0,-1.383273792353612,Neutral/context
