renderer,group,test_id,baseline_average_us,candidate_average_us,average_delta_percent,baseline_p95_us,candidate_p95_us,p95_delta_percent
vulkan,busy_pfifo,busy_pfifo.pfifo_saturation,65287,66064,1.1901,68213,71326,4.5636
vulkan,busy_pfifo,busy_pfifo.pgraph_pattern_polling,5264047,4992414,-5.1602,5264047,4992414,-5.1602
vulkan,cpu_floating_point,cpu_floating_point.sse_scalar,501630,498810,-0.5622,506759,507606,0.1671
vulkan,cpu_floating_point,cpu_floating_point.x87_scalar,748448,749252,0.1074,754409,756703,0.3041
vulkan,cpu_translation_blocks,cpu_translation_blocks.direct_loop,10120,9951,-1.67,10716,10172,-5.0765
vulkan,cpu_translation_blocks,cpu_translation_blocks.indirect_dispatch,24485,24207,-1.1354,25180,24666,-2.0413
vulkan,cpu_translation_blocks,cpu_translation_blocks.indirect_dispatch_stress,484729,482211,-0.5195,487566,486888,-0.1391
vulkan,fill_rate,fill_rate.solid,1753,1697,-3.1945,7346,7153,-2.6273
vulkan,fill_rate,fill_rate.textured,1975,1912,-3.1899,10770,10058,-6.611
vulkan,game_load,game_load.cross_title_hotpath.blend_constant_reuse,115886,116077,0.1648,119064,117939,-0.9449
vulkan,game_load,game_load.cross_title_hotpath.gpu_wait_control,1284,1308,1.8692,1652,1626,-1.5738
vulkan,game_load,game_load.cross_title_hotpath.pgr2_lagspot_inline_elements,115751,116249,0.4302,123901,123408,-0.3979
vulkan,game_load,game_load.cross_title_hotpath.pgr2_small_draws,103905,97838,-5.839,114336,106059,-7.2392
vulkan,game_load,game_load.cross_title_hotpath.pipeline_state_churn,49669,49742,0.147,51315,51538,0.4346
vulkan,game_load,game_load.cross_title_hotpath.queued_vertex_cpu_writes,67178,67135,-0.064,70295,69753,-0.771
vulkan,game_load,game_load.cross_title_hotpath.s3tc_streaming_fenced_draws,4710152,4570582,-2.9632,4729344,4600343,-2.7277
vulkan,game_load,game_load.cross_title_hotpath.scaled_surface_pressure,650526,652750,0.3419,688748,677913,-1.5731
vulkan,game_load,game_load.cross_title_hotpath.surface_reuse,8062,8711,8.0501,9212,10826,17.5206
vulkan,game_load,game_load.cross_title_hotpath.texture_binding_reuse,182303,180227,-1.1388,189389,185380,-2.1168
vulkan,game_load,game_load.cross_title_hotpath.texture_update_reuse,2960,2994,1.1486,3925,4003,1.9873
vulkan,game_load,game_load.doax_menu_representative.cpu_only,9213,9182,-0.3365,9608,9517,-0.9471
vulkan,game_load,game_load.doax_menu_representative.cpu_pfifo_gpu,26150,25417,-2.8031,26652,25744,-3.4069
vulkan,game_load,game_load.doax_menu_representative.cpu_pfifo_gpu_streaming,31514,30338,-3.7317,32831,31248,-4.8217
vulkan,game_load,game_load.doax_menu_representative.full_system,31930,30805,-3.5233,36478,34566,-5.2415
vulkan,game_load,game_load.doax_menu_representative.gpu_only,15009,14067,-6.2762,15261,14521,-4.849
vulkan,game_load,game_load.doax_menu_representative.pfifo_only,2206,2028,-8.0689,2255,2213,-1.8625
vulkan,game_load,game_load.doax_menu_representative.streaming_only,5764,6017,4.3893,5961,6919,16.0711
vulkan,game_load,game_load.doax_menu_stress.cpu_only,18556,18329,-1.2233,18843,18574,-1.4276
vulkan,game_load,game_load.doax_menu_stress.cpu_pfifo_gpu,51904,50100,-3.4756,52510,50899,-3.068
vulkan,game_load,game_load.doax_menu_stress.cpu_pfifo_gpu_streaming,61850,60131,-2.7793,63249,61780,-2.3226
vulkan,game_load,game_load.doax_menu_stress.full_system,62508,60331,-3.4828,68965,66104,-4.1485
vulkan,game_load,game_load.doax_menu_stress.gpu_only,29217,28201,-3.4774,30023,28804,-4.0602
vulkan,game_load,game_load.doax_menu_stress.pfifo_only,4318,3889,-9.9352,4415,4060,-8.0408
vulkan,game_load,game_load.doax_menu_stress.streaming_only,11186,11285,0.885,12176,12356,1.4783
vulkan,game_load,game_load.long_unlocked_scene.alpha_overdraw,28905,28154,-2.5982,29849,34274,14.8246
vulkan,game_load,game_load.long_unlocked_scene.combined,61475,59576,-3.0891,63072,62700,-0.5898
vulkan,game_load,game_load.long_unlocked_scene.cpu,15599,15571,-0.1795,16021,16111,0.5618
vulkan,game_load,game_load.long_unlocked_scene.full_system,61300,60131,-1.907,63604,63138,-0.7327
vulkan,game_load,game_load.long_unlocked_scene.pfifo,4486,4149,-7.5123,4926,4408,-10.5156
vulkan,game_load,game_load.long_unlocked_scene.streaming_surface_reuse,12034,11521,-4.2629,14717,12957,-11.959
vulkan,game_load,game_load.pgr2_ai_backup.cpu_only,25614,25770,0.609,26267,26219,-0.1827
vulkan,game_load,game_load.pgr2_ai_backup.cpu_pfifo_gpu,118770,113972,-4.0397,121939,115138,-5.5774
vulkan,game_load,game_load.pgr2_ai_backup.cpu_pfifo_gpu_streaming,123512,118994,-3.6579,125364,120725,-3.7004
vulkan,game_load,game_load.pgr2_ai_backup.full_system,123821,119315,-3.6391,126048,120552,-4.3602
vulkan,game_load,game_load.pgr2_ai_backup.gpu_only,76383,73183,-4.1894,77635,74500,-4.0381
vulkan,game_load,game_load.pgr2_ai_backup.pfifo_only,17317,15585,-10.0017,17812,16475,-7.5062
vulkan,game_load,game_load.pgr2_ai_backup.streaming_only,4607,4017,-12.8066,7224,4587,-36.5033
vulkan,game_load,game_load.repeated_display,16528,16548,0.121,16759,16785,0.1551
vulkan,game_load,game_load.repeated_display_boosted,49690,49734,0.0885,51012,50013,-1.9584
vulkan,game_load,game_load.s3tc_sync_factor.bc2_bordered_fallback,49480,49737,0.5194,50420,50556,0.2697
vulkan,game_load,game_load.s3tc_sync_factor.bc2_native_eligible,17516,17843,1.8669,24263,27187,12.0513
vulkan,game_load,game_load.s3tc_sync_factor.bc3_bordered_fallback,49491,49712,0.4465,50608,50209,-0.7884
vulkan,game_load,game_load.s3tc_sync_factor.bc3_native_eligible,17721,16011,-9.6496,26308,16919,-35.6888
vulkan,game_load,game_load.s3tc_sync_factor.dxt1_dirty_once_redraw,16741,14924,-10.8536,18512,16982,-8.2649
vulkan,game_load,game_load.s3tc_sync_factor.dxt1_ring_payload_generations,16953,15258,-9.9982,23093,16770,-27.3806
vulkan,game_load,game_load.s3tc_sync_factor.dxt1_same_address_queued,17259,16251,-5.8404,21633,16977,-21.5227
vulkan,game_load,game_load.s3tc_sync_factor.dxt1_same_address_wait,32232,33643,4.3776,38029,38475,1.1728
vulkan,game_load,game_load.s3tc_sync_factor.rgba8_dirty_once_redraw,17288,15829,-8.4394,22597,17169,-24.0209
vulkan,game_load,game_load.s3tc_sync_factor.rgba8_ring_payload_generations,48347,48662,0.6515,51619,50252,-2.6482
vulkan,game_load,game_load.s3tc_sync_factor.rgba8_same_address_queued,49165,49393,0.4637,50796,50766,-0.0591
vulkan,game_load,game_load.s3tc_sync_factor.rgba8_same_address_wait,49766,52223,4.9371,50517,59826,18.4275
vulkan,high_vertex_count,high_vertex_count.arrays,133,139,4.5113,92,87,-5.4348
vulkan,high_vertex_count,high_vertex_count.inline_arrays,31765,30688,-3.3905,34920,33943,-2.7978
vulkan,high_vertex_count,high_vertex_count.inline_buffers,203021,192543,-5.161,205343,198433,-3.3651
vulkan,high_vertex_count,high_vertex_count.inline_elements,2355,2366,0.4671,2454,2472,0.7335
