renderer,iteration,group,test_id,outcome,average_us,p95_us,framebuffer_fnv1a64
vulkan,1,busy_pfifo,busy_pfifo.pfifo_saturation,PASS,67650,73492,1508607624bb8506
vulkan,1,busy_pfifo,busy_pfifo.pgraph_pattern_polling,PASS,4756827,4756827,386d0f085e98c325
vulkan,1,cpu_floating_point,cpu_floating_point.sse_scalar,PASS,502655,516522,6962077c244da325
vulkan,1,cpu_floating_point,cpu_floating_point.x87_scalar,PASS,763623,766171,6962077c244da325
vulkan,1,cpu_translation_blocks,cpu_translation_blocks.direct_loop,PASS,9975,10661,bd1fc9bf0c318325
vulkan,1,cpu_translation_blocks,cpu_translation_blocks.indirect_dispatch,PASS,25295,25867,c0426cf669a02325
vulkan,1,cpu_translation_blocks,cpu_translation_blocks.indirect_dispatch_stress,PASS,503319,505538,fbd507cb0c622325
vulkan,1,fill_rate,fill_rate.solid,PASS,1737,7396,08b0f60773aac775
vulkan,1,fill_rate,fill_rate.textured,PASS,1929,10035,99b433323df1684d
vulkan,1,game_load,game_load.cross_title_hotpath.blend_constant_reuse,PASS,116569,120278,58e80f99c5a56325
vulkan,1,game_load,game_load.cross_title_hotpath.gpu_wait_control,PASS,1243,1602,e30500792076e325
vulkan,1,game_load,game_load.cross_title_hotpath.pgr2_lagspot_inline_elements,PASS,115529,125409,2b9db92162606325
vulkan,1,game_load,game_load.cross_title_hotpath.pgr2_small_draws,PASS,100261,103230,151015a16ca46325
vulkan,1,game_load,game_load.cross_title_hotpath.pipeline_state_churn,PASS,50001,50758,4f8b2eab497ca325
vulkan,1,game_load,game_load.cross_title_hotpath.queued_vertex_cpu_writes,PASS,67071,70800,ea21c900993ea325
vulkan,1,game_load,game_load.cross_title_hotpath.s3tc_streaming_fenced_draws,PASS,4311026,4320972,1a65246e1a0ea325
vulkan,1,game_load,game_load.cross_title_hotpath.scaled_surface_pressure,PASS,670464,720961,32a69ec6dce52325
vulkan,1,game_load,game_load.cross_title_hotpath.surface_reuse,PASS,8881,11796,37f87c4938cd6325
vulkan,1,game_load,game_load.cross_title_hotpath.texture_binding_reuse,PASS,185744,197093,6b9bae4b9c97a325
vulkan,1,game_load,game_load.cross_title_hotpath.texture_update_reuse,PASS,2949,3899,44fcd2c900a5a325
vulkan,1,game_load,game_load.doax_menu_representative.cpu_only,PASS,19808,23108,c9ffff20249e2325
vulkan,1,game_load,game_load.doax_menu_representative.cpu_pfifo_gpu,PASS,36301,36899,04157941d1aa6325
vulkan,1,game_load,game_load.doax_menu_representative.cpu_pfifo_gpu_streaming,PASS,41065,42503,e6d7900d809f6325
vulkan,1,game_load,game_load.doax_menu_representative.full_system,PASS,42037,46597,3ebb8ee340a52325
vulkan,1,game_load,game_load.doax_menu_representative.gpu_only,PASS,17872,18137,fbd6d6be7f982325
vulkan,1,game_load,game_load.doax_menu_representative.pfifo_only,PASS,2189,2360,db52eb2ea2ee6325
vulkan,1,game_load,game_load.doax_menu_representative.streaming_only,PASS,6311,8361,f94303d175056325
vulkan,1,game_load,game_load.doax_menu_stress.cpu_only,PASS,38816,39882,312802588e58a325
vulkan,1,game_load,game_load.doax_menu_stress.cpu_pfifo_gpu,PASS,72232,73383,c94959246d55a325
vulkan,1,game_load,game_load.doax_menu_stress.cpu_pfifo_gpu_streaming,PASS,81366,82962,5dbf320b91a86325
vulkan,1,game_load,game_load.doax_menu_stress.full_system,PASS,82696,88733,545f7965debce325
vulkan,1,game_load,game_load.doax_menu_stress.gpu_only,PASS,29316,29751,30126b41ecb96325
vulkan,1,game_load,game_load.doax_menu_stress.pfifo_only,PASS,4182,4290,6251472ce3a6e325
vulkan,1,game_load,game_load.doax_menu_stress.streaming_only,PASS,11282,11844,5b922e3ee1312325
vulkan,1,game_load,game_load.long_unlocked_scene.alpha_overdraw,PASS,29248,30450,4efd9244c4ad2325
vulkan,1,game_load,game_load.long_unlocked_scene.combined,PASS,60605,62858,4efd9244c4ad2325
vulkan,1,game_load,game_load.long_unlocked_scene.cpu,PASS,15761,16742,4efd9244c4ad2325
vulkan,1,game_load,game_load.long_unlocked_scene.full_system,PASS,60885,62864,4efd9244c4ad2325
vulkan,1,game_load,game_load.long_unlocked_scene.pfifo,PASS,4317,4594,4efd9244c4ad2325
vulkan,1,game_load,game_load.long_unlocked_scene.streaming_surface_reuse,PASS,11815,14272,4efd9244c4ad2325
vulkan,1,game_load,game_load.pgr2_ai_backup.cpu_only,PASS,60234,61469,e086b0a920c42325
vulkan,1,game_load,game_load.pgr2_ai_backup.cpu_pfifo_gpu,PASS,152033,153678,48c0585f003ea325
vulkan,1,game_load,game_load.pgr2_ai_backup.cpu_pfifo_gpu_streaming,PASS,160060,171835,e0430415b6dbe325
vulkan,1,game_load,game_load.pgr2_ai_backup.full_system,PASS,158186,163019,cb91c33db5046325
vulkan,1,game_load,game_load.pgr2_ai_backup.gpu_only,PASS,76794,78314,f8348ac6eeaaa325
