renderer,group,tests,baseline_average_sum_us,candidate_average_sum_us,average_delta_percent,baseline_median_sum_us,candidate_median_sum_us,median_delta_percent,result
OPENGL,BusyPfifo,2,4547206,4433463,-2.5014,4547383,4433747,-2.4989,NEUTRAL_CONTEXT
OPENGL,CpuFloatingPoint,2,1266018,1240048,-2.0513,1266137,1239781,-2.0816,NEUTRAL_CONTEXT
OPENGL,CpuTranslationBlocks,3,516641,515025,-0.3128,516365,514740,-0.3147,NEUTRAL_CONTEXT
OPENGL,FillRate,2,3127,2809,-10.1695,2861,2524,-11.7791,IMPROVE_FLAG
OPENGL,GameLoadComposite,55,10599337,10765517,1.5678,10599295,10753764,1.4574,NEUTRAL_CONTEXT
OPENGL,High vertex count,4,208108,215521,3.5621,207246,216437,4.4348,NEUTRAL_CONTEXT
OPENGL,PFIFOArrayElements,3,3755,3888,3.5419,3855,3859,0.1038,NEUTRAL_CONTEXT
OPENGL,PipelineTextureSwitch,4,57004,57146,0.2491,56758,57224,0.8210,NEUTRAL_CONTEXT
OPENGL,PrimitiveType,20,17711,18134,2.3883,16542,16722,1.0881,NEUTRAL_CONTEXT
OPENGL,ReportQuery,6,3483,3988,14.4990,3402,3801,11.7284,REGRESSION_FLAG
OPENGL,SurfaceRendering,28,347001,346319,-0.1965,333335,330994,-0.7023,NEUTRAL_CONTEXT
OPENGL,TinyDraw,8,334331,338900,1.3666,333209,339122,1.7746,NEUTRAL_CONTEXT
OPENGL,UniformThrash,1,1741,1779,2.1827,1695,1722,1.5929,NEUTRAL_CONTEXT
OPENGL,Vertex buffer allocation,9,855784,865512,1.1367,856378,865094,1.0178,NEUTRAL_CONTEXT
VULKAN,BusyPfifo,2,4921607,4906349,-0.3100,4921799,4905913,-0.3228,NEUTRAL_CONTEXT
VULKAN,CpuFloatingPoint,2,1251309,1249642,-0.1332,1250472,1248759,-0.1370,NEUTRAL_CONTEXT
VULKAN,CpuTranslationBlocks,3,521017,519701,-0.2526,521043,519571,-0.2825,NEUTRAL_CONTEXT
VULKAN,FillRate,2,3609,3610,0.0277,1950,1981,1.5897,NEUTRAL_CONTEXT
VULKAN,GameLoadComposite,55,7397375,7435141,0.5105,7367683,7443418,1.0279,NEUTRAL_CONTEXT
VULKAN,High vertex count,4,226642,229522,1.2707,226267,228920,1.1725,NEUTRAL_CONTEXT
VULKAN,PFIFOArrayElements,3,2767,2784,0.6144,1951,1965,0.7176,NEUTRAL_CONTEXT
VULKAN,PipelineTextureSwitch,4,82064,82228,0.1998,80444,81084,0.7956,NEUTRAL_CONTEXT
VULKAN,PrimitiveType,20,16948,16724,-1.3217,12806,12685,-0.9449,NEUTRAL_CONTEXT
VULKAN,ReportQuery,6,17188,17003,-1.0763,16880,15888,-5.8768,NEUTRAL_CONTEXT
VULKAN,SurfaceRendering,28,1043879,1036619,-0.6955,995255,996037,0.0786,NEUTRAL_CONTEXT
VULKAN,TinyDraw,8,178593,181355,1.5465,178635,181078,1.3676,NEUTRAL_CONTEXT
VULKAN,UniformThrash,1,2811,2800,-0.3913,2032,2068,1.7717,NEUTRAL_CONTEXT
VULKAN,Vertex buffer allocation,9,887588,897410,1.1066,890894,902376,1.2888,NEUTRAL_CONTEXT
