game,renderer,build,sequence,source_commit,xemu_sha256,average_fps,p95_ms,p99_ms,host_fps,cpu_host_percent,process_gpu_percent,device_gpu_percent,private_mib,dedicated_gpu_mib,shared_gpu_mib,power_watts,status
Morrowind,VULKAN,baseline,1,37823ccf18263764c82ceb6698201330a22a6c65,5076ff3f5e91a7ec58d5f09a68bf5de73cda4d343c246ddfd2b688f59bc7fbf1,27.350053332604,41.792,48.693,,,,,,,,,complete
Morrowind,VULKAN,candidate,1,12022674a6e5119965005d3c58d373fcbcec93fe,2fe67b3057ea3ea1aaea7e34bf6628615758ef8735ff071e38ba6c3d81b37d6d,27.423367451405344,45.151,50.609,,,,,,,,,complete
Morrowind,OPENGL,baseline,1,37823ccf18263764c82ceb6698201330a22a6c65,5076ff3f5e91a7ec58d5f09a68bf5de73cda4d343c246ddfd2b688f59bc7fbf1,38.23507687960025,32.599,37.638,,,,,,,,,complete
Morrowind,OPENGL,candidate,1,12022674a6e5119965005d3c58d373fcbcec93fe,2fe67b3057ea3ea1aaea7e34bf6628615758ef8735ff071e38ba6c3d81b37d6d,37.58741705584678,33.977,38.01,,,,,,,,,complete
PGR2,VULKAN,baseline,1,37823ccf18263764c82ceb6698201330a22a6c65,5076ff3f5e91a7ec58d5f09a68bf5de73cda4d343c246ddfd2b688f59bc7fbf1,30.012656809147277,39.496,41.12,59.99685124115004,20.74411948251221,43.05994785278075,36.1,3124.2208984375,676.815625,468.3583984375,21.075,complete
PGR2,VULKAN,candidate,2,12022674a6e5119965005d3c58d373fcbcec93fe,2fe67b3057ea3ea1aaea7e34bf6628615758ef8735ff071e38ba6c3d81b37d6d,29.994603544715126,40.51,42.31,59.99376785139739,21.601249679246738,43.65808202549789,36.5,3116.2234375,674.346875,468.4037109375,21.163999999999998,complete
PGR2,VULKAN,candidate,3,12022674a6e5119965005d3c58d373fcbcec93fe,2fe67b3057ea3ea1aaea7e34bf6628615758ef8735ff071e38ba6c3d81b37d6d,29.999230298300063,39.749,41.738,60.001722696845796,21.786624971991536,42.178692193636316,33.7,3120.8349609375,676.7873046875,468.3455078125,20.84,complete
PGR2,VULKAN,baseline,4,37823ccf18263764c82ceb6698201330a22a6c65,5076ff3f5e91a7ec58d5f09a68bf5de73cda4d343c246ddfd2b688f59bc7fbf1,30.00865911143254,38.311,41.618,60.01210382570451,21.5297084418515,44.48878082660331,34.5,3114.0322265625,674.3162109375,467.065234375,21.491999999999997,complete
PGR2,OPENGL,baseline,1,37823ccf18263764c82ceb6698201330a22a6c65,5076ff3f5e91a7ec58d5f09a68bf5de73cda4d343c246ddfd2b688f59bc7fbf1,30.000918921976297,40.957,43.921,60.00174118449071,22.58313156617188,44.56553868035286,37.9,2280.8767578125,161.609375,41.625,23.719,complete
PGR2,OPENGL,candidate,2,12022674a6e5119965005d3c58d373fcbcec93fe,2fe67b3057ea3ea1aaea7e34bf6628615758ef8735ff071e38ba6c3d81b37d6d,30.001960633122152,41.052,43.967,59.99778053247891,22.389306699760994,44.381558172647374,38.2,2287.965625,161.60546875,41.625,23.79,complete
PGR2,OPENGL,candidate,3,12022674a6e5119965005d3c58d373fcbcec93fe,2fe67b3057ea3ea1aaea7e34bf6628615758ef8735ff071e38ba6c3d81b37d6d,30.016693966816952,41.025,44.375,59.998560434873575,23.29598697815561,44.146322888516785,38.7,2288.362664473684,161.61328125,41.625,23.866,complete
PGR2,OPENGL,baseline,4,37823ccf18263764c82ceb6698201330a22a6c65,5076ff3f5e91a7ec58d5f09a68bf5de73cda4d343c246ddfd2b688f59bc7fbf1,29.991934270283693,40.828,43.411,59.99832515100693,23.083670434119345,44.55265310396479,38.3,2286.9080078125,162.8671875,41.625,23.857999999999997,complete
