test_group,renderer,tests,baseline_average_sum_us,candidate_average_sum_us,average_delta_percent,baseline_median_sum_us,candidate_median_sum_us,median_delta_percent,context_flag
BusyPfifo,OPENGL,2,4646918.0,4666413.0,0.419525371439744,4646954.0,4667159.0,0.434800947028946,Neutral/context
BusyPfifo,VULKAN,2,4884505.0,4932566.0,0.983948219932218,4883961.0,4932374.0,0.9912650817645696,Neutral/context
CpuFloatingPoint,OPENGL,2,1258310.0,1240720.0,-1.3979067161510317,1257971.0,1241779.0,-1.2871520885616605,Neutral/context
CpuFloatingPoint,VULKAN,2,1246201.0,1246047.0,-0.012357557087505633,1244393.0,1242076.0,-0.18619519717645305,Neutral/context
CpuTranslationBlocks,OPENGL,3,518606.0,519179.0,0.11048850186847758,517506.0,517368.0,-0.026666357491511583,Neutral/context
CpuTranslationBlocks,VULKAN,3,519477.0,525357.0,1.131907668674459,519386.0,525470.0,1.1713831331610747,Neutral/context
FillRate,OPENGL,2,3244.0,2790.0,-13.995067817509243,2761.0,2508.0,-9.16334661354582,Improve flag
FillRate,VULKAN,2,3788.0,3552.0,-6.23020063357973,2031.0,1929.0,-5.022156573116687,Improve flag
GameLoadComposite,OPENGL,52,10788823.0,10703190.0,-0.7937195744151193,10777302.0,10704364.0,-0.6767742056407067,Neutral/context
GameLoadComposite,VULKAN,52,7324029.0,7318564.0,-0.07461739979456317,7306795.0,7318697.0,0.16288947479707883,Neutral/context
High vertex count,OPENGL,4,205923.0,206938.0,0.49290268692667727,205011.0,206758.0,0.8521493968616234,Neutral/context
High vertex count,VULKAN,4,224615.0,223177.0,-0.6402065756961894,222663.0,221667.0,-0.44731275515016433,Neutral/context
PFIFOArrayElements,OPENGL,3,3974.0,3688.0,-7.196779063915448,3833.0,3813.0,-0.5217845030002555,Neutral/context
PFIFOArrayElements,VULKAN,3,2789.0,2820.0,1.1115095016134724,1934.0,1949.0,0.7755946225439514,Neutral/context
PipelineTextureSwitch,OPENGL,4,56039.0,56178.0,0.24804154249717936,55651.0,55670.0,0.03414134516899203,Neutral/context
PipelineTextureSwitch,VULKAN,4,82239.0,84821.0,3.1396296161188664,80427.0,82495.0,2.5712758153356496,Neutral/context
PrimitiveType,OPENGL,20,18224.0,17522.0,-3.852063213345036,16991.0,16471.0,-3.0604437643458327,Neutral/context
PrimitiveType,VULKAN,20,16983.0,16687.0,-1.7429193899782147,12694.0,12589.0,-0.8271624389475374,Neutral/context
ReportQuery,OPENGL,6,3628.0,3425.0,-5.595369349503853,3458.0,3420.0,-1.098901098901095,Neutral/context
ReportQuery,VULKAN,6,16587.0,16882.0,1.7785012359076369,15840.0,16066.0,1.4267676767676818,Neutral/context
SurfaceRendering,OPENGL,26,343579.0,342729.0,-0.2473957954356898,326385.0,326990.0,0.18536391071892755,Neutral/context
SurfaceRendering,VULKAN,26,1056803.0,995857.0,-5.767016179931361,1014650.0,953746.0,-6.002463903809197,Improve flag
TinyDraw,OPENGL,8,340195.0,330142.0,-2.9550698863886837,340316.0,329293.0,-3.2390484138271503,Neutral/context
TinyDraw,VULKAN,8,179021.0,176943.0,-1.1607576764737115,178188.0,176436.0,-0.9832311940197958,Neutral/context
UniformThrash,OPENGL,1,1701.0,1772.0,4.174015285126398,1695.0,1695.0,0.0,Neutral/context
UniformThrash,VULKAN,1,2872.0,2740.0,-4.596100278551529,2050.0,2036.0,-0.6829268292682933,Neutral/context
Vertex buffer allocation,OPENGL,9,845211.0,841314.0,-0.4610683012880812,847925.0,843262.0,-0.549930713211666,Neutral/context
Vertex buffer allocation,VULKAN,9,881252.0,878273.0,-0.33804178600446155,887191.0,882600.0,-0.5174759437370335,Neutral/context
